Date,Open,High,Low,Close,Adj Close,Volume
1991-11-08,1418.80,1418.80,1418.80,1418.80,1418.80,0
1991-11-11,1416.90,1416.90,1416.90,1416.90,1416.90,0
1991-11-12,1445.40,1445.40,1445.40,1445.40,1445.40,0
1991-11-13,1453.40,1453.40,1453.40,1453.40,1453.40,0
1991-11-14,1459.30,1459.30,1459.30,1459.30,1459.30,0
1991-11-15,1445.60,1445.60,1445.60,1445.60,1445.60,0
1991-11-18,1415.90,1415.90,1415.90,1415.90,1415.90,0
1991-11-19,1365.10,1365.10,1365.10,1365.10,1365.10,0
1991-11-21,1387.90,1387.90,1387.90,1387.90,1387.90,0
1991-11-22,1376.20,1376.20,1376.20,1376.20,1376.20,0
1991-11-26,1365.20,1365.20,1365.20,1365.20,1365.20,0
1991-11-27,1371.60,1371.60,1371.60,1371.60,1371.60,0
1991-11-28,1377.60,1377.60,1377.60,1377.60,1377.60,0
1991-11-29,1384.20,1384.20,1384.20,1384.20,1384.20,0
1991-12-02,1375.40,1375.40,1375.40,1375.40,1375.40,0
1991-12-03,1371.20,1371.20,1371.20,1371.20,1371.20,0
1991-12-04,1371.30,1371.30,1371.30,1371.30,1371.30,0
1991-12-05,1361.20,1361.20,1361.20,1361.20,1361.20,0
1991-12-06,1360.60,1360.60,1360.60,1360.60,1360.60,0
1991-12-09,1347.10,1347.10,1347.10,1347.10,1347.10,0
1991-12-10,1304.50,1304.50,1304.50,1304.50,1304.50,0
1991-12-11,1273.20,1273.20,1273.20,1273.20,1273.20,0
1991-12-13,1325.70,1325.70,1325.70,1325.70,1325.70,0
1991-12-16,1346.80,1346.80,1346.80,1346.80,1346.80,0
1991-12-17,1347.40,1347.40,1347.40,1347.40,1347.40,0
1991-12-18,1338.40,1338.40,1338.40,1338.40,1338.40,0
1991-12-19,1332.90,1332.90,1332.90,1332.90,1332.90,0
1991-12-20,1337.30,1337.30,1337.30,1337.30,1337.30,0
1991-12-23,1364.40,1364.40,1364.40,1364.40,1364.40,0
1991-12-30,1431.50,1431.50,1431.50,1431.50,1431.50,0
1992-01-02,1444.90,1444.90,1444.90,1444.90,1444.90,0
1992-01-03,1475.20,1475.20,1475.20,1475.20,1475.20,0
1992-01-06,1472.50,1472.50,1472.50,1472.50,1472.50,0
1992-01-07,1485.40,1485.40,1485.40,1485.40,1485.40,0
1992-01-08,1515.70,1515.70,1515.70,1515.70,1515.70,0
1992-01-09,1529.60,1529.60,1529.60,1529.60,1529.60,0
1992-01-10,1524.80,1524.80,1524.80,1524.80,1524.80,0
1992-01-13,1535.00,1535.00,1535.00,1535.00,1535.00,0
1992-01-14,1564.30,1564.30,1564.30,1564.30,1564.30,0
1992-01-15,1565.40,1565.40,1565.40,1565.40,1565.40,0
1992-01-16,1583.30,1583.30,1583.30,1583.30,1583.30,0
1992-01-17,1576.10,1576.10,1576.10,1576.10,1576.10,0
1992-01-20,1574.80,1574.80,1574.80,1574.80,1574.80,0
1992-01-21,1557.10,1557.10,1557.10,1557.10,1557.10,0
1992-01-22,1564.40,1564.40,1564.40,1564.40,1564.40,0
1992-01-23,1594.90,1594.90,1594.90,1594.90,1594.90,0
1992-01-24,1603.80,1603.80,1603.80,1603.80,1603.80,0
1992-01-27,1591.10,1591.10,1591.10,1591.10,1591.10,0
1992-01-28,1603.10,1603.10,1603.10,1603.10,1603.10,0
1992-01-29,1611.90,1611.90,1611.90,1611.90,1611.90,0
1992-01-30,1623.50,1623.50,1623.50,1623.50,1623.50,0
1992-01-31,1623.50,1623.50,1623.50,1623.50,1623.50,0
1992-02-03,1624.50,1624.50,1624.50,1624.50,1624.50,0
1992-02-04,1616.10,1616.10,1616.10,1616.10,1616.10,0
1992-02-06,1649.20,1649.20,1649.20,1649.20,1649.20,0
1992-02-07,1647.10,1647.10,1647.10,1647.10,1647.10,0
1992-02-10,1677.40,1677.40,1677.40,1677.40,1677.40,0
1992-02-11,1709.50,1709.50,1709.50,1709.50,1709.50,0
1992-02-12,1739.40,1739.40,1739.40,1739.40,1739.40,0
1992-02-13,1725.30,1725.30,1725.30,1725.30,1725.30,0
1992-02-14,1761.20,1761.20,1761.20,1761.20,1761.20,0
