Date,Open,High,Low,Close,Adj Close,Volume
1979-06-29,1614.70,1619.80,1614.70,1618.40,1614.29,0
1979-07-02,1618.40,1619.80,1614.70,1618.40,1614.29,0
1979-07-03,1613.60,1613.60,1601.70,1602.80,1598.73,0
1979-07-04,1601.50,1601.50,1589.50,1591.40,1587.36,0
1979-07-05,1590.00,1590.00,1582.50,1583.90,1579.88,0
1979-07-06,1583.90,1586.60,1578.30,1586.60,1582.57,0
1979-07-09,1586.60,1588.50,1585.50,1586.30,1582.27,0
1979-07-10,1584.90,1584.90,1579.00,1580.20,1576.19,0
1979-07-11,1576.80,1576.80,1560.90,1563.20,1559.23,0
1979-07-12,1561.50,1561.50,1533.20,1533.70,1529.81,0
1979-07-13,1533.70,1538.10,1520.60,1537.40,1533.50,0
1979-07-16,1539.80,1551.70,1539.80,1551.60,1547.66,0
1979-07-17,1554.60,1563.10,1554.60,1560.90,1556.94,0
1979-07-18,1557.10,1557.10,1547.30,1550.80,1546.86,0
1979-07-19,1550.80,1554.30,1548.30,1552.40,1548.46,0
1979-07-20,1552.40,1557.50,1550.60,1557.50,1553.54,0
1979-07-23,1553.10,1553.10,1544.40,1546.00,1542.07,0
1979-07-24,1546.00,1549.50,1545.40,1547.10,1543.17,0
1979-07-25,1548.40,1557.20,1548.40,1556.80,1552.85,0
1979-07-26,1557.40,1570.00,1557.40,1570.00,1566.01,0
1979-07-27,1572.20,1578.00,1572.20,1578.00,1573.99,0
1979-07-30,1575.70,1575.70,1568.10,1568.10,1564.12,0
1979-07-31,1564.60,1564.60,1558.10,1558.10,1554.14,0
1979-08-01,1558.10,1558.50,1554.00,1558.10,1554.14,0
1979-08-02,1560.30,1563.90,1560.30,1560.90,1556.94,0
1979-08-03,1560.90,1561.50,1556.80,1557.80,1553.84,0
1979-08-06,1557.80,1557.80,1557.80,1557.80,1553.84,0
1979-08-07,1557.80,1559.50,1555.20,1555.90,1551.95,0
1979-08-08,1555.90,1567.10,1553.10,1565.20,1561.23,0
1979-08-09,1565.20,1571.40,1564.50,1566.50,1562.52,0
1979-08-10,1567.90,1576.00,1567.90,1575.00,1571.00,0
1979-08-13,1575.50,1582.10,1575.50,1582.10,1578.08,0
1979-08-14,1582.10,1584.70,1578.70,1584.30,1580.28,0
1979-08-15,1587.10,1600.70,1587.10,1600.70,1596.64,0
1979-08-16,1605.70,1611.10,1605.70,1606.90,1602.82,0
1979-08-17,1608.30,1620.20,1608.30,1619.20,1615.09,0
1979-08-20,1623.70,1640.70,1623.70,1640.70,1636.53,0
1979-08-21,1645.90,1657.70,1645.90,1657.30,1653.09,0
1979-08-22,1660.30,1666.00,1660.30,1665.20,1660.97,0
1979-08-23,1665.20,1669.70,1661.30,1662.00,1657.78,0
1979-08-24,1662.00,1669.70,1655.90,1669.70,1665.46,0
1979-08-27,1670.00,1681.30,1670.00,1678.70,1674.44,0
1979-08-28,1678.70,1679.10,1674.50,1678.90,1674.64,0
1979-08-29,1678.90,1682.10,1677.30,1678.50,1674.24,0
1979-08-30,1678.50,1680.00,1676.10,1679.70,1675.43,0
1979-08-31,1682.60,1695.30,1682.60,1695.30,1690.99,0
1979-09-04,1695.30,1697.90,1689.40,1689.40,1685.11,0
1979-09-05,1681.00,1681.00,1659.40,1661.80,1657.58,0
1979-09-06,1667.10,1696.90,1667.10,1694.40,1690.10,0
1979-09-07,1697.10,1725.30,1697.10,1725.30,1720.92,0
1979-09-10,1725.00,1725.00,1718.60,1720.90,1716.53,0
1979-09-11,1720.90,1726.70,1715.00,1715.70,1711.34,0
1979-09-12,1715.70,1727.10,1711.90,1727.10,1722.71,0
1979-09-13,1727.00,1727.00,1718.50,1719.00,1714.63,0
1979-09-14,1719.70,1732.60,1719.70,1731.90,1727.50,0
1979-09-17,1731.90,1739.10,1728.90,1728.90,1724.51,0
1979-09-18,1726.70,1726.70,1718.00,1719.10,1714.73,0
1979-09-19,1719.10,1723.60,1714.70,1721.90,1717.53,0
1979-09-20,1722.30,1737.00,1722.30,1737.00,1732.59,0
1979-09-21,1738.50,1745.60,1738.50,1740.90,1736.48,0
1979-09-24,1740.90,1742.30,1735.20,1735.60,1731.19,0
1979-09-25,1735.60,1737.20,1727.80,1736.90,1732.49,0
1979-09-26,1740.00,1756.70,1740.00,1751.20,1746.75,0
1979-09-27,1751.90,1761.10,1751.90,1758.80,1754.33,0
1979-09-28,1758.80,1759.10,1750.20,1751.90,1747.45,0
1979-10-01,1751.90,1753.50,1745.10,1753.50,1749.05,0
1979-10-02,1756.20,1771.90,1756.20,1771.90,1767.40,0
1979-10-03,1773.50,1781.90,1773.50,1780.50,1775.98,0
1979-10-04,1780.50,1790.90,1779.70,1790.90,1786.35,0
1979-10-05,1791.20,1807.40,1791.20,1804.70,1800.12,0
1979-10-08,1804.70,1804.70,1804.70,1804.70,1800.12,0
1979-10-09,1793.50,1793.50,1740.30,1740.30,1735.88,0
1979-10-10,1724.30,1724.30,1668.40,1689.50,1685.21,0
1979-10-11,1689.50,1698.60,1683.50,1685.80,1681.52,0
1979-10-12,1685.80,1686.70,1674.30,1674.90,1670.65,0
1979-10-15,1671.70,1671.70,1643.20,1643.20,1639.03,0
1979-10-16,1635.70,1635.70,1610.10,1617.30,1613.19,0
1979-10-17,1617.30,1625.40,1617.30,1620.40,1616.29,0
1979-10-18,1624.20,1645.00,1624.20,1639.50,1635.34,0
1979-10-19,1635.30,1635.30,1597.50,1597.50,1593.44,0
1979-10-22,1588.90,1588.90,1514.80,1537.30,1533.40,0
1979-10-23,1537.30,1551.10,1525.50,1526.00,1522.12,0
1979-10-24,1526.00,1541.90,1522.80,1538.40,1534.49,0
1979-10-25,1533.20,1533.20,1520.30,1521.10,1517.24,0
1979-10-26,1521.50,1529.80,1521.50,1527.80,1523.92,0
1979-10-29,1534.60,1547.20,1534.60,1542.60,1538.68,0
1979-10-30,1542.60,1556.20,1539.00,1556.20,1552.25,0
1979-10-31,1560.40,1582.20,1560.40,1579.30,1575.29,0
1979-11-01,1580.00,1603.70,1580.00,1603.40,1599.33,0
1979-11-02,1607.00,1612.90,1607.00,1610.90,1606.81,0
1979-11-05,1607.60,1607.60,1597.20,1600.60,1596.54,0
1979-11-06,1600.60,1600.90,1595.00,1597.00,1592.94,0
1979-11-07,1595.30,1595.30,1578.00,1578.50,1574.49,0
1979-11-08,1577.40,1577.40,1572.90,1573.20,1569.20,0
1979-11-09,1575.10,1589.30,1575.10,1588.00,1583.97,0
1979-11-12,1590.20,1612.80,1590.20,1612.80,1608.70,0
1979-11-13,1614.30,1619.30,1614.30,1615.10,1611.00,0
1979-11-14,1615.10,1624.50,1607.60,1623.90,1619.78,0
1979-11-15,1626.20,1634.80,1626.20,1632.70,1628.55,0
1979-11-16,1632.70,1634.20,1625.20,1625.70,1621.57,0
1979-11-19,1625.70,1635.00,1624.50,1628.50,1624.36,0
1979-11-20,1628.80,1639.00,1628.80,1631.70,1627.56,0
1979-11-21,1625.60,1625.60,1615.20,1624.40,1620.27,0
1979-11-23,1634.20,1651.70,1634.20,1651.70,1647.51,0
1979-11-26,1655.40,1682.20,1655.40,1682.20,1677.93,0
1979-11-27,1688.00,1701.40,1688.00,1688.10,1683.81,0
1979-11-28,1688.10,1697.10,1682.90,1695.00,1690.70,0
1979-11-29,1697.50,1709.70,1697.50,1703.30,1698.97,0
1979-11-30,1702.20,1702.20,1699.20,1699.60,1695.28,0
1979-12-03,1699.60,1701.30,1697.70,1700.10,1695.78,0
1979-12-04,1700.20,1716.70,1700.20,1716.70,1712.34,0
1979-12-05,1723.70,1734.90,1723.70,1728.70,1724.31,0
1979-12-06,1730.50,1746.60,1730.50,1746.60,1742.16,0
1979-12-07,1746.60,1759.30,1725.60,1730.30,1725.91,0
1979-12-10,1730.30,1731.50,1725.90,1726.50,1722.12,0
1979-12-11,1726.50,1726.60,1722.40,1723.00,1718.62,0
1979-12-12,1732.80,1755.80,1732.80,1755.80,1751.34,0
1979-12-13,1762.00,1771.80,1762.00,1765.80,1761.32,0
1979-12-14,1744.30,1744.30,1715.00,1743.50,1739.07,0
1979-12-17,1750.30,1774.20,1750.30,1772.40,1767.90,0
1979-12-18,1774.70,1792.60,1774.70,1783.90,1779.37,0
1979-12-19,1783.90,1785.20,1779.60,1782.50,1777.97,0
1979-12-20,1782.50,1789.70,1782.30,1787.90,1783.36,0
1979-12-21,1787.90,1791.60,1785.00,1785.40,1780.87,0
1979-12-24,1785.40,1787.30,1784.00,1787.30,1782.76,0
1979-12-26,1787.30,1787.30,1784.00,1787.30,1782.76,0
1979-12-27,1792.00,1799.10,1792.00,1798.60,1794.03,0
1979-12-28,1801.90,1808.20,1801.90,1804.30,1799.72,0
1979-12-31,1804.30,1813.50,1804.10,1813.20,1808.60,0
1980-01-02,1813.20,1828.90,1806.00,1806.10,1801.51,0
1980-01-03,1799.70,1799.70,1778.60,1789.40,1784.86,0
1980-01-04,1789.40,1796.10,1786.70,1795.20,1790.64,0
1980-01-07,1797.80,1814.10,1797.80,1814.10,1809.49,0
1980-01-08,1814.80,1832.60,1814.80,1832.60,1827.95,0
1980-01-09,1839.70,1861.40,1839.70,1854.00,1849.29,0
1980-01-10,1859.20,1884.90,1859.20,1884.10,1879.32,0
1980-01-11,1887.20,1903.00,1887.20,1898.70,1893.88,0
1980-01-14,1903.90,1924.40,1903.90,1922.20,1917.32,0
1980-01-15,1927.90,1944.50,1927.90,1944.50,1939.56,0
1980-01-16,1946.80,1964.40,1946.80,1946.80,1941.86,0
1980-01-17,1946.80,1968.10,1944.00,1968.10,1963.10,0
1980-01-18,1968.10,1975.60,1964.30,1966.70,1961.71,0
1980-01-21,1972.80,1981.90,1972.80,1973.20,1968.19,0
1980-01-22,1967.00,1967.00,1920.20,1920.70,1915.82,0
1980-01-23,1920.70,1934.80,1895.90,1934.10,1929.19,0
1980-01-24,1944.50,1959.10,1944.50,1952.60,1947.64,0
1980-01-25,1952.60,1955.10,1952.00,1955.10,1950.14,0
1980-01-28,1957.20,1972.70,1957.20,1972.70,1967.69,0
1980-01-29,1977.00,1999.40,1977.00,1988.70,1983.65,0
1980-01-30,1993.20,2025.90,1993.20,2025.60,2020.46,0
1980-01-31,2027.70,2048.90,2027.70,2027.70,2022.55,0
1980-02-01,2027.70,2032.60,2014.20,2032.60,2027.44,0
1980-02-04,2033.80,2041.80,2033.80,2039.80,2034.62,0
1980-02-05,2032.80,2032.80,2016.10,2018.70,2013.57,0
1980-02-06,2018.70,2029.00,2017.90,2022.90,2017.76,0
1980-02-07,2038.70,2054.60,2038.70,2052.20,2046.99,0
1980-02-08,2059.50,2100.40,2059.50,2100.40,2095.07,0
1980-02-11,2113.80,2125.90,2113.80,2118.60,2113.22,0
1980-02-12,2117.10,2117.10,2108.80,2117.10,2111.72,0
1980-02-13,2117.10,2128.90,2106.80,2107.70,2102.35,0
1980-02-14,2102.30,2102.30,2041.70,2045.00,2039.81,0
1980-02-15,2044.90,2044.90,2030.60,2044.90,2039.71,0
1980-02-19,2074.60,2093.40,2074.60,2093.40,2088.08,0
1980-02-20,2095.20,2125.40,2095.20,2125.40,2120.00,0
1980-02-21,2130.70,2169.70,2130.70,2144.50,2139.05,0
1980-02-22,2144.50,2147.80,2125.10,2140.00,2134.57,0
1980-02-25,2134.20,2134.20,2119.00,2119.00,2113.62,0
1980-02-26,2119.00,2146.00,2117.50,2146.00,2140.55,0
1980-02-27,2150.10,2181.60,2150.10,2165.90,2160.40,0
1980-02-28,2165.90,2181.70,2165.90,2177.60,2172.07,0
1980-02-29,2178.70,2194.80,2178.70,2192.60,2187.03,0
1980-03-03,2192.60,2202.60,2182.50,2182.50,2176.96,0
1980-03-04,2180.20,2180.20,2150.00,2164.90,2159.40,0
1980-03-05,2165.30,2193.20,2165.30,2165.90,2160.40,0
1980-03-06,2158.60,2158.60,2096.50,2096.50,2091.18,0
1980-03-07,2079.60,2079.60,2038.60,2045.70,2040.50,0
1980-03-10,2035.60,2035.60,1972.00,1974.60,1969.59,0
1980-03-11,1974.60,2009.70,1971.70,2005.10,2000.01,0
1980-03-12,2005.10,2027.90,1984.90,1996.30,1991.23,0
1980-03-13,1992.30,1992.30,1966.80,1966.80,1961.81,0
1980-03-14,1952.40,1952.40,1934.60,1947.30,1942.35,0
1980-03-17,1940.90,1940.90,1864.80,1864.80,1860.06,0
1980-03-18,1864.80,1884.80,1844.20,1884.80,1880.01,0
1980-03-19,1908.40,1933.10,1908.40,1924.00,1919.11,0
1980-03-20,1924.00,1932.50,1906.50,1906.50,1901.66,0
1980-03-21,1896.90,1896.90,1887.10,1888.10,1883.31,0
1980-03-24,1884.90,1884.90,1830.80,1830.80,1826.15,0
1980-03-25,1830.80,1835.70,1811.60,1819.80,1815.18,0
1980-03-26,1819.80,1828.90,1798.00,1798.20,1793.63,0
