Date,Open,High,Low,Close,Adj Close,Volume
1986-12-31,2568.30,2568.30,2568.30,2568.30,2568.30,0
1987-01-02,2540.10,2540.10,2540.10,2540.10,2540.10,0
1987-01-05,2552.40,2552.40,2552.40,2552.40,2552.40,0
1987-01-06,2583.90,2583.90,2583.90,2583.90,2583.90,0
1987-01-07,2607.10,2607.10,2607.10,2607.10,2607.10,0
1987-01-08,2603.30,2603.30,2603.30,2603.30,2603.30,0
1987-01-09,2561.70,2561.70,2561.70,2561.70,2561.70,0
1987-01-12,2614.90,2614.90,2614.90,2614.90,2614.90,0
1987-01-13,2590.80,2590.80,2590.80,2590.80,2590.80,0
1987-01-14,2578.20,2578.20,2578.20,2578.20,2578.20,0
1987-01-15,2559.10,2559.10,2559.10,2559.10,2559.10,0
1987-01-16,2542.60,2542.60,2542.60,2542.60,2542.60,0
1987-01-19,2460.50,2460.50,2460.50,2460.50,2460.50,0
1987-01-20,2449.90,2449.90,2449.90,2449.90,2449.90,0
1987-01-21,2533.90,2533.90,2533.90,2533.90,2533.90,0
1987-01-22,2536.90,2536.90,2536.90,2536.90,2536.90,0
1987-01-23,2499.40,2499.40,2499.40,2499.40,2499.40,0
1987-01-26,2484.40,2484.40,2484.40,2484.40,2484.40,0
1987-01-27,2524.00,2524.00,2524.00,2524.00,2524.00,0
1987-01-28,2553.30,2553.30,2553.30,2553.30,2553.30,0
1987-02-02,2585.20,2585.20,2585.20,2585.20,2585.20,0
1987-02-03,2606.40,2606.40,2606.40,2606.40,2606.40,0
1987-02-04,2636.60,2636.60,2636.60,2636.60,2636.60,0
1987-02-05,2672.40,2672.40,2672.40,2672.40,2672.40,0
1987-02-06,2673.60,2673.60,2673.60,2673.60,2673.60,0
1987-02-09,2713.70,2713.70,2713.70,2713.70,2713.70,0
1987-02-10,2694.90,2694.90,2694.90,2694.90,2694.90,0
1987-02-11,2739.50,2739.50,2739.50,2739.50,2739.50,0
1987-02-12,2754.70,2754.70,2754.70,2754.70,2754.70,0
1987-02-13,2740.50,2740.50,2740.50,2740.50,2740.50,0
1987-02-16,2766.10,2766.10,2766.10,2766.10,2766.10,0
