Date,Open,High,Low,Close,Adj Close,Volume
1997-07-02,1255.91,1261.57,1147.33,1199.06,1199.06,0
1997-07-03,1194.68,1194.68,1149.94,1150.62,1150.62,0
1997-07-04,1138.92,1163.25,1124.78,1159.34,1159.34,0
1997-07-07,1161.71,1163.45,1085.57,1096.82,1096.82,0
1997-07-08,1092.80,1115.43,1066.04,1109.67,1109.67,0
1997-07-09,1113.64,1122.67,1104.09,1120.84,1120.84,0
1997-07-10,1121.26,1137.87,1115.21,1120.15,1120.15,0
1997-07-11,1116.42,1155.06,1114.40,1154.79,1154.79,0
1997-07-14,1189.47,1201.21,1180.19,1200.11,1200.11,0
1997-07-15,1200.11,1200.11,1200.11,1200.11,1200.11,0
1997-07-16,1201.59,1204.85,1184.44,1190.83,1190.83,0
1997-07-17,1188.27,1203.50,1180.93,1197.23,1197.23,0
1997-07-18,1199.40,1210.44,1191.29,1209.86,1209.86,0
1997-07-21,1215.84,1218.48,1188.88,1193.53,1193.53,0
1997-07-22,1189.12,1208.26,1163.47,1208.25,1208.25,0
1997-07-23,1219.06,1223.82,1194.70,1198.86,1198.86,0
1997-07-24,1194.70,1200.31,1172.37,1174.22,1174.22,0
1997-07-25,1166.57,1177.65,1158.14,1170.86,1170.86,0
1997-07-28,1167.81,1167.88,1138.47,1141.78,1141.78,0
1997-07-29,1137.32,1161.19,1133.18,1153.23,1153.23,0
1997-07-30,1157.09,1179.48,1157.00,1179.42,1179.42,0
1997-07-31,1184.94,1192.20,1179.71,1189.76,1189.76,0
1997-08-01,1191.65,1194.03,1182.22,1192.83,1192.83,0
1997-08-04,1196.25,1201.92,1188.68,1200.33,1200.33,0
1997-08-05,1203.36,1207.23,1193.70,1196.27,1196.27,0
1997-08-06,1196.04,1197.44,1170.27,1171.94,1171.94,0
1997-08-07,1167.93,1199.24,1161.63,1199.24,1199.24,0
1997-08-08,1205.95,1216.56,1201.36,1206.05,1206.05,0
1997-08-11,1206.46,1206.76,1182.45,1184.08,1184.08,0
1997-08-12,1177.26,1183.44,1145.75,1146.81,1146.81,0
1997-08-13,1139.25,1153.49,1118.20,1120.13,1120.13,0
1997-08-14,1120.47,1168.33,1120.24,1168.11,1168.11,0
1997-08-15,1174.18,1174.88,1133.89,1143.06,1143.06,0
1997-08-18,1139.61,1139.61,1116.15,1134.63,1134.63,0
1997-08-19,1134.62,1143.20,1128.11,1132.91,1132.91,0
1997-08-20,1135.05,1144.65,1133.74,1144.64,1144.64,0
1997-08-21,1148.39,1165.22,1147.82,1164.55,1164.55,0
1997-08-22,1159.39,1174.49,1156.83,1171.83,1171.83,0
1997-08-25,1175.44,1184.33,1175.38,1184.10,1184.10,0
1997-08-26,1186.07,1194.13,1181.24,1194.04,1194.04,0
1997-08-27,1195.43,1199.47,1188.33,1198.51,1198.51,0
1997-08-28,1201.06,1216.08,1194.68,1213.89,1213.89,0
1997-08-29,1214.31,1223.07,1209.48,1221.06,1221.06,0
1997-09-01,1224.18,1230.07,1219.10,1229.86,1229.86,0
