Date,Open,High,Low,Close,Adj Close,Volume
1987-12-28,824.40,824.40,824.40,824.40,824.40,0
1987-12-29,810.90,810.90,810.90,810.90,810.90,0
1987-12-30,823.20,823.20,823.20,823.20,823.20,0
1988-01-04,833.60,833.60,833.60,833.60,833.60,0
1988-01-05,879.30,879.30,879.30,879.30,879.30,0
1988-01-06,906.00,906.00,906.00,906.00,906.00,0
1988-01-07,911.50,911.50,911.50,911.50,911.50,0
1988-01-08,895.30,895.30,895.30,895.30,895.30,0
1988-01-11,849.10,849.10,849.10,849.10,849.10,0
1988-01-12,870.50,870.50,870.50,870.50,870.50,0
1988-01-13,853.90,853.90,853.90,853.90,853.90,0
1988-01-14,861.60,861.60,861.60,861.60,861.60,0
1988-01-15,869.80,869.80,869.80,869.80,869.80,0
1988-01-18,917.60,917.60,917.60,917.60,917.60,0
1988-01-19,912.20,912.20,912.20,912.20,912.20,0
1988-01-20,924.10,924.10,924.10,924.10,924.10,0
1988-01-21,909.60,909.60,909.60,909.60,909.60,0
1988-01-22,904.20,904.20,904.20,904.20,904.20,0
1988-01-25,908.90,908.90,908.90,908.90,908.90,0
1988-01-26,907.40,907.40,907.40,907.40,907.40,0
1988-01-27,897.40,897.40,897.40,897.40,897.40,0
1988-01-28,903.70,903.70,903.70,903.70,903.70,0
1988-01-29,908.90,908.90,908.90,908.90,908.90,0
1988-02-01,892.00,892.00,892.00,892.00,892.00,0
1988-02-02,888.20,888.20,888.20,888.20,888.20,0
1988-02-03,895.50,895.50,895.50,895.50,895.50,0
1988-02-04,882.10,882.10,882.10,882.10,882.10,0
1988-02-05,869.90,869.90,869.90,869.90,869.90,0
1988-02-08,859.20,859.20,859.20,859.20,859.20,0
1988-02-09,851.80,851.80,851.80,851.80,851.80,0
1988-02-10,857.70,857.70,857.70,857.70,857.70,0
1988-02-11,866.70,866.70,866.70,866.70,866.70,0
1988-02-12,873.20,873.20,873.20,873.20,873.20,0
