Date,Open,High,Low,Close,Adj Close,Volume
1991-04-09,1201.70,1201.70,1201.70,1201.70,1201.70,0
1991-04-10,1197.60,1197.60,1197.60,1197.60,1197.60,0
1991-04-11,1198.90,1198.90,1198.90,1198.90,1198.90,0
1991-04-12,1206.60,1206.60,1206.60,1206.60,1206.60,0
1991-04-15,1208.10,1208.10,1208.10,1208.10,1208.10,0
1991-04-16,1209.40,1209.40,1209.40,1209.40,1209.40,0
1991-04-17,1212.20,1212.20,1212.20,1212.20,1212.20,0
1991-04-18,1211.40,1211.40,1211.40,1211.40,1211.40,0
1991-04-19,1210.80,1210.80,1210.80,1210.80,1210.80,0
1991-04-22,1203.30,1203.30,1203.30,1203.30,1203.30,0
1991-04-23,1209.00,1209.00,1209.00,1209.00,1209.00,0
1991-04-24,1208.50,1208.50,1208.50,1208.50,1208.50,0
1991-04-25,1208.90,1208.90,1208.90,1208.90,1208.90,0
1991-04-26,1202.90,1202.90,1202.90,1202.90,1202.90,0
1991-04-29,1199.00,1199.00,1199.00,1199.00,1199.00,0
1991-04-30,1188.40,1188.40,1188.40,1188.40,1188.40,0
1991-05-02,1192.50,1192.50,1192.50,1192.50,1192.50,0
1991-05-03,1185.10,1185.10,1185.10,1185.10,1185.10,0
1991-05-06,1177.30,1177.30,1177.30,1177.30,1177.30,0
1991-05-07,1176.00,1176.00,1176.00,1176.00,1176.00,0
1991-05-08,1174.70,1174.70,1174.70,1174.70,1174.70,0
1991-05-13,1179.40,1179.40,1179.40,1179.40,1179.40,0
1991-05-14,1181.80,1181.80,1181.80,1181.80,1181.80,0
1991-05-15,1178.20,1178.20,1178.20,1178.20,1178.20,0
1991-05-16,1175.50,1175.50,1175.50,1175.50,1175.50,0
1991-05-17,1171.80,1171.80,1171.80,1171.80,1171.80,0
1991-05-21,1171.10,1171.10,1171.10,1171.10,1171.10,0
1991-05-22,1172.30,1172.30,1172.30,1172.30,1172.30,0
1991-05-23,1167.80,1167.80,1167.80,1167.80,1167.80,0
1991-05-24,1166.60,1166.60,1166.60,1166.60,1166.60,0
1991-05-27,1163.90,1163.90,1163.90,1163.90,1163.90,0
1991-05-28,1158.90,1158.90,1158.90,1158.90,1158.90,0
1991-05-29,1163.20,1163.20,1163.20,1163.20,1163.20,0
1991-05-30,1163.80,1163.80,1163.80,1163.80,1163.80,0
1991-05-31,1171.70,1171.70,1171.70,1171.70,1171.70,0
1991-06-03,1175.90,1175.90,1175.90,1175.90,1175.90,0
1991-06-04,1176.80,1176.80,1176.80,1176.80,1176.80,0
1991-06-05,1181.40,1181.40,1181.40,1181.40,1181.40,0
1991-06-06,1186.60,1186.60,1186.60,1186.60,1186.60,0
1991-06-07,1184.30,1184.30,1184.30,1184.30,1184.30,0
1991-06-10,1178.80,1178.80,1178.80,1178.80,1178.80,0
1991-06-11,1181.30,1181.30,1181.30,1181.30,1181.30,0
1991-06-12,1181.10,1181.10,1181.10,1181.10,1181.10,0
1991-06-13,1180.80,1180.80,1180.80,1180.80,1180.80,0
1991-06-14,1186.00,1186.00,1186.00,1186.00,1186.00,0
1991-06-17,1184.30,1184.30,1184.30,1184.30,1184.30,0
1991-06-18,1180.60,1180.60,1180.60,1180.60,1180.60,0
1991-06-19,1171.80,1171.80,1171.80,1171.80,1171.80,0
1991-06-20,1169.10,1169.10,1169.10,1169.10,1169.10,0
1991-06-21,1166.30,1166.30,1166.30,1166.30,1166.30,0
1991-06-24,1159.20,1159.20,1159.20,1159.20,1159.20,0
1991-06-25,1155.90,1155.90,1155.90,1155.90,1155.90,0
1991-06-26,1160.30,1160.30,1160.30,1160.30,1160.30,0
1991-06-27,1159.90,1159.90,1159.90,1159.90,1159.90,0
1991-06-28,1162.50,1162.50,1162.50,1162.50,1162.50,0
1991-07-01,1160.30,1160.30,1160.30,1160.30,1160.30,0
1991-07-02,1158.40,1158.40,1158.40,1158.40,1158.40,0
1991-07-03,1152.60,1152.60,1152.60,1152.60,1152.60,0
1991-07-04,1155.00,1155.00,1155.00,1155.00,1155.00,0
1991-07-05,1150.20,1150.20,1150.20,1150.20,1150.20,0
1991-07-08,1142.00,1142.00,1142.00,1142.00,1142.00,0
1991-07-09,1146.60,1146.60,1146.60,1146.60,1146.60,0
1991-07-10,1147.40,1147.40,1147.40,1147.40,1147.40,0
1991-07-11,1148.90,1148.90,1148.90,1148.90,1148.90,0
1991-07-12,1150.20,1150.20,1150.20,1150.20,1150.20,0
1991-07-15,1146.80,1146.80,1146.80,1146.80,1146.80,0
1991-07-16,1146.50,1146.50,1146.50,1146.50,1146.50,0
1991-07-17,1143.30,1143.30,1143.30,1143.30,1143.30,0
1991-07-18,1140.10,1140.10,1140.10,1140.10,1140.10,0
1991-07-19,1139.30,1139.30,1139.30,1139.30,1139.30,0
1991-07-23,1135.90,1135.90,1135.90,1135.90,1135.90,0
1991-07-24,1134.10,1134.10,1134.10,1134.10,1134.10,0
1991-07-25,1129.00,1129.00,1129.00,1129.00,1129.00,0
1991-07-26,1126.90,1126.90,1126.90,1126.90,1126.90,0
1991-07-29,1124.20,1124.20,1124.20,1124.20,1124.20,0
1991-07-30,1129.80,1129.80,1129.80,1129.80,1129.80,0
1991-07-31,1139.70,1139.70,1139.70,1139.70,1139.70,0
1991-08-01,1141.70,1141.70,1141.70,1141.70,1141.70,0
1991-08-02,1146.20,1146.20,1146.20,1146.20,1146.20,0
1991-08-05,1147.20,1147.20,1147.20,1147.20,1147.20,0
1991-08-06,1147.30,1147.30,1147.30,1147.30,1147.30,0
1991-08-07,1151.30,1151.30,1151.30,1151.30,1151.30,0
1991-08-08,1147.40,1147.40,1147.40,1147.40,1147.40,0
1991-08-09,1148.80,1148.80,1148.80,1148.80,1148.80,0
1991-08-12,1142.50,1142.50,1142.50,1142.50,1142.50,0
1991-08-13,1140.60,1140.60,1140.60,1140.60,1140.60,0
1991-08-14,1142.50,1142.50,1142.50,1142.50,1142.50,0
1991-08-16,1143.70,1143.70,1143.70,1143.70,1143.70,0
1991-08-19,1073.90,1073.90,1073.90,1073.90,1073.90,0
1991-08-20,1102.00,1102.00,1102.00,1102.00,1102.00,0
1991-08-21,1125.00,1125.00,1125.00,1125.00,1125.00,0
1991-08-22,1123.50,1123.50,1123.50,1123.50,1123.50,0
1991-08-23,1120.50,1120.50,1120.50,1120.50,1120.50,0
1991-08-26,1122.00,1122.00,1122.00,1122.00,1122.00,0
1991-08-27,1124.00,1124.00,1124.00,1124.00,1124.00,0
1991-08-28,1120.40,1120.40,1120.40,1120.40,1120.40,0
1991-08-29,1121.60,1121.60,1121.60,1121.60,1121.60,0
1991-08-30,1128.90,1128.90,1128.90,1128.90,1128.90,0
1991-09-02,1132.30,1132.30,1132.30,1132.30,1132.30,0
1991-09-03,1140.00,1140.00,1140.00,1140.00,1140.00,0
1991-09-04,1144.10,1144.10,1144.10,1144.10,1144.10,0
1991-09-05,1140.10,1140.10,1140.10,1140.10,1140.10,0
1991-09-06,1135.30,1135.30,1135.30,1135.30,1135.30,0
1991-09-09,1130.20,1130.20,1130.20,1130.20,1130.20,0
1991-09-10,1123.50,1123.50,1123.50,1123.50,1123.50,0
1991-09-11,1120.10,1120.10,1120.10,1120.10,1120.10,0
1991-09-12,1115.20,1115.20,1115.20,1115.20,1115.20,0
1991-09-13,1119.30,1119.30,1119.30,1119.30,1119.30,0
1991-09-16,1112.80,1112.80,1112.80,1112.80,1112.80,0
1991-09-17,1111.50,1111.50,1111.50,1111.50,1111.50,0
1991-09-18,1106.00,1106.00,1106.00,1106.00,1106.00,0
1991-09-19,1113.40,1113.40,1113.40,1113.40,1113.40,0
1991-09-20,1113.70,1113.70,1113.70,1113.70,1113.70,0
1991-09-23,1105.50,1105.50,1105.50,1105.50,1105.50,0
1991-09-24,1095.30,1095.30,1095.30,1095.30,1095.30,0
1991-09-25,1089.00,1089.00,1089.00,1089.00,1089.00,0
1991-09-26,1086.10,1086.10,1086.10,1086.10,1086.10,0
1991-09-27,1087.00,1087.00,1087.00,1087.00,1087.00,0
1991-09-30,1089.00,1089.00,1089.00,1089.00,1089.00,0
1991-10-01,1089.80,1089.80,1089.80,1089.80,1089.80,0
1991-10-02,1089.30,1089.30,1089.30,1089.30,1089.30,0
1991-10-03,1107.10,1107.10,1107.10,1107.10,1107.10,0
1991-10-04,1102.40,1102.40,1102.40,1102.40,1102.40,0
1991-10-07,1101.00,1101.00,1101.00,1101.00,1101.00,0
1991-10-08,1100.30,1100.30,1100.30,1100.30,1100.30,0
1991-10-09,1099.40,1099.40,1099.40,1099.40,1099.40,0
1991-10-10,1104.20,1104.20,1104.20,1104.20,1104.20,0
1991-10-11,1109.60,1109.60,1109.60,1109.60,1109.60,0
1991-10-14,1104.80,1104.80,1104.80,1104.80,1104.80,0
1991-10-15,1106.50,1106.50,1106.50,1106.50,1106.50,0
1991-10-16,1105.60,1105.60,1105.60,1105.60,1105.60,0
1991-10-17,1107.40,1107.40,1107.40,1107.40,1107.40,0
1991-10-18,1103.80,1103.80,1103.80,1103.80,1103.80,0
1991-10-21,1101.60,1101.60,1101.60,1101.60,1101.60,0
1991-10-22,1103.80,1103.80,1103.80,1103.80,1103.80,0
1991-10-23,1104.40,1104.40,1104.40,1104.40,1104.40,0
1991-10-24,1105.00,1105.00,1105.00,1105.00,1105.00,0
1991-10-25,1104.40,1104.40,1104.40,1104.40,1104.40,0
1991-10-28,1104.30,1104.30,1104.30,1104.30,1104.30,0
1991-10-29,1104.50,1104.50,1104.50,1104.50,1104.50,0
1991-10-30,1102.20,1102.20,1102.20,1102.20,1102.20,0
1991-10-31,1101.00,1101.00,1101.00,1101.00,1101.00,0
1991-11-04,1098.20,1098.20,1098.20,1098.20,1098.20,0
1991-11-05,1104.60,1104.60,1104.60,1104.60,1104.60,0
1991-11-06,1104.40,1104.40,1104.40,1104.40,1104.40,0
1991-11-07,1102.90,1102.90,1102.90,1102.90,1102.90,0
1991-11-08,1104.40,1104.40,1104.40,1104.40,1104.40,0
1991-11-12,1105.80,1105.80,1105.80,1105.80,1105.80,0
1991-11-13,1107.90,1107.90,1107.90,1107.90,1107.90,0
1991-11-14,1108.60,1108.60,1108.60,1108.60,1108.60,0
1991-11-15,1108.90,1108.90,1108.90,1108.90,1108.90,0
1991-11-18,1100.50,1100.50,1100.50,1100.50,1100.50,0
1991-11-19,1099.00,1099.00,1099.00,1099.00,1099.00,0
1991-11-20,1098.60,1098.60,1098.60,1098.60,1098.60,0
1991-11-21,1091.90,1091.90,1091.90,1091.90,1091.90,0
1991-11-22,1096.00,1096.00,1096.00,1096.00,1096.00,0
1991-11-25,1070.10,1070.10,1070.10,1070.10,1070.10,0
1991-11-26,1080.70,1080.70,1080.70,1080.70,1080.70,0
1991-11-27,1076.60,1076.60,1076.60,1076.60,1076.60,0
1991-11-28,1070.80,1070.80,1070.80,1070.80,1070.80,0
