Date,Open,High,Low,Close,Adj Close,Volume
1990-03-01,1836.00,1838.00,1827.00,1832.00,1832.00,0
1990-03-02,1831.00,1860.00,1831.00,1860.00,1860.00,0
1990-03-05,1866.00,1874.00,1862.00,1874.00,1874.00,0
1990-03-06,1869.00,1875.00,1866.00,1872.00,1872.00,0
1990-03-07,1874.00,1881.00,1874.00,1880.00,1880.00,0
1990-03-08,1891.00,1923.00,1891.00,1917.00,1917.00,0
1990-03-09,1936.00,1941.00,1921.00,1921.00,1921.00,0
1990-03-12,1917.00,1918.00,1912.00,1912.00,1912.00,0
1990-03-13,1924.00,1924.00,1924.00,1924.00,1924.00,0
1990-03-14,1919.00,1946.00,1919.00,1946.00,1946.00,0
1990-03-15,1966.00,1967.00,1950.00,1964.00,1964.00,0
1990-03-16,1963.00,1967.00,1952.00,1958.00,1958.00,0
1990-03-19,1950.00,1953.00,1931.00,1936.00,1936.00,0
1990-03-20,1934.00,1941.00,1922.00,1925.00,1925.00,0
1990-03-21,1926.00,1940.00,1924.00,1938.00,1938.00,0
1990-03-22,1918.00,1931.00,1910.00,1914.00,1914.00,0
1990-03-23,1924.00,1944.00,1923.00,1937.00,1937.00,0
1990-03-26,1948.00,1967.00,1948.00,1964.00,1964.00,0
1990-03-27,1956.00,1959.00,1944.00,1946.00,1946.00,0
1990-03-28,1944.00,1948.00,1931.00,1939.00,1939.00,0
1990-03-29,1944.00,1953.00,1940.00,1947.00,1947.00,0
1990-03-30,1943.00,1975.00,1943.00,1972.00,1972.00,0
1990-04-02,1951.00,1962.00,1937.00,1947.00,1947.00,0
1990-04-03,1953.00,1990.00,1953.00,1985.00,1985.00,0
1990-04-04,1997.00,2014.00,1994.00,2001.00,2001.00,0
1990-04-05,2004.00,2034.00,1997.00,2028.00,2028.00,0
1990-04-06,2054.00,2081.00,2053.00,2070.00,2070.00,0
1990-04-09,2076.00,2086.00,2063.00,2083.00,2083.00,0
1990-04-10,2076.00,2079.00,2065.00,2075.00,2075.00,0
1990-04-11,2074.00,2107.00,2072.00,2103.00,2103.00,0
1990-04-12,2105.00,2117.00,2096.00,2117.00,2117.00,0
1990-04-17,2122.00,2141.00,2117.00,2126.00,2126.00,0
1990-04-18,2128.00,2128.00,2096.00,2098.00,2098.00,0
1990-04-19,2073.00,2102.00,2072.00,2097.00,2097.00,0
1990-04-20,2101.00,2131.00,2100.00,2129.00,2129.00,0
1990-04-23,2126.00,2138.00,2084.00,2090.00,2090.00,0
1990-04-24,2082.00,2109.00,2082.00,2101.00,2101.00,0
1990-04-25,2104.00,2114.00,2091.00,2092.00,2092.00,0
1990-04-26,2100.00,2108.00,2067.00,2072.00,2072.00,0
1990-04-27,2080.00,2080.00,2054.00,2066.00,2066.00,0
1990-04-30,2057.00,2057.00,2032.00,2046.00,2046.00,0
1990-05-02,2056.00,2073.00,2048.00,2066.00,2066.00,0
1990-05-03,2085.00,2104.00,2081.00,2099.00,2099.00,0
1990-05-04,2108.00,2116.00,2096.00,2099.00,2099.00,0
1990-05-07,2111.00,2122.00,2103.00,2120.00,2120.00,0
1990-05-09,2133.00,2134.00,2103.00,2103.00,2103.00,0
1990-05-10,2104.00,2106.00,2089.00,2104.00,2104.00,0
1990-05-11,2089.00,2102.00,2081.00,2092.00,2092.00,0
1990-05-14,2099.00,2099.00,2083.00,2090.00,2090.00,0
1990-05-15,2088.00,2088.00,2064.00,2070.00,2070.00,0
1990-05-16,2068.00,2080.00,2057.00,2071.00,2071.00,0
1990-05-17,2069.00,2105.00,2069.00,2104.00,2104.00,0
1990-05-18,2110.00,2120.00,2096.00,2100.00,2100.00,0
1990-05-21,2083.00,2094.00,2075.00,2092.00,2092.00,0
1990-05-22,2094.00,2117.00,2093.00,2115.00,2115.00,0
1990-05-23,2136.00,2141.00,2117.00,2123.00,2123.00,0
1990-05-25,2124.00,2124.00,2110.00,2112.00,2112.00,0
1990-05-28,2098.00,2116.00,2093.00,2114.00,2114.00,0
1990-05-29,2109.00,2125.00,2107.00,2123.00,2123.00,0
1990-05-30,2135.00,2140.00,2116.00,2121.00,2121.00,0
1990-05-31,2120.00,2121.00,2094.00,2107.00,2107.00,0
1990-06-01,2102.00,2102.00,2083.00,2087.00,2087.00,0
1990-06-05,2090.00,2091.00,2065.00,2069.00,2069.00,0
1990-06-06,2057.00,2068.00,2041.00,2045.00,2045.00,0
1990-06-07,2046.00,2059.00,2045.00,2045.00,2045.00,0
1990-06-08,2045.00,2050.00,2016.00,2021.00,2021.00,0
1990-06-11,1998.00,2010.00,1988.00,2001.00,2001.00,0
1990-06-12,2009.00,2012.00,1998.00,2006.00,2006.00,0
1990-06-13,2022.00,2034.00,2011.00,2026.00,2026.00,0
1990-06-14,2034.00,2035.00,2021.00,2028.00,2028.00,0
1990-06-15,2025.00,2029.00,2009.00,2012.00,2012.00,0
1990-06-18,2008.00,2012.00,1987.00,1988.00,1988.00,0
1990-06-19,1972.00,2003.00,1972.00,2000.00,2000.00,0
1990-06-20,2002.00,2009.00,1999.00,2004.00,2004.00,0
1990-06-21,2004.00,2017.00,2003.00,2008.00,2008.00,0
1990-06-22,2032.00,2037.00,2023.00,2032.00,2032.00,0
1990-06-25,2034.00,2045.00,2025.00,2040.00,2040.00,0
1990-06-26,2044.00,2056.00,2040.00,2053.00,2053.00,0
1990-06-27,2048.00,2059.00,2031.00,2034.00,2034.00,0
1990-06-28,2036.00,2053.00,2029.00,2038.00,2038.00,0
1990-06-29,2039.00,2050.00,2019.00,2035.00,2035.00,0
1990-07-02,2025.00,2035.00,2024.00,2035.00,2035.00,0
1990-07-03,2034.00,2046.00,2029.00,2031.00,2031.00,0
1990-07-04,2027.00,2032.00,2013.00,2032.00,2032.00,0
1990-07-05,2016.00,2016.00,1987.00,2000.00,2000.00,0
1990-07-06,1990.00,2002.00,1989.00,2002.00,2002.00,0
1990-07-09,2005.00,2009.00,1989.00,2002.00,2002.00,0
1990-07-10,1985.00,1986.00,1957.00,1963.00,1963.00,0
1990-07-11,1953.00,1975.00,1950.00,1970.00,1970.00,0
1990-07-12,1979.00,1983.00,1972.00,1975.00,1975.00,0
1990-07-13,1989.00,2002.00,1984.00,1998.00,1998.00,0
1990-07-16,2001.00,2016.00,1998.00,2015.00,2015.00,0
1990-07-17,2024.00,2025.00,2015.00,2019.00,2019.00,0
1990-07-18,2023.00,2036.00,2023.00,2029.00,2029.00,0
1990-07-19,2028.00,2030.00,2021.00,2023.00,2023.00,0
1990-07-20,2025.00,2031.00,2017.00,2031.00,2031.00,0
1990-07-23,2021.00,2026.00,1970.00,1990.00,1990.00,0
1990-07-24,1997.00,2000.00,1985.00,1995.00,1995.00,0
1990-07-25,2005.00,2006.00,1995.00,1998.00,1998.00,0
1990-07-26,2001.00,2005.00,1981.00,1984.00,1984.00,0
1990-07-27,1973.00,1973.00,1956.00,1965.00,1965.00,0
1990-07-30,1959.00,1961.00,1945.00,1955.00,1955.00,0
1990-07-31,1967.00,1971.00,1955.00,1965.00,1965.00,0
1990-08-01,1959.00,1966.00,1953.00,1960.00,1960.00,0
1990-08-02,1949.00,1960.00,1897.00,1916.00,1916.00,0
1990-08-03,1906.00,1912.00,1861.00,1869.00,1869.00,0
1990-08-06,1826.00,1833.00,1737.00,1774.00,1774.00,0
1990-08-07,1757.00,1816.00,1755.00,1812.00,1812.00,0
1990-08-08,1805.00,1805.00,1725.00,1757.00,1757.00,0
1990-08-09,1774.00,1784.00,1765.00,1780.00,1780.00,0
