Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,1000.00,1000.00,1000.00,1000.00,1000.00,0
2000-01-03,996.77,996.77,996.77,996.77,996.77,0
2000-01-04,955.97,955.97,955.97,955.97,955.97,0
2000-01-05,930.26,930.26,930.26,930.26,930.26,0
2000-01-06,922.46,922.46,922.46,922.46,922.46,0
2000-01-07,943.88,943.88,943.88,943.88,943.88,0
2000-01-10,960.22,960.22,960.22,960.22,960.22,0
2000-01-11,954.06,954.06,954.06,954.06,954.06,0
2000-01-12,946.83,946.83,946.83,946.83,946.83,0
2000-01-13,951.82,951.82,951.82,951.82,951.82,0
2000-01-14,973.86,973.86,973.86,973.86,973.86,0
2000-01-17,979.96,979.96,979.96,979.96,979.96,0
2000-01-18,952.59,952.59,952.59,952.59,952.59,0
2000-01-19,951.26,951.26,951.26,951.26,951.26,0
2000-01-20,955.41,955.41,955.41,955.41,955.41,0
2000-01-21,951.51,951.51,951.51,951.51,951.51,0
2000-01-24,956.61,956.61,956.61,956.61,956.61,0
2000-01-25,943.88,943.88,943.88,943.88,943.88,0
2000-01-26,946.20,946.20,946.20,946.20,946.20,0
2000-01-27,948.15,948.15,948.15,948.15,948.15,0
2000-01-28,948.21,948.21,948.21,948.21,948.21,0
2000-01-31,929.86,929.86,929.86,929.86,929.86,0
2000-02-01,944.77,944.77,944.77,944.77,944.77,0
2000-02-02,968.61,968.61,968.61,968.61,968.61,0
2000-02-03,994.14,994.14,994.14,994.14,994.14,0
2000-02-04,1010.43,1010.43,1010.43,1010.43,1010.43,0
2000-02-07,1002.40,1002.40,1002.40,1002.40,1002.40,0
2000-02-08,1022.25,1022.25,1022.25,1022.25,1022.25,0
2000-02-09,1016.01,1016.01,1016.01,1016.01,1016.01,0
2000-02-10,1005.64,1005.64,1005.64,1005.64,1005.64,0
2000-02-11,1014.17,1014.17,1014.17,1014.17,1014.17,0
2000-02-14,1006.27,1006.27,1006.27,1006.27,1006.27,0
2000-02-15,993.87,993.87,993.87,993.87,993.87,0
2000-02-16,996.41,996.41,996.41,996.41,996.41,0
2000-02-17,1009.35,1009.35,1009.35,1009.35,1009.35,0
2000-02-18,992.53,992.53,992.53,992.53,992.53,0
2000-02-21,978.69,978.69,978.69,978.69,978.69,0
2000-02-22,976.72,976.72,976.72,976.72,976.72,0
2000-02-23,983.38,983.38,983.38,983.38,983.38,0
2000-02-24,988.71,988.71,988.71,988.71,988.71,0
2000-02-25,1004.72,1004.72,1004.72,1004.72,1004.72,0
2000-02-28,992.43,992.43,992.43,992.43,992.43,0
2000-02-29,1007.32,1007.32,1007.32,1007.32,1007.32,0
2000-03-01,1015.66,1015.66,1015.66,1015.66,1015.66,0
2000-03-02,1033.60,1033.60,1033.60,1033.60,1033.60,0
2000-03-03,1042.40,1042.40,1042.40,1042.40,1042.40,0
2000-03-06,1047.77,1047.77,1047.77,1047.77,1047.77,0
2000-03-07,1037.99,1037.99,1037.99,1037.99,1037.99,0
2000-03-08,1032.68,1032.68,1032.68,1032.68,1032.68,0
2000-03-09,1035.26,1035.26,1035.26,1035.26,1035.26,0
2000-03-10,1045.27,1045.27,1045.27,1045.27,1045.27,0
2000-03-13,1017.39,1017.39,1017.39,1017.39,1017.39,0
2000-03-14,1020.81,1020.81,1020.81,1020.81,1020.81,0
2000-03-15,998.22,998.22,998.22,998.22,998.22,0
2000-03-16,1015.48,1015.48,1015.48,1015.48,1015.48,0
2000-03-17,1022.12,1022.12,1022.12,1022.12,1022.12,0
2000-03-20,1028.39,1028.39,1028.39,1028.39,1028.39,0
2000-03-21,1027.63,1027.63,1027.63,1027.63,1027.63,0
2000-03-22,1027.01,1027.01,1027.01,1027.01,1027.01,0
2000-03-23,1017.79,1017.79,1017.79,1017.79,1017.79,0
2000-03-24,1029.66,1029.66,1029.66,1029.66,1029.66,0
2000-03-27,1035.76,1035.76,1035.76,1035.76,1035.76,0
2000-03-28,1048.37,1048.37,1048.37,1048.37,1048.37,0
2000-03-29,1045.73,1045.73,1045.73,1045.73,1045.73,0
2000-03-30,1023.21,1023.21,1023.21,1023.21,1023.21,0
