Date,Open,High,Low,Close,Adj Close,Volume
1984-01-03,997.50,1001.40,997.50,997.50,997.50,0
1984-01-04,997.50,999.50,993.30,998.60,998.60,0
1984-01-05,1007.10,1015.80,1007.10,1015.80,1015.80,0
1984-01-06,1019.00,1029.30,1019.00,1029.00,1029.00,0
1984-01-09,1030.60,1035.40,1030.60,1034.60,1034.60,0
1984-01-10,1034.60,1034.90,1029.90,1034.30,1034.30,0
1984-01-11,1033.60,1033.60,1021.40,1023.40,1023.40,0
1984-01-12,1023.40,1031.30,1020.20,1031.30,1031.30,0
1984-01-13,1033.10,1042.70,1033.10,1042.70,1042.70,0
1984-01-16,1042.70,1046.00,1039.10,1046.00,1046.00,0
1984-01-17,1044.40,1044.40,1036.20,1041.90,1041.90,0
1984-01-18,1044.40,1058.70,1044.40,1058.70,1058.70,0
1984-01-19,1058.70,1060.20,1053.90,1057.80,1057.80,0
1984-01-20,1057.80,1060.60,1056.20,1059.00,1059.00,0
1984-01-23,1059.00,1059.00,1046.30,1046.80,1046.80,0
1984-01-24,1046.80,1055.20,1039.90,1055.20,1055.20,0
1984-01-25,1058.20,1073.50,1058.20,1073.50,1073.50,0
1984-01-26,1073.50,1074.80,1069.00,1072.10,1072.10,0
1984-01-27,1072.10,1075.90,1065.00,1075.90,1075.90,0
1984-01-30,1075.90,1082.00,1068.60,1068.60,1068.60,0
1984-01-31,1063.50,1063.50,1058.00,1063.00,1063.00,0
1984-02-01,1062.60,1062.60,1060.30,1060.30,1060.30,0
1984-02-02,1055.00,1055.00,1046.00,1050.80,1050.80,0
1984-02-03,1054.40,1060.20,1054.40,1059.80,1059.80,0
1984-02-06,1054.20,1054.20,1038.20,1038.20,1038.20,0
1984-02-07,1026.70,1026.70,1019.20,1021.70,1021.70,0
1984-02-08,1026.70,1034.50,1026.70,1029.70,1029.70,0
1984-02-09,1016.90,1016.90,1010.00,1016.90,1016.90,0
1984-02-10,1016.90,1020.70,1012.30,1018.00,1018.00,0
1984-02-13,1018.30,1023.00,1018.30,1018.30,1018.30,0
1984-02-14,1018.30,1027.00,1015.40,1027.00,1027.00,0
1984-02-15,1031.70,1036.80,1031.70,1033.00,1033.00,0
1984-02-16,1033.00,1035.60,1030.40,1035.00,1035.00,0
1984-02-17,1035.00,1039.00,1035.00,1039.00,1039.00,0
1984-02-20,1038.70,1038.70,1034.20,1035.40,1035.40,0
1984-02-21,1038.40,1044.70,1038.40,1044.40,1044.40,0
1984-02-22,1044.40,1045.50,1040.70,1043.00,1043.00,0
1984-02-23,1042.10,1042.10,1031.70,1031.70,1031.70,0
1984-02-24,1031.70,1036.90,1030.80,1036.90,1036.90,0
1984-02-27,1038.80,1044.30,1038.80,1041.30,1041.30,0
1984-02-28,1039.20,1039.20,1039.20,1039.20,1039.20,0
1984-02-29,1039.20,1040.60,1031.20,1040.30,1040.30,0
1984-03-01,1042.10,1047.10,1042.10,1046.10,1046.10,0
1984-03-02,1048.80,1060.70,1048.80,1060.70,1060.70,0
1984-03-05,1053.70,1053.70,1053.70,1053.70,1053.70,0
1984-03-06,1053.70,1064.80,1050.90,1064.50,1064.50,0
1984-03-07,1063.10,1063.10,1055.60,1055.60,1055.60,0
1984-03-08,1055.60,1056.00,1050.90,1055.80,1055.80,0
1984-03-09,1056.30,1060.40,1056.30,1060.10,1060.10,0
1984-03-12,1060.10,1065.20,1058.60,1063.60,1063.60,0
1984-03-13,1067.50,1082.70,1067.50,1082.50,1082.50,0
1984-03-14,1082.50,1088.10,1079.90,1087.70,1087.70,0
1984-03-15,1087.70,1101.10,1082.60,1101.10,1101.10,0
1984-03-16,1115.80,1131.30,1115.80,1128.50,1128.50,0
1984-03-19,1125.90,1125.90,1109.70,1109.70,1109.70,0
1984-03-20,1110.00,1125.10,1110.00,1123.30,1123.30,0
1984-03-21,1126.10,1130.80,1126.10,1130.70,1130.70,0
1984-03-22,1125.40,1125.40,1117.00,1117.20,1117.20,0
1984-03-23,1117.20,1121.30,1109.30,1121.30,1121.30,0
1984-03-26,1119.90,1119.90,1110.70,1119.70,1119.70,0
1984-03-27,1117.30,1117.30,1099.90,1101.90,1101.90,0
1984-03-28,1101.90,1110.10,1101.90,1103.60,1103.60,0
1984-03-29,1109.30,1116.50,1109.30,1113.60,1113.60,0
1984-03-30,1113.60,1114.40,1110.10,1112.50,1112.50,0
1984-04-02,1112.50,1115.90,1108.10,1108.10,1108.10,0
1984-04-03,1101.50,1101.50,1095.40,1095.40,1095.40,0
1984-04-04,1095.10,1095.10,1093.40,1093.60,1093.60,0
1984-04-05,1097.80,1104.40,1097.80,1102.20,1102.20,0
1984-04-06,1096.30,1096.30,1090.00,1096.30,1096.30,0
1984-04-09,1096.30,1096.70,1092.40,1096.70,1096.70,0
1984-04-10,1097.90,1106.60,1097.90,1105.40,1105.40,0
1984-04-11,1108.30,1111.70,1108.30,1110.60,1110.60,0
1984-04-12,1110.60,1117.60,1109.70,1117.00,1117.00,0
1984-04-13,1127.80,1132.00,1127.80,1129.10,1129.10,0
1984-04-16,1122.90,1122.90,1105.60,1105.90,1105.90,0
1984-04-17,1105.90,1112.90,1104.80,1110.20,1110.20,0
1984-04-18,1114.20,1116.90,1114.20,1116.20,1116.20,0
1984-04-19,1114.60,1114.60,1108.40,1108.40,1108.40,0
1984-04-20,1108.40,1108.40,1108.40,1108.40,1108.40,0
1984-04-23,1108.40,1108.40,1108.40,1108.40,1108.40,0
1984-04-24,1105.60,1105.60,1102.80,1105.40,1105.40,0
1984-04-25,1112.40,1121.00,1112.40,1119.80,1119.80,0
1984-04-26,1124.70,1131.50,1124.70,1130.90,1130.90,0
1984-04-27,1138.20,1138.20,1138.20,1138.20,1138.20,0
1984-04-30,1138.20,1138.30,1134.90,1138.30,1138.30,0
1984-05-01,1137.20,1137.20,1133.10,1136.80,1136.80,0
1984-05-02,1136.80,1140.10,1133.60,1140.10,1140.10,0
1984-05-03,1140.10,1142.80,1137.40,1141.50,1141.50,0
1984-05-04,1135.80,1135.80,1133.50,1134.00,1134.00,0
1984-05-07,1134.00,1134.00,1134.00,1134.00,1134.00,0
1984-05-08,1126.90,1126.90,1115.90,1117.60,1117.60,0
1984-05-09,1117.60,1120.50,1109.70,1109.90,1109.90,0
