Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,1473.54,1477.27,1461.49,1464.45,1464.45,0
2013-03-05,1485.04,1486.73,1485.04,1486.42,1486.42,0
2013-03-06,1485.04,1498.02,1485.04,1491.49,1491.49,0
2013-03-07,1491.99,1498.29,1489.02,1491.35,1491.35,0
2013-03-11,1503.98,1506.42,1503.64,1505.93,1505.93,0
2013-03-12,1501.41,1501.41,1499.38,1499.74,1499.74,0
2013-03-13,1495.73,1496.68,1494.95,1495.88,1495.88,0
2013-03-14,1498.83,1502.52,1498.18,1502.52,1502.52,0
2013-03-15,1495.71,1497.90,1494.58,1496.57,1496.57,0
2013-03-18,1461.88,1464.55,1461.36,1462.56,1462.56,0
2013-03-19,1448.84,1450.11,1442.68,1445.34,1445.34,0
2013-03-20,1458.24,1461.36,1457.93,1458.79,1458.79,0
2013-03-21,1459.17,1460.39,1457.29,1458.52,1458.52,0
2013-03-22,1441.26,1442.88,1439.56,1440.99,1440.99,0
2013-03-26,1416.78,1420.12,1416.78,1420.02,1420.02,0
2013-03-27,1424.56,1425.67,1421.74,1424.55,1424.55,0
2013-03-28,1434.88,1437.50,1433.66,1436.62,1436.62,0
2013-04-01,1428.29,1429.57,1427.01,1427.71,1427.71,0
2013-04-02,1430.30,1432.37,1428.47,1428.68,1428.68,0
2013-04-03,1427.42,1428.02,1420.96,1420.96,1420.96,0
2013-04-04,1426.61,1427.97,1425.08,1427.97,1427.97,0
2013-04-05,1417.28,1418.56,1416.50,1417.66,1417.66,0
2013-04-08,1408.81,1411.52,1408.81,1411.29,1411.29,0
2013-04-09,1425.79,1426.40,1425.56,1425.72,1425.72,0
2013-04-10,1425.19,1427.08,1423.98,1426.94,1426.94,0
2013-04-11,1400.92,1401.46,1399.88,1401.46,1401.46,0
2013-04-12,1385.62,1387.94,1385.46,1386.56,1386.56,0
2013-04-15,1358.23,1358.42,1354.35,1354.35,1354.35,0
2013-04-16,1353.41,1354.67,1352.78,1354.44,1354.44,0
2013-04-17,1335.91,1339.40,1335.91,1339.40,1339.40,0
2013-04-18,1335.57,1336.33,1334.52,1336.19,1336.19,0
2013-04-19,1338.67,1340.35,1337.57,1339.67,1339.67,0
2013-04-22,1337.22,1338.64,1335.89,1336.80,1336.80,0
2013-04-23,1339.51,1340.82,1337.53,1339.04,1339.04,0
2013-04-24,1377.33,1378.66,1377.31,1377.95,1377.95,0
2013-04-25,1372.50,1375.73,1371.49,1372.35,1372.35,0
2013-04-26,1373.57,1373.64,1371.16,1373.20,1373.20,0
2013-04-29,1363.38,1363.59,1361.89,1363.10,1363.10,0
2013-04-30,1385.88,1386.69,1384.41,1386.69,1386.69,0
2013-05-02,1377.45,1382.54,1377.14,1382.13,1382.13,0
2013-05-03,1408.03,1409.38,1406.84,1409.38,1409.38,0
2013-05-06,1413.02,1414.02,1411.91,1413.96,1413.96,0
2013-05-07,1430.12,1432.50,1428.79,1431.92,1431.92,0
2013-05-08,1431.31,1433.20,1431.31,1432.74,1432.74,0
2013-05-10,1426.25,1427.03,1426.25,1426.84,1426.84,0
2013-05-13,1414.79,1414.79,1409.40,1411.21,1411.21,0
2013-05-14,1405.65,1407.52,1405.48,1405.77,1405.77,0
2013-05-15,1392.54,1394.31,1391.84,1393.54,1393.54,0
2013-05-16,1373.53,1374.55,1373.53,1373.94,1373.94,0
2013-05-17,1401.43,1404.05,1401.43,1404.02,1404.02,0
2013-05-20,1406.94,1407.91,1406.62,1406.96,1406.96,0
2013-05-21,1423.11,1425.24,1422.40,1423.55,1423.55,0
2013-05-22,1448.56,1449.62,1444.00,1444.23,1444.23,0
2013-05-23,1397.75,1399.56,1397.75,1399.44,1399.44,0
2013-05-24,1380.92,1382.24,1380.48,1382.24,1382.24,0
2013-05-27,1378.25,1378.66,1378.07,1378.64,1378.64,0
