Date,Open,High,Low,Close,Adj Close,Volume
1999-12-15,840.00,857.00,833.00,852.00,852.00,3634
1999-12-16,848.00,872.00,842.00,859.00,859.00,3355
1999-12-17,859.00,860.00,837.00,840.00,840.00,2996
1999-12-20,820.00,831.00,814.00,825.00,825.00,5407
1999-12-21,815.00,831.00,815.00,825.00,825.00,2264
1999-12-22,825.00,833.00,804.00,808.00,808.00,5043
1999-12-23,810.00,852.00,800.00,849.00,849.00,6223
1999-12-27,870.00,915.00,852.00,856.00,856.00,7587
1999-12-28,854.00,854.00,835.00,837.00,837.00,2723
1999-12-29,840.00,850.00,831.00,845.00,845.00,0
1999-12-30,840.00,847.00,834.00,837.00,837.00,1836
2000-01-03,840.00,846.00,820.00,830.00,830.00,2426
2000-01-04,830.00,841.00,823.00,836.00,836.00,1957
2000-01-05,840.00,850.00,828.00,831.00,831.00,3975
2000-01-06,830.00,847.00,824.00,841.00,841.00,3454
2000-01-07,848.00,855.00,836.00,853.00,853.00,5008
2000-01-10,848.00,855.00,837.00,839.00,839.00,3900
2000-01-11,838.00,853.00,836.00,846.00,846.00,2073
2000-01-12,848.00,855.00,843.00,854.00,854.00,2458
2000-01-13,854.00,875.00,845.00,871.00,871.00,7037
2000-01-14,870.00,872.00,847.00,850.00,850.00,4477
2000-01-18,835.00,837.00,825.00,828.00,828.00,6976
2000-01-19,828.00,845.00,815.00,844.00,844.00,5731
2000-01-20,841.00,859.00,840.00,853.00,853.00,4759
2000-01-21,857.00,865.00,848.00,861.00,861.00,5036
2000-01-24,858.00,866.00,842.00,844.00,844.00,2671
2000-01-25,845.00,846.00,835.00,838.00,838.00,2973
2000-01-26,834.00,854.00,831.00,846.00,846.00,3964
2000-01-27,848.00,852.00,820.00,823.00,823.00,5849
2000-01-28,829.00,836.00,805.00,811.00,811.00,7540
2000-01-31,810.00,812.00,794.00,795.00,795.00,6201
2000-02-01,780.00,793.00,757.00,763.00,763.00,8622
2000-02-02,775.00,779.00,763.00,766.00,766.00,5044
2000-02-03,770.00,778.00,765.00,774.00,774.00,3021
2000-02-04,774.00,774.00,751.00,765.00,765.00,4604
2000-02-07,765.00,785.00,761.00,783.00,783.00,5579
2000-02-08,781.00,788.00,761.00,767.00,767.00,6178
2000-02-09,767.00,785.00,767.00,784.00,784.00,7150
2000-02-10,775.00,782.00,774.00,776.00,776.00,5701
2000-02-11,770.00,775.00,750.00,759.00,759.00,7767
2000-02-14,755.00,764.00,735.00,740.00,740.00,13644
2000-02-15,745.00,760.00,742.00,748.00,748.00,1547
2000-02-16,760.00,770.00,751.00,764.00,764.00,2052
2000-02-17,767.00,784.00,764.00,781.00,781.00,887
2000-02-18,788.00,790.00,773.00,780.00,780.00,887
2000-02-22,770.00,778.00,760.00,760.00,760.00,67
2000-02-23,765.00,772.00,763.00,769.00,769.00,50
2000-02-24,780.00,805.00,760.00,767.00,767.00,187
2000-02-25,765.00,767.00,734.00,734.00,734.00,49
2000-02-28,735.00,748.00,732.00,740.00,740.00,148
2000-02-29,730.00,754.00,730.00,753.00,753.00,17
2000-03-01,755.00,759.00,745.00,759.00,759.00,11
2000-03-02,770.00,791.00,770.00,791.00,791.00,35
2000-03-03,814.00,814.00,800.00,805.00,805.00,11
2000-03-06,805.00,805.00,775.00,802.00,802.00,10
2000-03-07,815.00,829.00,810.00,819.00,819.00,10
2000-03-08,820.00,829.00,802.00,829.00,829.00,9
2000-03-09,840.00,868.00,815.00,819.00,819.00,22
2000-03-10,835.00,845.00,808.00,840.00,840.00,13
