Date,Open,High,Low,Close,Adj Close,Volume
1999-12-20,135.00,140.00,134.00,135.30,135.30,8313
1999-12-21,132.00,132.00,117.50,120.70,120.70,13246
1999-12-22,117.50,121.00,115.35,117.65,117.65,7075
1999-12-23,118.50,121.90,117.75,121.25,121.25,3906
1999-12-27,123.00,123.00,121.30,122.15,122.15,1748
1999-12-28,122.50,122.75,118.85,119.00,119.00,2656
1999-12-29,119.50,120.25,117.80,120.00,120.00,0
1999-12-30,119.25,126.00,119.25,125.90,125.90,4317
2000-01-03,124.00,124.00,116.10,116.50,116.50,6640
2000-01-04,116.50,120.50,115.75,116.25,116.25,5492
2000-01-05,115.00,121.00,115.00,118.60,118.60,6165
2000-01-06,119.00,121.40,116.50,116.85,116.85,5094
2000-01-07,117.75,117.75,113.80,114.15,114.15,6855
2000-01-10,126.00,126.00,116.70,117.55,117.55,7499
2000-01-11,115.50,118.25,115.50,117.80,117.80,3976
2000-01-12,118.00,120.50,116.90,118.95,118.95,5184
2000-01-13,120.00,120.00,117.50,118.55,118.55,3717
2000-01-14,118.00,120.25,112.25,112.55,112.55,10115
2000-01-18,112.00,118.25,110.60,115.75,115.75,7364
2000-01-19,116.50,118.25,114.75,116.70,116.70,6626
2000-01-20,118.25,118.80,111.70,112.00,112.00,8834
2000-01-21,112.00,113.50,110.80,111.20,111.20,5625
2000-01-24,111.00,114.40,110.95,111.90,111.90,5821
2000-01-25,111.90,113.70,111.60,112.85,112.85,4014
2000-01-26,113.00,115.30,111.90,115.15,115.15,5796
2000-01-27,114.75,116.40,112.80,114.60,114.60,5477
2000-01-28,115.15,115.40,113.70,114.70,114.70,3334
2000-01-31,114.00,114.00,110.50,111.10,111.10,6465
2000-02-01,110.60,112.75,109.80,111.65,111.65,5964
2000-02-02,112.75,114.25,111.75,112.25,112.25,5055
2000-02-03,112.00,113.50,111.25,112.95,112.95,4181
2000-02-04,112.50,114.50,112.50,112.90,112.90,4107
2000-02-07,114.00,114.25,111.25,111.70,111.70,6155
2000-02-08,112.25,112.40,108.50,108.55,108.55,11717
2000-02-09,108.55,109.40,106.90,107.70,107.70,6700
2000-02-10,108.00,109.00,107.30,108.75,108.75,5121
2000-02-11,108.75,110.70,108.40,108.80,108.80,6053
2000-02-14,107.00,107.60,104.25,105.00,105.00,7749
2000-02-15,106.00,106.70,105.30,105.80,105.80,6638
2000-02-16,105.50,107.00,104.90,104.95,104.95,8616
2000-02-17,105.00,105.75,104.40,105.35,105.35,7419
2000-02-18,105.75,106.40,103.75,104.30,104.30,7419
2000-02-22,103.00,104.75,103.00,103.20,103.20,1209
2000-02-23,103.00,104.25,102.50,103.60,103.60,1237
2000-02-24,103.90,104.00,101.75,101.75,101.75,727
2000-02-25,102.00,102.00,98.20,98.80,98.80,1908
2000-02-28,98.25,101.75,98.00,101.65,101.65,473
2000-02-29,102.00,103.00,99.45,99.90,99.90,287
2000-03-01,101.25,101.70,100.25,101.15,101.15,166
2000-03-02,102.50,105.50,102.50,105.10,105.10,198
2000-03-03,104.75,105.40,103.85,104.35,104.35,187
2000-03-06,103.50,106.50,103.50,106.30,106.30,106
2000-03-07,108.00,108.60,108.00,108.40,108.40,171
2000-03-08,108.75,108.75,107.00,107.40,107.40,67
2000-03-09,108.50,109.00,107.20,107.20,107.20,93
2000-03-10,106.00,106.70,105.80,106.10,106.10,112
2000-03-13,106.50,106.50,105.75,106.00,106.00,91
