Date,Open,High,Low,Close,Adj Close,Volume
2000-07-17,182.25,182.25,178.25,179.25,179.25,19385
2000-07-18,179.00,183.25,179.00,180.75,180.75,25205
2000-07-19,180.00,182.75,178.75,182.00,182.00,17126
2000-07-20,181.50,187.00,181.00,186.00,186.00,18742
2000-07-21,185.50,188.00,185.00,187.75,187.75,16814
2000-07-24,187.75,189.50,183.75,184.50,184.50,14615
2000-07-25,183.75,184.50,181.50,182.75,182.75,13883
2000-07-26,182.50,183.25,179.25,180.50,180.50,14762
2000-07-27,180.50,183.00,180.00,181.00,181.00,12353
2000-07-28,181.00,182.50,180.00,180.25,180.25,12850
2000-07-31,178.25,182.00,177.00,180.25,180.25,19481
2000-08-01,180.25,181.50,179.00,179.75,179.75,16626
2000-08-02,179.75,182.00,179.50,180.50,180.50,15230
2000-08-03,180.25,182.25,178.50,180.00,180.00,15137
2000-08-04,179.50,180.50,178.50,178.75,178.75,12389
2000-08-07,178.75,180.00,177.50,177.75,177.75,12616
2000-08-08,178.00,179.75,177.50,179.50,179.50,15584
2000-08-09,179.00,179.25,177.75,178.25,178.25,21466
2000-08-10,178.00,179.50,177.00,177.25,177.25,17658
2000-08-11,177.00,177.50,174.00,174.75,174.75,18551
2000-08-14,174.50,176.25,174.00,175.75,175.75,14873
2000-08-15,175.75,176.25,174.75,175.75,175.75,8128
2000-08-16,175.50,179.25,175.50,178.50,178.50,20428
2000-08-17,178.50,180.50,177.75,178.50,178.50,18718
2000-08-18,178.25,178.75,177.00,177.50,177.50,21695
2000-08-21,177.25,177.25,175.50,176.25,176.25,15683
2000-08-22,176.25,177.50,175.25,175.50,175.50,18264
2000-08-23,175.00,175.75,174.50,175.25,175.25,20807
2000-08-24,175.25,176.75,174.50,176.00,176.00,20764
2000-08-25,175.75,178.25,175.75,176.50,176.50,21622
2000-08-28,180.25,181.50,178.00,179.50,179.50,20965
2000-08-29,181.00,185.00,181.00,184.25,184.25,39334
2000-08-30,183.25,184.75,181.25,181.50,181.50,117
2000-08-31,180.75,182.00,180.75,182.00,182.00,32
