Date,Open,High,Low,Close,Adj Close,Volume
1999-12-08,50.39,50.39,49.65,50.08,50.08,3294
1999-12-09,50.60,50.65,49.80,49.90,49.90,3354
1999-12-10,49.75,50.45,49.70,49.95,49.95,2897
1999-12-13,49.80,50.20,49.57,50.01,50.01,3296
1999-12-14,50.15,50.30,49.85,50.13,50.13,3914
1999-12-15,50.20,50.25,49.70,49.71,49.71,4037
1999-12-16,49.75,49.86,48.79,48.88,48.88,6263
1999-12-17,49.05,49.25,48.80,49.15,49.15,2393
1999-12-20,48.95,49.15,48.60,49.07,49.07,2587
1999-12-21,48.95,49.55,48.90,49.43,49.43,3262
1999-12-22,49.40,49.65,49.20,49.33,49.33,2702
1999-12-23,49.40,49.90,49.30,49.74,49.74,3048
1999-12-27,49.93,50.20,48.80,48.86,48.86,3501
1999-12-28,48.80,49.15,48.80,48.92,48.92,2183
1999-12-29,48.89,49.75,48.84,49.61,49.61,0
1999-12-30,49.85,51.00,49.60,50.74,50.74,8511
2000-01-03,50.43,51.10,50.35,51.07,51.07,8033
2000-01-04,50.90,50.97,50.25,50.73,50.73,4709
2000-01-05,50.75,51.84,50.75,51.56,51.56,10464
2000-01-06,51.90,52.10,51.55,52.08,52.08,7247
2000-01-07,52.08,54.05,51.90,53.96,53.96,19389
2000-01-10,53.85,53.95,53.20,53.56,53.56,8349
2000-01-11,53.60,54.20,53.31,54.18,54.18,8698
2000-01-12,54.20,54.60,53.65,53.72,53.72,11455
2000-01-13,53.90,54.80,53.40,54.75,54.75,8413
2000-01-14,54.92,55.85,54.65,55.12,55.12,14981
2000-01-18,55.00,55.10,54.26,54.76,54.76,5269
2000-01-19,55.10,57.76,55.10,57.75,57.75,18631
2000-01-20,57.65,57.80,56.60,57.44,57.44,8938
2000-01-21,57.85,58.60,55.80,56.15,56.15,12250
2000-01-24,56.30,57.05,55.85,56.35,56.35,4199
2000-01-25,56.15,58.00,56.10,57.86,57.86,6755
2000-01-26,57.90,58.75,56.70,57.42,57.42,6721
2000-01-27,57.40,57.90,56.56,57.53,57.53,5566
2000-01-28,57.50,57.80,56.90,57.45,57.45,4054
2000-01-31,56.90,57.90,56.45,57.86,57.86,6238
2000-02-01,57.35,57.85,56.17,57.13,57.13,4042
2000-02-02,57.25,57.50,56.90,57.04,57.04,5365
2000-02-03,57.40,57.50,55.70,56.09,56.09,10230
2000-02-04,55.90,56.40,55.21,56.08,56.08,7717
2000-02-07,55.85,56.38,55.65,56.18,56.18,6125
2000-02-08,55.50,55.90,55.25,55.30,55.30,5941
2000-02-09,55.30,55.90,55.05,55.80,55.80,10053
2000-02-10,55.80,57.80,55.65,57.54,57.54,12372
