Date,Open,High,Low,Close,Adj Close,Volume
2002-03-04,81.50,81.50,81.25,81.28,81.28,0
2002-03-05,81.50,81.50,81.25,81.28,81.28,0
2002-03-06,81.70,81.82,81.70,81.70,81.70,0
2002-03-07,81.70,81.82,81.70,81.70,81.70,0
2002-03-08,82.40,82.40,82.40,82.40,82.40,0
2002-03-12,82.40,82.40,82.35,82.40,82.40,0
2002-03-19,79.20,79.20,79.20,79.20,79.20,0
2002-03-20,79.18,79.18,79.18,79.18,79.18,0
2002-03-21,79.00,79.00,79.00,79.00,79.00,0
2002-03-22,79.12,79.12,79.12,79.12,79.12,0
2002-03-25,79.18,79.18,79.18,79.18,79.18,0
2002-03-26,79.25,79.25,79.25,79.25,79.25,0
2002-03-27,79.05,79.05,79.05,79.05,79.05,0
2002-03-28,78.75,78.75,78.75,78.75,78.75,0
2002-04-01,79.93,79.93,79.93,79.93,79.93,0
2002-04-02,79.07,79.07,79.07,79.07,79.07,0
2002-04-03,79.00,79.00,79.00,79.00,79.00,0
2002-04-04,77.50,77.50,77.50,77.50,77.50,0
2002-04-05,76.30,76.30,76.30,76.30,76.30,0
2002-04-08,74.97,74.97,74.97,74.97,74.97,0
2002-04-09,75.53,75.53,75.53,75.53,75.53,0
2002-04-10,74.03,74.03,74.03,74.03,74.03,0
2002-04-11,73.50,73.50,73.50,73.50,73.50,0
2002-04-12,73.50,73.50,73.50,73.50,73.50,0
2002-04-15,74.60,74.60,74.60,74.60,74.60,0
2002-04-16,75.60,75.60,75.60,75.60,75.60,0
2002-04-17,75.70,75.70,75.70,75.70,75.70,0
2002-04-18,75.88,75.88,75.88,75.88,75.88,0
2002-04-19,74.65,74.65,74.65,74.65,74.65,0
2002-04-22,74.50,74.50,74.50,74.50,74.50,0
2002-04-23,74.40,74.40,74.40,74.40,74.40,0
2002-04-24,74.32,74.32,74.32,74.32,74.32,0
2002-04-25,74.35,74.35,74.35,74.35,74.35,0
2002-04-26,74.20,74.20,74.20,74.20,74.20,0
2002-04-29,74.43,74.43,74.43,74.43,74.43,0
