Date,Open,High,Low,Close,Adj Close,Volume
2000-09-21,296.00,296.00,292.00,293.75,293.75,4842
2000-09-22,293.50,297.00,293.25,295.50,295.50,3945
2000-09-25,297.50,300.00,297.00,299.50,299.50,5073
2000-09-26,301.00,303.50,299.75,302.00,302.00,9180
2000-09-27,301.50,308.00,301.00,307.75,307.75,11145
2000-09-28,310.00,312.00,310.00,310.75,310.75,12214
2000-09-29,318.00,320.00,316.50,320.00,320.00,8930
2000-10-02,325.00,325.00,318.00,321.00,321.00,6026
2000-10-03,319.50,321.00,316.00,320.50,320.50,7291
2000-10-04,318.00,321.00,317.00,318.00,318.00,7042
2000-10-05,314.50,316.25,313.00,315.50,315.50,6182
2000-10-06,315.50,320.00,315.00,318.50,318.50,3357
2000-10-09,317.50,319.50,316.50,318.50,318.50,8208
2000-10-10,318.50,325.75,318.50,325.50,325.50,9942
2000-10-11,325.00,328.50,324.25,326.50,326.50,8015
2000-10-12,330.00,331.50,326.50,326.75,326.75,8199
2000-10-13,325.50,325.50,319.00,320.00,320.00,5425
2000-10-16,319.50,324.50,317.50,324.00,324.00,8209
2000-10-17,323.00,323.50,315.00,319.50,319.50,8377
2000-10-18,316.50,316.50,312.00,312.75,312.75,9141
2000-10-19,312.00,312.75,308.50,308.75,308.75,4938
2000-10-20,308.50,312.00,308.25,309.00,309.00,5912
2000-10-23,306.50,307.00,303.50,306.00,306.00,5336
2000-10-24,305.00,306.00,301.00,305.50,305.50,5418
2000-10-25,305.50,306.50,302.50,303.75,303.75,5106
2000-10-26,304.00,306.50,303.75,305.00,305.00,5784
2000-10-27,306.00,310.00,306.00,309.75,309.75,4037
2000-10-30,310.00,310.25,304.50,305.75,305.75,4832
2000-10-31,304.25,308.00,303.00,305.50,305.50,3432
2000-11-01,306.50,308.00,305.50,305.50,305.50,5880
2000-11-02,309.25,313.00,308.50,312.50,312.50,7045
2000-11-03,313.25,319.00,313.00,318.75,318.75,5118
2000-11-06,320.00,320.00,314.50,317.25,317.25,3430
2000-11-07,315.50,316.50,314.50,315.50,315.50,3769
2000-11-08,317.00,317.50,314.75,316.50,316.50,6271
2000-11-09,315.00,315.50,309.50,309.50,309.50,4618
2000-11-10,308.50,309.75,307.00,307.75,307.75,5321
2000-11-13,307.50,309.75,307.50,309.00,309.00,5373
2000-11-14,309.50,311.00,308.25,308.50,308.50,3275
2000-11-15,308.00,310.00,307.00,307.50,307.50,6573
2000-11-16,307.00,310.25,306.00,307.00,307.00,6140
2000-11-17,308.50,310.50,308.00,309.50,309.50,4025
2000-11-20,310.50,313.25,309.50,309.50,309.50,3798
2000-11-21,308.75,310.00,307.75,310.00,310.00,5863
2000-11-22,312.75,313.00,311.25,313.00,313.00,5595
2000-11-24,315.00,318.50,315.00,318.25,318.25,6803
2000-11-27,319.00,319.00,313.50,315.00,315.00,8792
2000-11-28,313.00,313.50,309.00,310.75,310.75,11954
2000-11-29,310.50,310.75,306.00,306.25,306.25,3028
2000-11-30,305.50,310.50,305.00,309.00,309.00,1983
2000-12-01,309.00,312.25,308.25,312.00,312.00,851
2000-12-04,311.75,313.00,310.00,313.00,313.00,1166
2000-12-05,311.50,312.00,310.50,310.50,310.50,1031
2000-12-06,310.00,311.00,309.00,310.00,310.00,337
2000-12-07,313.00,313.00,307.50,308.00,308.00,408
2000-12-08,306.00,307.00,302.00,307.00,307.00,132
2000-12-11,307.50,307.50,304.75,304.75,304.75,20
2000-12-12,305.00,307.25,302.50,302.50,302.50,46
2000-12-13,302.50,305.25,302.50,304.25,304.25,3
2000-12-14,301.75,302.50,299.00,299.00,299.00,2
2000-12-15,301.50,301.50,298.50,298.50,298.50,0
2000-12-18,301.00,301.00,301.00,301.00,301.00,0
2000-12-19,309.00,309.00,309.00,309.00,309.00,4770
2000-12-20,321.50,323.50,318.50,321.25,321.25,4599
2000-12-21,320.75,324.50,319.25,324.50,324.50,4783
2000-12-22,326.00,328.00,325.00,327.50,327.50,2376
2000-12-26,327.00,327.50,325.00,326.00,326.00,2429
2000-12-27,323.75,324.00,322.50,324.00,324.00,2753
2000-12-28,325.75,325.75,322.50,323.00,323.00,3922
2000-12-29,322.00,330.00,321.75,330.00,330.00,5071
2001-01-02,329.00,329.00,325.25,325.50,325.50,5555
2001-01-03,324.25,331.00,324.25,330.25,330.25,5068
2001-01-04,330.25,332.00,329.25,331.50,331.50,5033
2001-01-05,330.75,331.75,328.75,331.50,331.50,4142
2001-01-08,330.00,330.50,327.25,330.25,330.25,5785
2001-01-09,329.50,333.50,328.50,333.00,333.00,7832
2001-01-10,333.00,336.50,333.00,336.25,336.25,10973
2001-01-11,335.00,340.00,334.00,337.50,337.50,7217
2001-01-12,336.00,338.00,335.00,337.50,337.50,5146
2001-01-16,334.00,335.50,333.00,333.75,333.75,4670
2001-01-17,332.50,333.25,330.50,330.50,330.50,4306
2001-01-18,332.50,334.00,331.75,332.00,332.00,5032
2001-01-19,332.75,335.00,330.50,332.50,332.50,3037
2001-01-22,331.50,333.50,329.00,331.75,331.75,4445
2001-01-23,331.50,334.00,329.50,332.50,332.50,4451
2001-01-24,331.50,332.50,328.50,332.25,332.25,3218
2001-01-25,332.00,332.75,328.00,328.00,328.00,5446
2001-01-26,327.00,327.00,325.00,325.00,325.00,13983
2001-01-29,320.00,322.00,313.00,315.00,315.00,8316
2001-01-30,315.00,316.50,314.00,315.00,315.00,4637
2001-01-31,314.00,318.50,313.00,318.25,318.25,4330
