Date,Open,High,Low,Close,Adj Close,Volume
2002-03-04,59.70,59.88,59.60,59.65,59.65,0
2002-03-05,59.15,59.15,58.70,58.80,58.80,0
2002-03-06,58.50,58.80,57.70,57.70,57.70,0
2002-03-07,58.20,58.60,58.00,58.40,58.40,0
2002-03-08,58.25,58.25,57.90,58.05,58.05,0
2002-03-11,57.92,58.03,57.58,57.58,57.58,0
2002-03-12,57.35,57.55,57.25,57.28,57.28,0
2002-03-13,57.20,57.20,56.62,56.70,56.70,0
2002-03-14,56.78,56.83,56.20,56.72,56.72,0
2002-03-15,55.08,55.22,55.03,55.08,55.08,0
2002-03-18,55.08,55.22,53.25,55.08,55.08,0
2002-03-19,53.42,53.42,52.80,52.55,52.55,0
2002-03-20,52.80,52.80,52.80,52.80,52.80,0
2002-03-21,53.47,53.47,53.47,53.47,53.47,0
2002-03-22,52.95,52.95,52.95,52.95,52.95,0
2002-03-25,53.28,53.28,53.28,53.28,53.28,0
2002-03-26,52.90,52.90,52.90,52.90,52.90,0
2002-03-27,52.80,52.88,52.58,52.55,52.55,0
2002-03-28,51.88,51.88,51.88,51.88,51.88,0
2002-04-01,51.00,51.25,51.00,51.05,51.05,0
2002-04-02,49.55,49.58,49.55,49.58,49.58,0
2002-04-03,48.88,48.95,47.95,47.70,47.70,0
2002-04-04,47.03,47.20,46.80,46.95,46.95,0
2002-04-05,45.97,45.97,45.97,45.97,45.97,0
2002-04-08,45.22,45.22,45.22,43.97,43.97,0
2002-04-09,43.42,43.42,42.70,42.53,42.53,0
2002-04-10,41.45,41.45,41.45,41.45,41.45,0
2002-04-11,41.78,41.78,41.78,41.78,41.78,0
2002-04-12,41.95,41.95,41.95,41.95,41.95,0
2002-04-15,48.22,48.22,48.22,48.22,48.22,0
2002-04-16,48.35,48.35,48.35,48.35,48.35,0
2002-04-17,50.35,50.35,50.35,50.35,50.35,0
2002-04-18,51.95,51.95,51.95,51.95,51.95,0
2002-04-19,53.75,53.75,53.75,53.75,53.75,0
2002-04-22,53.20,53.20,53.20,53.20,53.20,0
2002-04-23,51.20,51.20,51.20,51.20,51.20,0
2002-04-24,50.53,50.53,50.53,50.53,50.53,0
2002-04-25,49.72,49.72,49.72,49.72,49.72,0
2002-04-26,47.72,47.72,47.72,47.72,47.72,0
2002-04-29,45.72,45.72,45.72,45.72,45.72,0
2002-04-30,45.60,45.60,45.60,45.60,45.60,0
2002-05-01,44.80,44.80,44.80,44.80,44.80,0
2002-05-02,46.05,46.05,46.05,46.05,46.05,0
2002-05-03,46.97,46.97,46.97,46.97,46.97,0
2002-05-06,47.30,47.35,46.80,46.83,46.83,0
2002-05-07,47.00,47.00,46.40,46.75,46.75,0
2002-05-08,45.40,45.40,45.40,45.40,45.40,0
2002-05-09,45.80,45.80,45.80,45.80,45.80,0
2002-05-10,45.95,45.95,45.95,45.95,45.95,0
2002-05-13,46.30,46.30,46.30,46.30,46.30,0
2002-05-14,46.40,46.40,46.40,46.40,46.40,0
2002-05-15,53.78,53.78,53.78,53.78,53.78,0
2002-05-16,53.35,53.38,53.10,52.83,52.83,0
2002-05-17,53.17,53.17,53.17,53.17,53.17,0
2002-05-20,51.17,51.17,51.17,51.17,51.17,0
2002-05-21,49.17,49.17,49.17,49.17,49.17,0
2002-05-22,47.88,47.88,47.88,47.88,47.88,0
2002-05-23,48.53,48.53,48.53,48.53,48.53,0
2002-05-24,48.38,48.38,48.38,48.38,48.38,0
2002-05-28,46.38,46.38,46.38,46.38,46.38,0
2002-05-29,46.42,46.42,46.42,46.42,46.42,0
2002-05-30,46.15,46.15,46.15,46.15,46.15,0
2002-05-31,46.75,46.75,46.75,46.75,46.75,0
2002-06-03,47.47,47.47,47.47,47.47,47.47,0
2002-06-04,46.47,46.47,46.47,46.47,46.47,0
2002-06-05,46.95,46.95,46.95,46.95,46.95,0
2002-06-06,48.55,48.95,48.55,48.80,48.80,0
2002-06-07,49.88,49.88,49.88,49.88,49.88,0
2002-06-10,48.85,48.85,48.85,48.85,48.85,0
2002-06-11,48.72,48.72,48.72,48.72,48.72,0
2002-06-12,48.25,48.25,48.25,48.25,48.25,0
2002-06-13,48.38,48.38,48.38,48.38,48.38,0
2002-06-14,48.60,48.60,48.60,48.60,48.60,0
2002-06-17,49.85,49.85,49.85,49.85,49.85,0
2002-06-18,50.70,50.70,50.70,50.70,50.70,0
2002-06-19,50.35,50.35,50.35,50.35,50.35,0
2002-06-20,51.58,51.58,51.58,51.58,51.58,0
2002-06-21,51.47,51.47,51.47,51.47,51.47,0
2002-06-24,51.72,51.72,51.72,51.72,51.72,0
2002-06-25,50.88,50.88,50.88,50.88,50.88,0
2002-06-26,50.45,50.47,50.40,50.78,50.78,0
