Date,Open,High,Low,Close,Adj Close,Volume
2002-03-04,74.68,75.18,74.03,74.03,74.03,0
2002-03-05,74.20,74.35,74.20,74.35,74.35,0
2002-03-06,74.93,75.20,74.93,74.93,74.93,0
2002-03-07,75.50,75.55,75.43,75.50,75.50,0
2002-03-08,75.50,75.90,75.43,75.50,75.50,0
2002-03-11,75.80,75.82,75.75,75.80,75.80,0
2002-03-12,75.53,75.70,75.53,75.62,75.62,0
2002-03-13,74.32,74.68,74.18,74.40,74.40,0
2002-03-14,74.32,74.78,73.25,74.40,74.40,0
2002-03-15,73.78,74.10,73.00,73.00,73.00,0
2002-03-18,72.07,72.07,72.07,72.07,72.07,0
2002-03-19,71.95,72.43,71.35,71.22,71.22,0
2002-03-20,70.85,71.60,70.75,70.95,70.95,0
2002-03-21,70.53,70.53,70.53,70.53,70.53,0
2002-03-22,69.78,69.78,69.78,69.78,69.78,0
2002-03-25,69.70,69.70,69.70,69.70,69.70,0
2002-03-26,70.38,70.38,70.38,70.38,70.38,0
2002-03-27,69.85,71.10,69.80,69.90,69.90,0
2002-03-28,70.43,70.43,70.43,70.43,70.43,0
2002-04-01,71.62,71.93,71.62,71.93,71.93,0
2002-04-02,71.93,71.93,71.93,71.93,71.93,0
2002-04-03,71.62,71.62,71.62,71.62,71.62,0
2002-04-04,70.12,70.12,70.12,70.12,70.12,0
2002-04-05,68.68,68.68,68.68,68.68,68.68,0
2002-04-08,67.68,67.68,67.68,67.68,67.68,0
2002-04-09,68.93,68.93,68.93,68.93,68.93,0
2002-04-10,67.43,67.43,67.43,67.43,67.43,0
2002-04-11,67.00,67.00,67.00,67.00,67.00,0
2002-04-12,65.88,65.88,65.88,65.88,65.88,0
2002-04-15,65.22,65.22,65.22,65.22,65.22,0
2002-04-16,65.47,65.47,65.47,65.47,65.47,0
2002-04-17,66.07,66.07,66.07,66.07,66.07,0
2002-04-18,65.50,65.50,65.50,65.50,65.50,0
2002-04-19,64.10,64.10,64.10,64.10,64.10,0
2002-04-22,64.28,64.28,64.28,64.28,64.28,0
2002-04-23,64.05,64.05,64.05,64.05,64.05,0
2002-04-24,63.40,63.40,63.40,63.40,63.40,0
2002-04-25,63.80,63.80,63.80,63.80,63.80,0
2002-04-26,65.30,65.30,65.30,65.30,65.30,0
2002-04-29,65.25,65.25,65.25,65.25,65.25,0
2002-04-30,66.70,66.70,66.70,66.70,66.70,0
2002-05-01,63.22,63.22,63.22,63.22,63.22,0
2002-05-02,62.25,62.25,62.25,62.25,62.25,0
2002-05-03,62.12,62.12,62.12,62.12,62.12,0
2002-05-06,63.62,63.62,63.62,63.62,63.62,0
