Date,Open,High,Low,Close,Adj Close,Volume
1999-09-14,127.50,127.50,127.25,127.25,127.25,2
1999-09-15,127.50,127.50,127.25,127.00,127.00,2
1999-09-16,127.50,127.50,127.25,125.00,125.00,2
1999-09-17,127.50,127.50,127.25,124.50,124.50,2
1999-09-20,127.50,127.50,127.25,124.50,124.50,2
1999-09-21,127.50,127.50,127.25,124.50,124.50,2
1999-09-22,127.50,127.50,127.25,125.50,125.50,0
1999-09-23,125.50,125.50,125.50,125.50,125.50,2
1999-09-24,125.50,125.50,125.50,125.50,125.50,2
1999-09-27,125.50,125.50,125.50,125.50,125.50,0
1999-09-28,126.00,126.00,126.00,126.00,126.00,2
1999-09-29,127.00,127.00,127.00,127.00,127.00,11
1999-09-30,127.00,127.00,127.00,127.00,127.00,11
1999-10-01,127.00,127.00,127.00,127.00,127.00,11
1999-10-04,127.00,127.00,127.00,127.00,127.00,70
1999-10-05,127.00,127.00,126.50,127.00,127.00,70
1999-10-06,126.50,127.75,126.00,126.00,126.00,30
1999-10-07,127.00,127.00,127.00,127.00,127.00,30
1999-10-08,127.00,127.00,127.00,127.00,127.00,30
1999-10-11,127.00,127.00,127.00,127.00,127.00,30
1999-10-12,127.00,127.00,127.00,127.00,127.00,30
1999-10-13,127.00,127.00,127.00,127.00,127.00,30
1999-10-14,127.00,127.00,127.00,127.00,127.00,30
1999-10-15,127.50,128.00,127.50,128.00,128.00,3
1999-10-18,128.00,128.00,128.00,128.00,128.00,3
1999-10-19,128.00,128.00,128.00,128.00,128.00,3
1999-10-20,127.75,127.75,127.75,127.75,127.75,3
1999-10-21,126.00,126.00,126.00,126.00,126.00,1
1999-10-22,126.00,126.00,126.00,126.00,126.00,1
1999-10-25,128.00,128.00,128.00,128.00,128.00,1
1999-10-26,128.00,128.00,128.00,128.00,128.00,1
1999-10-27,128.00,128.00,128.00,128.00,128.00,0
1999-10-28,128.50,128.50,128.50,128.50,128.50,1
1999-10-29,128.00,128.00,128.00,128.50,128.50,1
1999-11-01,128.00,128.00,128.00,128.75,128.75,1
1999-11-02,130.00,130.00,130.00,130.00,130.00,1
1999-11-03,130.00,130.00,129.50,129.50,129.50,10
1999-11-04,127.00,127.00,127.00,127.00,127.00,10
1999-11-05,125.00,125.00,125.00,125.00,125.00,1
1999-11-08,125.00,125.00,125.00,125.00,125.00,1
1999-11-09,124.00,124.00,124.00,124.00,124.00,1
1999-11-10,123.00,123.00,123.00,123.00,123.00,1
1999-11-11,124.00,124.00,124.00,124.00,124.00,1
1999-11-12,124.50,124.50,124.50,124.50,124.50,1
1999-11-15,125.00,125.00,125.00,125.00,125.00,1
1999-11-16,125.00,125.00,125.00,125.00,125.00,1
1999-11-17,124.50,124.50,124.50,124.50,124.50,1
1999-11-18,124.50,124.50,124.50,123.50,123.50,1
1999-11-19,123.50,123.50,123.50,123.50,123.50,1
1999-11-22,124.00,124.00,124.00,124.00,124.00,1
