Date,Open,High,Low,Close,Adj Close,Volume
2000-09-15,491.00,493.75,490.00,493.75,493.75,445
2000-09-18,483.25,486.00,482.50,484.00,484.00,382
2000-09-19,485.00,485.50,483.50,484.25,484.25,325
2000-09-20,483.50,484.25,483.25,483.25,483.25,321
2000-09-21,486.75,488.00,486.00,486.50,486.50,330
2000-09-22,490.00,491.50,489.50,491.00,491.00,293
2000-09-25,495.75,496.50,494.00,496.50,496.50,178
2000-09-26,494.50,496.50,494.50,496.50,496.50,208
2000-09-27,493.25,494.50,492.50,492.50,492.50,328
2000-09-28,495.25,497.00,495.25,497.00,497.00,379
2000-09-29,498.00,499.00,497.50,499.00,499.00,799
2000-10-02,488.25,488.75,486.00,488.50,488.50,258
2000-10-03,489.25,489.25,487.75,488.50,488.50,435
2000-10-04,488.25,489.00,487.00,489.00,489.00,233
2000-10-05,485.50,485.75,485.25,485.75,485.75,266
2000-10-06,484.00,486.00,484.00,486.00,486.00,231
2000-10-09,484.00,484.50,483.25,484.50,484.50,187
2000-10-10,482.75,483.00,482.50,483.00,483.00,311
2000-10-11,485.00,485.50,485.00,485.00,485.00,1017
2000-10-12,477.75,479.50,476.00,478.00,478.00,422
2000-10-13,473.75,474.50,473.00,473.25,473.25,372
2000-10-16,465.25,466.00,465.00,465.00,465.00,509
2000-10-17,465.00,467.75,464.75,467.75,467.75,167
2000-10-18,467.75,468.00,467.00,468.00,468.00,302
2000-10-19,468.00,468.00,467.25,468.00,468.00,309
2000-10-20,472.00,474.25,472.00,473.25,473.25,136
2000-10-23,468.00,468.50,467.50,468.50,468.50,142
2000-10-24,462.50,464.00,462.50,463.50,463.50,178
2000-10-25,467.75,468.50,467.00,467.25,467.25,123
2000-10-26,467.00,468.25,467.00,467.00,467.00,94
2000-10-27,461.00,462.00,461.00,461.00,461.00,141
2000-10-30,456.50,458.00,456.50,457.75,457.75,228
2000-10-31,455.75,456.00,454.75,455.25,455.25,10948
2000-11-01,459.50,466.25,459.00,462.75,462.75,124
2000-11-02,464.50,469.25,464.50,468.25,468.25,21
2000-11-03,473.00,474.00,472.75,473.50,473.50,9
2000-11-06,474.25,475.00,474.25,475.00,475.00,4
2000-11-07,474.00,474.00,473.25,473.50,473.50,6
2000-11-08,474.75,475.50,474.75,475.50,475.50,1
2000-11-09,474.00,474.50,474.00,474.00,474.00,1
2000-11-10,474.00,474.00,474.00,467.25,467.25,2
2000-11-13,462.50,462.75,462.25,462.50,462.50,14
2000-11-14,467.50,467.50,467.25,472.00,472.00,319
2000-11-15,479.00,480.00,478.50,478.50,478.50,256
2000-11-16,481.00,481.50,480.00,481.00,481.00,57
2000-11-17,477.00,479.00,477.00,479.00,479.00,300
2000-11-20,486.25,490.75,486.25,490.75,490.75,382
2000-11-21,493.00,493.00,491.25,491.25,491.25,232
2000-11-22,489.00,489.50,488.50,491.00,491.00,501
2000-11-24,492.00,495.25,492.00,495.25,495.25,354
2000-11-27,500.50,508.00,500.25,507.50,507.50,195
2000-11-28,497.00,497.25,496.00,497.00,497.00,795
2000-11-29,500.50,505.50,498.75,505.50,505.50,303
2000-11-30,499.25,503.75,499.25,502.00,502.00,386
2000-12-01,506.50,507.50,505.00,506.75,506.75,325
2000-12-04,508.00,508.00,503.50,505.25,505.25,159
2000-12-05,504.00,504.00,501.50,502.00,502.00,249
2000-12-06,500.00,500.00,498.50,499.75,499.75,892
2000-12-07,507.00,510.00,506.75,509.75,509.75,311
2000-12-08,503.00,503.00,499.50,500.00,500.00,411
2000-12-11,510.00,511.00,508.50,509.00,509.00,277
2000-12-12,511.00,513.75,511.00,512.00,512.00,141
2000-12-13,506.25,507.50,505.50,506.00,506.00,166
2000-12-14,506.00,508.75,506.00,508.75,508.75,76
2000-12-15,504.00,506.00,503.50,505.00,505.00,579
2000-12-18,508.50,513.00,508.00,513.00,513.00,76
2000-12-19,509.75,510.00,508.00,508.00,508.00,183
2000-12-20,511.00,512.00,510.00,512.00,512.00,35
2000-12-21,507.75,508.50,506.50,507.25,507.25,73
2000-12-22,509.00,511.75,509.00,511.00,511.00,27547
2000-12-26,510.00,510.75,504.75,505.25,505.25,198
2000-12-27,503.75,503.75,499.50,501.75,501.75,39
2000-12-28,498.00,499.00,498.00,499.00,499.00,43
2000-12-29,497.50,499.00,497.50,499.00,499.00,4
2001-01-02,500.00,500.50,500.00,500.00,500.00,5
2001-01-03,493.75,493.75,493.75,493.75,493.75,3
2001-01-04,498.00,499.50,498.00,499.50,499.50,7
2001-01-05,493.00,493.75,493.00,493.75,493.75,11
2001-01-08,488.00,488.00,488.00,488.00,488.00,11
