Date,Open,High,Low,Close,Adj Close,Volume
2000-05-15,185.80,185.80,180.00,183.20,183.20,25878
2000-05-16,183.00,183.80,180.50,181.50,181.50,13486
2000-05-17,181.00,181.70,177.80,179.50,179.50,15204
2000-05-18,183.50,185.70,181.10,181.60,181.60,15204
2000-05-19,182.40,183.80,181.20,183.80,183.80,6700
2000-05-22,183.10,186.20,181.80,183.90,183.90,10414
2000-05-23,183.20,183.90,181.60,181.70,181.70,9924
2000-05-24,181.80,181.80,178.50,179.00,179.00,17677
2000-05-25,179.00,180.00,172.80,174.70,174.70,29621
2000-05-26,175.20,178.60,174.60,178.40,178.40,16576
2000-05-30,177.20,177.20,173.00,175.20,175.20,17323
2000-05-31,175.30,177.50,175.30,176.80,176.80,13937
2000-06-01,177.50,179.50,177.00,177.50,177.50,7509
2000-06-02,177.70,180.50,176.40,179.70,179.70,11424
2000-06-05,181.80,182.00,178.50,180.50,180.50,10992
2000-06-06,180.00,181.20,177.40,180.70,180.70,14102
2000-06-07,181.30,181.50,176.60,178.30,178.30,15802
2000-06-08,178.30,179.20,177.40,177.60,177.60,9753
2000-06-09,178.10,181.20,176.50,179.70,179.70,15084
2000-06-12,178.00,178.00,174.00,175.20,175.20,16487
2000-06-13,176.20,178.50,175.70,176.70,176.70,15393
2000-06-14,176.40,177.20,174.10,174.30,174.30,22123
2000-06-15,174.40,175.50,173.30,173.80,173.80,14005
2000-06-16,173.80,175.50,170.00,170.90,170.90,24379
2000-06-19,171.70,171.70,170.00,170.80,170.80,10209
2000-06-20,170.00,170.80,168.00,169.10,169.10,13717
2000-06-21,169.00,172.20,169.00,171.20,171.20,9706
2000-06-22,171.40,171.90,169.20,170.00,170.00,11167
2000-06-23,170.00,170.40,169.00,170.30,170.30,10468
2000-06-26,169.20,170.00,168.50,169.90,169.90,6995
2000-06-27,171.20,171.40,170.10,170.30,170.30,8514
2000-06-28,171.00,171.00,168.50,168.70,168.70,13687
2000-06-29,169.00,170.30,167.50,169.90,169.90,13703
2000-06-30,169.00,170.00,165.50,166.80,166.80,8009
2000-07-03,167.00,167.00,163.00,163.80,163.80,4509
2000-07-05,163.90,167.20,163.50,166.70,166.70,4723
2000-07-06,166.50,167.50,165.10,165.90,165.90,5154
2000-07-07,166.00,168.30,166.00,167.70,167.70,4738
2000-07-10,168.10,168.10,165.20,167.80,167.80,2801
2000-07-11,168.50,168.60,167.80,168.30,168.30,3123
2000-07-12,168.20,170.50,167.40,169.50,169.50,3625
2000-07-13,169.80,171.90,169.60,171.20,171.20,5385
2000-07-14,169.00,169.50,163.10,165.20,165.20,3401
2000-07-17,152.20,152.40,150.50,150.80,150.80,2175
2000-07-18,151.10,152.20,150.40,150.60,150.60,3537
2000-07-19,150.40,150.70,148.90,149.00,149.00,5241
2000-07-20,149.40,150.60,149.00,150.40,150.40,3025
2000-07-21,150.00,152.00,150.00,151.70,151.70,2839
2000-07-24,152.80,153.50,149.30,149.90,149.90,3322
2000-07-25,149.50,149.50,147.70,148.10,148.10,4533
2000-07-26,148.20,148.80,147.50,148.70,148.70,3604
2000-07-27,149.50,151.00,149.30,150.30,150.30,3557
2000-07-28,150.30,151.70,148.80,148.80,148.80,4811
2000-07-31,146.50,149.30,146.40,146.80,146.80,4183
2000-08-01,147.90,148.70,146.30,146.70,146.70,3674
2000-08-02,147.60,148.10,146.90,147.80,147.80,4229
2000-08-03,146.20,148.80,146.20,147.40,147.40,6244
2000-08-04,147.00,147.40,146.20,146.70,146.70,3683
2000-08-07,147.10,147.40,145.20,146.00,146.00,4871
2000-08-08,146.50,147.30,146.20,147.20,147.20,3842
2000-08-09,146.30,147.20,146.10,147.10,147.10,5320
2000-08-10,147.60,149.90,147.60,149.00,149.00,6723
2000-08-11,149.80,152.80,148.00,151.20,151.20,5486
2000-08-14,151.00,152.40,150.70,152.00,152.00,4412
2000-08-15,152.50,154.70,151.60,154.30,154.30,3756
2000-08-16,154.60,156.80,154.60,156.40,156.40,4872
2000-08-17,156.60,157.10,154.60,155.30,155.30,8811
2000-08-18,154.80,155.60,153.40,154.30,154.30,5361
2000-08-21,154.20,156.70,153.10,156.40,156.40,4748
2000-08-22,157.40,158.00,155.00,155.60,155.60,6636
2000-08-23,155.30,157.50,154.70,157.40,157.40,6672
2000-08-24,158.00,160.50,157.20,160.00,160.00,10124
2000-08-25,159.80,161.50,159.80,160.90,160.90,8219
2000-08-28,163.20,164.60,162.00,163.50,163.50,6065
2000-08-29,164.80,167.20,164.50,166.90,166.90,1
2000-08-30,161.00,162.40,161.00,166.60,166.60,5300
2000-08-31,167.70,171.00,167.70,170.80,170.80,5
2000-09-01,170.80,170.80,170.80,170.80,170.80,5
2000-09-05,170.80,170.80,170.80,171.90,171.90,8
2000-09-06,167.00,167.00,166.80,167.00,167.00,1
2000-09-07,164.80,164.80,164.80,164.80,164.80,3
2000-09-11,168.20,168.20,168.20,168.20,168.20,1
2000-09-12,170.90,170.90,170.90,170.90,170.90,1
2000-09-13,170.90,170.90,170.90,172.90,172.90,1
2000-09-14,170.90,170.90,170.90,173.00,173.00,5
2000-09-15,167.50,167.50,167.50,167.50,167.50,31
2000-09-18,167.00,167.00,166.90,166.90,166.90,31
2000-09-20,167.00,167.00,166.90,167.80,167.80,31
2000-09-21,167.00,167.00,166.90,170.80,170.80,5
2000-09-25,172.30,173.50,172.30,173.50,173.50,5
