Date,Open,High,Low,Close,Adj Close,Volume
2000-03-15,17.05,17.13,16.81,16.85,16.85,11147
2000-03-16,16.79,17.22,16.64,16.94,16.94,12610
2000-03-17,17.10,17.90,17.00,17.85,17.85,24579
2000-03-20,17.50,17.60,17.26,17.46,17.46,10960
2000-03-21,17.43,17.46,17.22,17.27,17.27,8102
2000-03-22,17.37,17.58,17.35,17.50,17.50,13603
2000-03-23,17.45,17.46,17.08,17.16,17.16,11334
2000-03-24,17.14,17.50,17.00,17.40,17.40,7382
2000-03-27,17.35,17.70,17.35,17.60,17.60,5908
2000-03-28,17.60,17.70,17.46,17.50,17.50,7022
2000-03-29,17.46,17.99,17.35,17.79,17.79,11509
2000-03-30,17.80,18.00,17.75,17.88,17.88,11292
2000-03-31,17.88,18.48,17.84,18.31,18.31,14586
2000-04-03,18.30,18.70,18.30,18.54,18.54,11605
2000-04-04,18.51,18.55,18.12,18.39,18.39,9385
2000-04-05,18.43,18.52,18.27,18.48,18.48,7947
2000-04-06,18.45,18.50,17.78,17.84,17.84,11317
2000-04-07,17.89,18.00,17.55,17.97,17.97,6876
2000-04-10,17.81,17.91,17.69,17.77,17.77,5881
2000-04-11,17.75,18.06,17.68,17.73,17.73,12105
2000-04-12,17.71,18.02,17.66,17.97,17.97,7148
2000-04-13,17.94,18.35,17.94,18.29,18.29,7439
2000-04-14,18.49,18.56,18.15,18.17,18.17,8131
2000-04-17,18.06,18.23,18.02,18.09,18.09,7428
2000-04-18,18.12,18.35,18.00,18.33,18.33,14561
2000-04-19,18.38,18.65,18.20,18.57,18.57,12411
2000-04-20,18.57,18.61,18.31,18.56,18.56,9101
2000-04-24,18.56,18.65,18.32,18.49,18.49,9659
2000-04-25,18.50,18.50,18.28,18.29,18.29,13454
2000-04-26,18.31,18.38,18.01,18.02,18.02,11931
2000-04-27,17.90,17.90,17.55,17.67,17.67,13133
2000-04-28,17.60,17.69,17.47,17.61,17.61,7039
2000-05-01,17.83,18.45,17.83,18.16,18.16,4301
2000-05-02,18.20,18.33,18.06,18.15,18.15,4656
2000-05-03,18.18,18.60,18.18,18.21,18.21,4426
2000-05-04,18.20,18.37,18.02,18.20,18.20,1413
2000-05-05,18.01,18.04,17.84,17.88,17.88,1888
2000-05-08,17.70,17.75,17.45,17.62,17.62,2616
2000-05-09,17.48,17.69,17.48,17.64,17.64,2027
2000-05-10,17.71,17.88,17.50,17.64,17.64,783
