Date,Open,High,Low,Close,Adj Close,Volume
2000-03-01,4.98,5.14,4.98,5.08,5.08,10467
2000-03-02,5.08,5.13,4.94,4.96,4.96,9638
2000-03-03,4.96,5.06,4.96,5.05,5.05,5879
2000-03-06,5.10,5.16,5.03,5.04,5.04,11290
2000-03-07,5.05,5.14,5.03,5.07,5.07,9369
2000-03-08,5.13,5.29,5.07,5.12,5.12,14884
2000-03-09,5.19,5.21,5.13,5.16,5.16,5090
2000-03-10,5.23,5.26,5.15,5.22,5.22,8036
2000-03-13,5.30,5.43,5.26,5.42,5.42,21174
2000-03-14,5.37,5.39,5.17,5.28,5.28,12128
2000-03-15,5.29,5.35,5.18,5.25,5.25,8679
2000-03-16,5.32,5.35,5.25,5.34,5.34,8060
2000-03-17,5.34,5.35,5.26,5.27,5.27,4970
2000-03-20,5.23,5.29,5.11,5.13,5.13,11128
2000-03-21,5.09,5.22,5.06,5.20,5.20,10596
2000-03-22,5.19,5.26,5.16,5.25,5.25,7388
2000-03-23,5.30,5.49,5.26,5.45,5.45,23003
2000-03-24,5.45,5.47,5.32,5.38,5.38,12199
2000-03-27,5.38,5.50,5.37,5.47,5.47,10652
2000-03-28,5.50,5.57,5.39,5.41,5.41,16789
2000-03-29,5.40,5.44,5.28,5.42,5.42,10942
2000-03-30,5.53,5.55,5.47,5.55,5.55,12831
2000-03-31,5.58,5.94,5.58,5.90,5.90,46870
2000-04-03,5.90,5.93,5.73,5.91,5.91,20337
2000-04-04,5.88,5.88,5.75,5.81,5.81,11371
2000-04-05,5.79,6.04,5.79,6.02,6.02,18129
2000-04-06,6.10,6.14,5.92,5.96,5.96,13718
2000-04-07,5.90,5.99,5.82,5.89,5.89,10888
2000-04-10,5.89,5.92,5.84,5.86,5.86,7806
2000-04-11,5.80,5.98,5.78,5.97,5.97,14486
2000-04-12,5.95,6.05,5.88,6.03,6.03,13203
2000-04-13,6.05,6.19,6.05,6.16,6.16,17342
2000-04-14,6.01,6.25,6.01,6.23,6.23,13418
2000-04-17,6.22,6.46,6.12,6.45,6.45,10374
2000-04-18,6.47,6.48,6.33,6.35,6.35,8424
2000-04-19,6.32,6.52,6.31,6.41,6.41,8930
2000-04-20,6.35,6.49,6.31,6.44,6.44,9929
2000-04-24,6.40,6.46,6.35,6.37,6.37,5552
2000-04-25,6.34,6.42,6.31,6.36,6.36,8358
2000-04-26,6.37,6.38,6.26,6.27,6.27,9859
2000-04-27,6.25,6.28,6.15,6.18,6.18,13424
2000-04-28,6.10,6.45,5.00,5.16,5.16,0
2000-05-01,6.55,6.58,6.40,6.53,6.53,10740
2000-05-02,6.50,6.56,6.38,6.40,6.40,15674
2000-05-03,6.40,6.52,6.32,6.40,6.40,9120
2000-05-04,6.40,6.56,6.36,6.53,6.53,8547
2000-05-05,6.57,6.60,6.48,6.59,6.59,7828
2000-05-08,6.64,6.67,6.41,6.45,6.45,13888
2000-05-09,6.42,6.54,6.34,6.50,6.50,12442
2000-05-10,6.50,6.51,6.38,6.50,6.50,7201
2000-05-11,6.55,6.81,6.52,6.63,6.63,20887
2000-05-12,6.63,6.80,6.60,6.78,6.78,9079
2000-05-15,6.83,6.98,6.79,6.95,6.95,14706
2000-05-16,7.00,7.17,6.95,7.13,7.13,17806
2000-05-17,7.18,7.25,7.03,7.06,7.06,14288
2000-05-18,7.06,7.13,6.94,7.07,7.07,11849
2000-05-19,7.12,7.30,7.11,7.21,7.21,12513
2000-05-22,7.32,7.48,7.32,7.42,7.42,14409
2000-05-23,7.49,7.49,7.28,7.45,7.45,13901
2000-05-24,7.49,7.63,7.41,7.56,7.56,11479
2000-05-25,7.75,8.04,7.58,7.76,7.76,31345
2000-05-26,7.75,7.83,7.61,7.81,7.81,15535
2000-05-30,7.75,7.78,7.64,7.70,7.70,10209
2000-05-31,7.70,7.70,7.53,7.55,7.55,21008
2000-06-01,7.58,7.81,7.57,7.79,7.79,11769
2000-06-02,8.00,8.16,7.93,8.14,8.14,19849
2000-06-05,8.10,8.11,7.97,8.00,8.00,9945
2000-06-06,8.00,8.18,7.97,8.15,8.15,9552
2000-06-07,8.31,8.39,8.10,8.16,8.16,18250
2000-06-08,8.23,8.34,8.07,8.18,8.18,14832
2000-06-09,8.20,8.59,8.20,8.57,8.57,20769
2000-06-12,8.45,8.57,8.37,8.49,8.49,15859
