Date,Open,High,Low,Close,Adj Close,Volume
2018-12-04,61.86,63.56,61.24,62.08,62.08,35475
2018-12-06,61.70,61.96,58.39,60.06,60.06,60772
2018-12-07,60.31,63.71,59.10,61.67,61.67,59861
2018-12-10,61.45,62.31,59.56,59.97,59.97,34114
2018-12-11,59.89,61.09,59.62,60.20,60.20,31823
2018-12-12,60.51,61.42,59.99,60.15,60.15,31651
2018-12-13,60.31,62.02,59.34,61.45,61.45,29600
2018-12-14,61.66,61.75,59.92,60.28,60.28,24871
2018-12-17,60.37,61.19,58.63,59.61,59.61,32165
2018-12-18,58.81,59.22,55.67,56.26,56.26,41690
2018-12-19,56.21,58.10,56.03,57.24,57.24,47399
2018-12-20,56.55,56.74,54.28,54.35,54.35,40553
2018-12-21,54.82,55.30,52.81,53.82,53.82,40930
2018-12-27,54.92,54.92,51.99,52.16,52.16,8946
2018-12-28,53.03,53.51,51.63,52.20,52.20,1332
2019-01-03,54.77,56.29,53.93,55.95,55.95,36535
2019-01-04,55.58,58.30,55.36,57.06,57.06,42426
2019-01-07,57.37,58.92,57.28,57.33,57.33,41677
2019-01-08,57.63,58.86,57.11,58.72,58.72,34135
2019-01-09,58.65,61.68,58.62,61.44,61.44,38989
2019-01-10,61.33,61.90,60.45,61.68,61.68,31333
2019-01-11,61.25,62.47,60.08,60.48,60.48,31369
2019-01-14,60.54,61.02,58.91,58.99,58.99,31241
2019-01-15,59.26,60.85,59.11,60.64,60.64,29948
2019-01-16,60.64,61.43,60.04,61.32,61.32,32025
2019-01-17,61.18,61.54,60.04,61.18,61.18,30131
2019-01-18,61.19,62.99,61.06,62.70,62.70,39637
2019-01-22,62.74,63.12,60.58,61.50,61.50,53602
2019-01-23,61.57,62.30,60.22,61.14,61.14,35364
2019-01-24,61.02,61.50,60.41,61.09,61.09,35861
2019-01-25,61.14,61.91,60.71,61.64,61.64,30262
2019-01-28,61.33,61.67,59.48,59.93,59.93,34315
2019-01-29,59.98,61.79,59.76,61.32,61.32,18715
2019-01-30,61.25,62.64,61.07,61.65,61.65,12039
2019-01-31,61.69,62.32,61.64,61.89,61.89,1288
2019-02-04,62.70,63.63,61.28,62.51,62.51,36025
2019-02-05,62.78,63.02,61.72,61.98,61.98,27285
2019-02-06,62.04,62.80,61.05,62.69,62.69,26542
2019-02-07,62.66,62.90,60.61,61.63,61.63,33982
2019-02-08,61.60,62.35,61.05,62.10,62.10,36111
2019-02-11,62.00,62.34,60.90,61.51,61.51,35285
2019-02-12,61.60,63.32,61.54,62.42,62.42,36801
2019-02-13,62.65,63.96,62.65,63.61,63.61,33859
