Date,Open,High,Low,Close,Adj Close,Volume
2000-08-30,4.6500,4.8150,4.6300,4.8050,4.8050,34954
2000-08-31,4.8200,4.8700,4.7400,4.7800,4.7800,25787
2000-09-01,4.7500,4.8600,4.7500,4.8350,4.8350,113
2000-09-05,4.8500,4.9750,4.8400,4.9600,4.9600,26096
2000-09-06,4.9900,5.1100,4.9600,5.0650,5.0650,32764
2000-09-07,4.9600,5.0400,4.8900,4.9980,4.9980,38100
2000-09-08,4.9100,4.9250,4.8400,4.8800,4.8800,33310
2000-09-11,4.9100,5.1000,4.9000,5.0150,5.0150,40097
2000-09-12,5.0650,5.0650,4.9500,5.0050,5.0050,36076
2000-09-13,5.0800,5.1750,4.9000,5.0550,5.0550,47053
2000-09-14,5.1000,5.2230,5.0800,5.1950,5.1950,35201
2000-09-15,5.2800,5.3400,5.1700,5.2050,5.2050,36629
2000-09-18,5.1100,5.3100,5.0800,5.2950,5.2950,36605
2000-09-19,5.2700,5.3850,5.2200,5.3700,5.3700,39144
2000-09-20,5.3400,5.3800,5.2500,5.3200,5.3200,36654
2000-09-21,5.2700,5.3300,5.2100,5.2870,5.2870,31859
2000-09-22,5.2300,5.3200,5.1000,5.1310,5.1310,45414
2000-09-25,5.1000,5.3050,5.0900,5.2760,5.2760,44157
2000-09-26,5.2300,5.4450,5.2300,5.3600,5.3600,67957
2000-09-27,5.3000,5.4250,5.2800,5.3300,5.3300,26906
2000-09-28,5.3900,5.4000,5.1000,5.1400,5.1400,43663
2000-09-29,5.2800,5.2900,5.1300,5.2000,5.2000,28723
2000-10-02,5.3000,5.3700,5.2550,5.3520,5.3520,28278
2000-10-03,5.3500,5.3800,5.2900,5.3480,5.3480,25577
2000-10-04,5.2800,5.3000,5.1300,5.2900,5.2900,34750
2000-10-05,5.3000,5.3200,5.0450,5.1520,5.1520,47400
2000-10-06,5.1100,5.1200,4.9800,5.0000,5.0000,33821
2000-10-09,5.0700,5.1650,5.0150,5.1500,5.1500,24637
2000-10-10,5.1300,5.1650,5.1000,5.1340,5.1340,23193
2000-10-11,5.1800,5.5850,5.1650,5.5850,5.5850,52190
2000-10-12,5.5200,5.8400,5.5100,5.6250,5.6250,39905
2000-10-13,5.5700,5.5900,5.4900,5.5350,5.5350,0
2000-10-16,5.5500,5.5500,5.3500,5.3550,5.3550,25927
2000-10-17,5.3500,5.4600,5.3350,5.4600,5.4600,31515
2000-10-18,5.4800,5.5000,5.2000,5.2100,5.2100,37825
2000-10-19,5.1400,5.1800,4.9100,4.9600,4.9600,54408
2000-10-20,4.9800,5.0000,4.8600,4.9370,4.9370,27863
2000-10-23,4.9400,5.1200,4.8550,5.0720,5.0720,33460
2000-10-24,5.0950,5.0950,4.7700,4.8200,4.8200,39130
2000-10-25,4.7700,4.8250,4.6000,4.6500,4.6500,37428
2000-10-26,4.7050,4.7350,4.6400,4.6550,4.6550,43040
2000-10-27,4.7000,4.7000,4.5000,4.5300,4.5300,28706
2000-10-30,4.6100,4.7600,4.4600,4.4800,4.4800,48646
2000-10-31,4.5300,4.5800,4.3800,4.5000,4.5000,41474
2000-11-01,4.6100,4.7500,4.5100,4.6860,4.6860,46311
2000-11-02,4.6700,4.8500,4.6400,4.7600,4.7600,39520
2000-11-03,4.7800,4.9750,4.7800,4.9100,4.9100,34096
2000-11-06,4.9500,4.9700,4.8000,4.8490,4.8490,30905
2000-11-07,5.0100,5.1000,4.9800,5.0800,5.0800,36844
2000-11-08,5.1700,5.4400,5.1600,5.3400,5.3400,52606
2000-11-09,5.5000,5.5500,5.4000,5.4450,5.4450,45285
2000-11-10,5.3900,5.5250,5.3800,5.4600,5.4600,36278
2000-11-13,5.6500,5.7400,5.6100,5.6900,5.6900,40117
2000-11-14,5.8600,6.0300,5.8000,6.0200,6.0200,51820
2000-11-15,6.0700,6.3200,5.9150,6.2400,6.2400,56113
2000-11-16,6.0700,6.1200,5.7800,5.7900,5.7900,57983
2000-11-17,5.6900,6.1400,5.6200,6.1200,6.1200,54986
2000-11-20,6.2500,6.3600,6.2100,6.2400,6.2400,36286
2000-11-21,6.2800,6.5200,6.2800,6.4100,6.4100,0
2000-11-22,6.3400,6.6200,6.3000,6.5770,6.5770,31692
2000-11-27,6.4100,6.5800,6.3400,6.3800,6.3800,49815
2000-11-28,6.1200,6.1200,5.9000,6.0700,6.0700,31254
2000-11-29,6.2400,6.5600,6.1300,6.1800,6.1800,41391
2000-11-30,6.5600,6.7500,6.4900,6.5800,6.5800,42208
2000-12-01,6.8000,6.8210,6.5700,6.6750,6.6750,37180
2000-12-04,7.2400,8.0000,7.2000,7.4500,7.4500,36594
2000-12-05,7.6600,7.9500,7.2800,7.4100,7.4100,35278
2000-12-06,8.8000,8.8000,8.0000,8.4500,8.4500,27613
2000-12-07,8.9500,9.0000,8.1000,8.4000,8.4000,22797
2000-12-08,8.2500,8.7000,7.9050,8.5850,8.5850,20167
2000-12-11,9.6000,9.6500,9.2000,9.4200,9.4200,17827
2000-12-12,8.9000,8.9500,8.0000,8.2000,8.2000,22760
2000-12-13,7.8200,8.3500,7.4500,7.6000,7.6000,26358
2000-12-14,7.5400,7.8500,7.3000,7.4130,7.4130,18893
2000-12-15,7.8500,8.5600,7.7500,8.4000,8.4000,19198
2000-12-18,9.2000,9.2000,8.3700,8.5270,8.5270,18872
2000-12-19,8.8500,9.1500,8.7800,9.1020,9.1020,14489
2000-12-20,9.4500,9.7500,9.2500,9.3600,9.3600,21300
2000-12-21,9.8500,9.9500,9.6500,9.8500,9.8500,17374
2000-12-22,9.8000,9.8600,9.4000,9.5790,9.5790,13551
2000-12-26,10.0000,10.0000,9.5000,9.8000,9.8000,21977
2000-12-27,9.7000,10.2000,9.4000,10.0400,10.0400,14648
2000-12-28,8.8500,9.4500,8.8000,9.2630,9.2630,10329
2000-12-29,9.4200,9.9300,9.4000,9.7750,9.7750,7870
2001-01-02,8.6500,9.4500,8.2500,8.3640,8.3640,13754
2001-01-03,8.3400,8.7000,8.1000,8.2200,8.2200,18106
2001-01-04,8.3700,9.1890,8.3500,9.0000,9.0000,20678
2001-01-05,9.1000,9.3500,8.9000,9.2500,9.2500,21118
2001-01-08,9.7000,9.8900,9.5800,9.7000,9.7000,16344
2001-01-09,9.5200,9.8700,9.4300,9.8000,9.8000,18730
2001-01-10,9.6000,9.8100,9.0000,9.1800,9.1800,22694
2001-01-11,8.8500,8.9000,8.5800,8.7100,8.7100,21258
2001-01-12,8.6800,8.8500,8.2000,8.4720,8.4720,20673
2001-01-16,8.1200,8.2500,7.9200,8.1030,8.1030,20122
2001-01-17,7.7200,7.9000,6.8000,6.9090,6.9090,28581
2001-01-18,7.1500,7.2500,6.8300,7.1360,7.1360,18752
2001-01-19,7.5000,7.6200,7.3000,7.4800,7.4800,19158
2001-01-22,7.7000,7.7700,7.4000,7.4570,7.4570,15666
2001-01-23,7.0500,7.0900,6.9000,6.9460,6.9460,21176
2001-01-24,6.8800,7.2100,6.7800,7.1200,7.1200,24393
2001-01-25,7.3000,7.4000,7.1400,7.2700,7.2700,22261
2001-01-26,7.1000,7.3000,7.0100,7.2800,7.2800,33333
2001-01-29,6.8000,6.8500,6.0500,6.6200,6.6200,20373
2001-01-30,6.0000,6.2300,5.8000,6.0970,6.0970,27868
2001-01-31,5.8500,6.2500,5.6500,5.6500,5.6500,29444
2001-02-01,5.8700,6.4200,5.7400,6.4000,6.4000,30314
2001-02-02,6.7200,6.9700,6.4200,6.7430,6.7430,29891
2001-02-05,6.2000,6.7500,5.6500,5.7060,5.7060,24825
2001-02-06,5.7000,5.8800,5.6100,5.7640,5.7640,22045
2001-02-07,5.8500,6.2600,5.8300,6.2500,6.2500,25839
2001-02-08,6.4500,6.5400,6.0500,6.1700,6.1700,28652
2001-02-09,6.2400,6.2800,6.1200,6.2100,6.2100,14151
2001-02-12,5.8500,5.8600,5.7300,5.8100,5.8100,16222
2001-02-13,5.7500,6.0500,5.6450,6.0200,6.0200,24435
2001-02-14,6.0100,6.0900,5.4700,5.5100,5.5100,31601
2001-02-15,5.5300,5.6100,5.4300,5.5950,5.5950,23229
2001-02-16,5.5600,5.5750,5.5400,5.5680,5.5680,19695
2001-02-20,5.3500,5.4200,5.2600,5.2700,5.2700,18588
2001-02-21,5.3300,5.3600,5.0600,5.1500,5.1500,27447
2001-02-22,5.2100,5.2300,5.1100,5.1400,5.1400,21780
2001-02-23,5.1500,5.1500,5.1500,5.1500,5.1500,30535
2001-02-26,5.1000,5.1900,4.9300,5.0600,5.0600,18731
2001-02-27,5.0900,5.3300,5.0700,5.2900,5.2900,27014
2001-02-28,5.3300,5.4000,5.1700,5.2450,5.2450,26912
2001-03-01,5.2200,5.2800,5.1250,5.1850,5.1850,15074
2001-03-02,5.2200,5.2950,5.2000,5.2750,5.2750,10916
2001-03-05,5.3900,5.4300,5.3300,5.3360,5.3360,15055
2001-03-06,5.3350,5.3500,5.2900,5.3100,5.3100,9163
2001-03-07,5.3200,5.3700,5.1800,5.3500,5.3500,27478
2001-03-08,5.3500,5.3700,5.2800,5.2900,5.2900,14399
