Date,Open,High,Low,Close,Adj Close,Volume
2000-11-01,0.89,0.90,0.88,0.88,0.88,16223
2000-11-02,0.88,0.89,0.86,0.87,0.87,17216
2000-11-03,0.87,0.88,0.86,0.87,0.87,10170
2000-11-06,0.86,0.89,0.86,0.88,0.88,16184
2000-11-07,0.89,0.90,0.89,0.89,0.89,15717
2000-11-08,0.89,0.89,0.87,0.87,0.87,16610
2000-11-09,0.88,0.88,0.87,0.88,0.88,15533
2000-11-10,0.87,0.89,0.86,0.87,0.87,14196
2000-11-13,0.88,0.89,0.87,0.89,0.89,12093
2000-11-14,0.88,0.90,0.88,0.89,0.89,11986
2000-11-15,0.90,0.92,0.88,0.92,0.92,19743
2000-11-16,0.92,0.94,0.92,0.92,0.92,16694
2000-11-17,0.92,0.92,0.90,0.92,0.92,14793
2000-11-20,0.93,0.93,0.91,0.92,0.92,12545
2000-11-21,0.92,0.93,0.91,0.92,0.92,0
2000-11-22,0.91,0.93,0.90,0.92,0.92,11062
2000-11-27,0.91,0.92,0.90,0.91,0.91,23052
2000-11-28,0.90,0.91,0.88,0.88,0.88,21095
2000-11-29,0.88,0.91,0.88,0.91,0.91,20839
2000-11-30,0.91,0.92,0.87,0.88,0.88,16701
2000-12-01,0.87,0.87,0.82,0.82,0.82,19587
2000-12-04,0.83,0.84,0.80,0.80,0.80,19382
2000-12-05,0.80,0.80,0.76,0.76,0.76,14679
2000-12-06,0.77,0.79,0.73,0.78,0.78,17411
2000-12-07,0.78,0.80,0.75,0.77,0.77,13047
2000-12-08,0.75,0.77,0.73,0.74,0.74,14112
2000-12-11,0.74,0.77,0.74,0.76,0.76,13988
2000-12-12,0.77,0.77,0.75,0.76,0.76,12866
2000-12-13,0.76,0.77,0.75,0.75,0.75,13047
2000-12-14,0.76,0.76,0.73,0.74,0.74,11374
2000-12-15,0.75,0.76,0.74,0.76,0.76,13762
2000-12-18,0.77,0.78,0.76,0.78,0.78,12832
2000-12-19,0.77,0.78,0.77,0.77,0.77,13043
2000-12-20,0.76,0.76,0.72,0.73,0.73,14815
2000-12-21,0.73,0.74,0.72,0.74,0.74,13782
2000-12-22,0.74,0.76,0.74,0.74,0.74,6233
2000-12-26,0.74,0.76,0.74,0.76,0.76,10478
2000-12-27,0.76,0.77,0.75,0.75,0.75,14542
2000-12-28,0.75,0.76,0.74,0.75,0.75,22380
2000-12-29,0.76,0.80,0.76,0.79,0.79,13692
2001-01-02,0.79,0.80,0.78,0.80,0.80,14697
2001-01-03,0.80,0.81,0.79,0.81,0.81,10219
2001-01-04,0.81,0.83,0.81,0.82,0.82,17869
2001-01-05,0.81,0.84,0.81,0.82,0.82,18617
2001-01-08,0.83,0.85,0.82,0.83,0.83,24057
2001-01-09,0.83,0.84,0.82,0.83,0.83,16428
2001-01-10,0.83,0.90,0.82,0.89,0.89,19408
2001-01-11,0.88,0.89,0.87,0.89,0.89,17472
2001-01-12,0.89,0.91,0.88,0.90,0.90,12044
2001-01-16,0.90,0.90,0.87,0.88,0.88,18421
2001-01-17,0.87,0.88,0.84,0.86,0.86,18941
2001-01-18,0.86,0.86,0.84,0.86,0.86,15062
2001-01-19,0.85,0.89,0.85,0.89,0.89,15024
2001-01-22,0.88,0.89,0.86,0.88,0.88,18208
2001-01-23,0.87,0.88,0.86,0.88,0.88,16197
2001-01-24,0.86,0.88,0.86,0.87,0.87,14760
2001-01-25,0.87,0.88,0.86,0.88,0.88,15254
2001-01-26,0.88,0.89,0.88,0.89,0.89,13948
2001-01-29,0.89,0.90,0.87,0.88,0.88,0
2001-01-30,0.88,0.89,0.86,0.88,0.88,17584
2001-01-31,0.86,0.87,0.84,0.86,0.86,24917
2001-02-01,0.83,0.85,0.82,0.85,0.85,15588
2001-02-02,0.85,0.90,0.85,0.89,0.89,17905
2001-02-05,0.89,0.90,0.88,0.89,0.89,15838
2001-02-06,0.90,0.90,0.88,0.89,0.89,14844
2001-02-07,0.89,0.93,0.88,0.92,0.92,21161
2001-02-08,0.92,0.94,0.92,0.93,0.93,15185
2001-02-09,0.92,0.92,0.90,0.90,0.90,16494
2001-02-12,0.90,0.90,0.88,0.89,0.89,13540
