Date,Open,High,Low,Close,Adj Close,Volume
2000-08-30,0.8790,0.8870,0.8770,0.8850,0.8850,2886
2000-08-31,0.8850,0.8880,0.8800,0.8850,0.8850,1095
2000-09-01,0.8780,0.8890,0.8780,0.8890,0.8890,3449
2000-09-05,0.8960,0.9070,0.8950,0.9060,0.9060,1397
2000-09-06,0.9050,0.9060,0.8975,0.9015,0.9015,1195
2000-09-07,0.9015,0.9070,0.9015,0.9060,0.9060,1598
2000-09-08,0.9120,0.9190,0.9095,0.9120,0.9120,628
2000-09-11,0.9110,0.9130,0.9070,0.9130,0.9130,653
2000-09-12,0.9120,0.9285,0.9120,0.9285,0.9285,623
2000-09-13,0.9335,0.9335,0.9270,0.9275,0.9275,1014
2000-09-14,0.9330,0.9340,0.9230,0.9255,0.9255,806
2000-09-15,0.9255,0.9255,0.9125,0.9200,0.9200,505
2000-09-18,0.9200,0.9220,0.9140,0.9185,0.9185,693
2000-09-19,0.9140,0.9220,0.9140,0.9215,0.9215,1050
2000-09-20,0.9120,0.9130,0.9000,0.9015,0.9015,508
2000-09-21,0.9040,0.9260,0.9040,0.9255,0.9255,545
2000-09-22,0.9070,0.9265,0.9070,0.9195,0.9195,561
2000-09-25,0.9200,0.9275,0.9070,0.9270,0.9270,980
2000-09-26,0.9240,0.9255,0.9115,0.9165,0.9165,0
2000-09-27,0.9120,0.9170,0.9050,0.9125,0.9125,841
2000-09-28,0.9140,0.9145,0.9065,0.9110,0.9110,455
2000-09-29,0.9180,0.9190,0.8955,0.9155,0.9155,673
2000-10-02,0.9140,0.9150,0.8950,0.8950,0.8950,415
2000-10-03,0.8900,0.8990,0.8870,0.8985,0.8985,296
2000-10-04,0.8965,0.8965,0.8910,0.8965,0.8965,248
2000-10-05,0.9100,0.9100,0.9095,0.9095,0.9095,216
2000-10-06,0.9050,0.9050,0.9040,0.9045,0.9045,454
2000-10-09,0.8880,0.8935,0.8880,0.8925,0.8925,203
2000-10-10,0.9000,0.9025,0.8980,0.9025,0.9025,214
2000-10-11,0.8995,0.8995,0.8935,0.8985,0.8985,274
2000-10-12,0.8825,0.8825,0.8795,0.8795,0.8795,279
2000-10-13,0.8775,0.8900,0.8775,0.8895,0.8895,368
2000-10-16,0.8880,0.8925,0.8880,0.8915,0.8915,276
2000-10-17,0.8900,0.8900,0.8750,0.8805,0.8805,236
2000-10-18,0.8695,0.8710,0.8695,0.8700,0.8700,282
2000-10-19,0.8700,0.8720,0.8700,0.8710,0.8710,118
2000-10-20,0.8600,0.8600,0.8600,0.8600,0.8600,275
2000-10-23,0.8620,0.8655,0.8620,0.8655,0.8655,239
2000-10-24,0.8690,0.8695,0.8620,0.8625,0.8625,171
2000-10-25,0.8560,0.8560,0.8490,0.8505,0.8505,246
2000-10-26,0.8450,0.8450,0.8280,0.8290,0.8290,0
2000-10-27,0.8355,0.8455,0.8355,0.8415,0.8415,478
2000-10-30,0.8395,0.8430,0.8380,0.8425,0.8425,543
2000-10-31,0.8530,0.8550,0.8465,0.8465,0.8465,409
2000-11-01,0.8445,0.8450,0.8325,0.8330,0.8330,786
2000-11-02,0.8360,0.8365,0.8360,0.8360,0.8360,1103
2000-11-03,0.8400,0.8445,0.8355,0.8360,0.8360,156
2000-11-06,0.8375,0.8375,0.8250,0.8250,0.8250,588
2000-11-07,0.8305,0.8330,0.8280,0.8285,0.8285,362
2000-11-08,0.8280,0.8345,0.8275,0.8345,0.8345,361
2000-11-09,0.8340,0.8390,0.8340,0.8380,0.8380,311
2000-11-10,0.8360,0.8380,0.8305,0.8365,0.8365,202
2000-11-13,0.8190,0.8190,0.8190,0.8190,0.8190,319
2000-11-14,0.8250,0.8265,0.8250,0.8260,0.8260,317
2000-11-15,0.8240,0.8300,0.8240,0.8260,0.8260,184
2000-11-16,0.8185,0.8185,0.8185,0.8185,0.8185,257
2000-11-17,0.8200,0.8225,0.8200,0.8220,0.8220,206
2000-11-20,0.8190,0.8330,0.8190,0.8220,0.8220,539
2000-11-21,0.8200,0.8290,0.8185,0.8290,0.8290,0
2000-11-22,0.8230,0.8230,0.8185,0.8195,0.8195,389
2000-11-27,0.8320,0.8470,0.8320,0.8465,0.8465,0
2000-11-28,0.8480,0.8620,0.8480,0.8610,0.8610,11293
2000-11-29,0.8510,0.8580,0.8465,0.8520,0.8520,3507
2000-11-30,0.8500,0.8580,0.8410,0.8410,0.8410,1826
2000-12-01,0.8380,0.8600,0.8380,0.8595,0.8595,829
2000-12-04,0.8600,0.8620,0.8550,0.8605,0.8605,874
2000-12-05,0.8600,0.8700,0.8570,0.8690,0.8690,1112
2000-12-06,0.8770,0.8770,0.8680,0.8770,0.8770,978
2000-12-07,0.8770,0.8800,0.8750,0.8785,0.8785,1436
2000-12-08,0.8855,0.8900,0.8855,0.8875,0.8875,1327
2000-12-11,0.8910,0.8995,0.8680,0.8895,0.8895,671
2000-12-12,0.8860,0.8860,0.8740,0.8835,0.8835,853
2000-12-13,0.8800,0.8810,0.8780,0.8805,0.8805,1020
2000-12-14,0.8805,0.8890,0.8800,0.8890,0.8890,1186
2000-12-15,0.8915,0.8915,0.8660,0.8725,0.8725,581
2000-12-18,0.8730,0.8765,0.8665,0.8745,0.8745,546
2000-12-19,0.8680,0.8740,0.8660,0.8740,0.8740,703
2000-12-20,0.8650,0.8700,0.8565,0.8630,0.8630,653
2000-12-21,0.8560,0.8570,0.8470,0.8560,0.8560,489
2000-12-22,0.8545,0.8610,0.8545,0.8600,0.8600,603
2000-12-26,0.8600,0.8650,0.8600,0.8635,0.8635,0
2000-12-27,0.8475,0.8550,0.8460,0.8475,0.8475,1094
2000-12-28,0.8520,0.8525,0.8510,0.8525,0.8525,723
2000-12-29,0.8480,0.8480,0.8460,0.8465,0.8465,368
2001-01-02,0.8455,0.8455,0.8180,0.8180,0.8180,593
2001-01-03,0.8090,0.8235,0.8075,0.8235,0.8235,619
2001-01-04,0.8260,0.8260,0.8150,0.8150,0.8150,421
2001-01-05,0.8200,0.8330,0.8150,0.8320,0.8320,518
2001-01-08,0.8360,0.8390,0.8320,0.8330,0.8330,520
2001-01-09,0.8380,0.8410,0.8295,0.8300,0.8300,468
2001-01-10,0.8340,0.8340,0.8300,0.8310,0.8310,375
2001-01-11,0.8370,0.8390,0.8300,0.8325,0.8325,312
2001-01-12,0.8325,0.8450,0.8325,0.8445,0.8445,653
2001-01-16,0.8350,0.8350,0.8190,0.8250,0.8250,379
2001-01-17,0.8260,0.8320,0.8240,0.8315,0.8315,551
2001-01-18,0.8670,0.8670,0.8380,0.8670,0.8670,459
2001-01-19,0.8600,0.8600,0.8525,0.8530,0.8530,301
2001-01-22,0.8520,0.8570,0.8495,0.8495,0.8495,457
2001-01-23,0.8550,0.8590,0.8505,0.8510,0.8510,408
