Date,Open,High,Low,Close,Adj Close,Volume
1998-09-28,284.00,291.00,284.00,290.55,290.55,391
1998-09-29,282.00,284.00,282.00,282.00,282.00,531
1998-09-30,279.00,283.00,277.00,281.15,281.15,143
1998-10-01,282.00,286.00,282.00,284.50,284.50,81
1998-10-02,282.00,283.50,282.00,283.50,283.50,143
1998-10-05,282.00,283.50,279.00,280.00,280.00,122
1998-10-06,280.00,283.00,278.25,282.60,282.60,236
1998-10-07,285.90,288.00,284.50,286.30,286.30,179
1998-10-08,285.00,287.00,282.10,282.75,282.75,333
1998-10-09,282.00,284.00,281.00,283.75,283.75,252
1998-10-12,283.00,283.00,278.50,278.50,278.50,197
1998-10-13,278.00,281.00,278.00,279.00,279.00,200
1998-10-14,275.20,279.00,275.00,278.00,278.00,161
1998-10-15,275.00,277.00,274.50,275.00,275.00,174
1998-10-16,278.00,282.00,277.00,280.95,280.95,100
1998-10-19,278.00,278.00,275.50,276.00,276.00,692
1998-10-20,274.20,274.20,270.50,272.75,272.75,143
1998-10-21,273.30,278.00,273.30,275.00,275.00,228
1998-10-22,275.00,275.00,273.50,273.85,273.85,137
1998-10-23,275.00,277.00,275.00,276.80,276.80,175
1998-10-26,278.00,278.90,275.10,275.50,275.50,261
1998-10-27,277.00,283.90,277.00,282.05,282.05,279
1998-10-28,281.50,281.50,279.10,281.00,281.00,195
1998-10-29,279.00,279.50,276.00,276.60,276.60,160
1998-10-30,275.10,277.00,275.00,277.00,277.00,94
1998-11-02,274.00,274.00,273.00,273.00,273.00,148
1998-11-03,273.00,274.00,272.50,272.75,272.75,259
1998-11-04,274.00,276.00,273.00,275.00,275.00,142
1998-11-05,275.00,276.50,275.00,276.00,276.00,256
1998-11-06,273.00,273.50,272.00,272.60,272.60,171
1998-11-09,270.30,272.60,270.00,271.20,271.20,426
1998-11-10,272.00,272.50,271.20,272.40,272.40,66
1998-11-11,272.30,273.50,272.00,273.50,273.50,431
1998-11-12,276.00,279.00,276.00,278.25,278.25,157
1998-11-13,278.50,278.50,275.00,277.50,277.50,188
1998-11-16,276.00,279.00,275.00,278.50,278.50,464
1998-11-17,278.00,282.00,278.00,280.85,280.85,1484
1998-11-18,283.50,292.50,280.85,292.50,292.50,712
1998-11-19,296.00,310.00,296.00,306.60,306.60,1213
1998-11-20,303.00,304.00,292.50,293.65,293.65,543
1998-11-23,286.00,286.00,281.00,281.25,281.25,326
1998-11-24,275.00,277.00,274.00,275.95,275.95,249
1998-11-25,279.00,279.00,274.50,277.80,277.80,297
1998-11-30,274.00,275.00,273.00,274.00,274.00,170
1998-12-01,273.00,273.00,271.50,272.65,272.65,0
1998-12-02,270.50,273.00,270.10,272.60,272.60,1
1998-12-03,272.00,272.00,272.00,272.00,272.00,1
1998-12-04,272.20,272.20,272.20,272.20,272.20,0
1998-12-07,272.20,272.00,272.00,270.75,270.75,0
1998-12-08,274.05,274.05,274.05,274.05,274.05,0
