Date,Open,High,Low,Close,Adj Close,Volume
1997-10-29,404.50,408.00,402.00,402.70,402.70,1708
1997-10-30,404.50,408.00,402.50,405.30,405.30,1305
1997-10-31,402.20,405.50,401.50,404.20,404.20,862
1997-11-03,407.20,407.70,403.30,406.50,406.50,898
1997-11-04,406.50,407.50,405.00,405.70,405.70,809
1997-11-05,405.50,406.50,403.50,404.50,404.50,1726
1997-11-06,395.50,398.00,385.00,389.00,389.00,3439
1997-11-07,395.50,398.00,385.00,389.00,389.00,1711
1997-11-10,391.50,392.80,386.10,387.40,387.40,1250
1997-11-11,389.50,390.00,388.00,389.30,389.30,1012
1997-11-12,390.00,392.50,390.00,391.00,391.00,947
1997-11-13,390.50,391.00,386.50,386.70,386.70,2430
1997-11-14,385.00,385.00,379.50,384.00,384.00,761
1997-11-17,384.50,386.00,382.00,385.50,385.50,1474
1997-11-18,385.50,393.00,385.50,392.80,392.80,2652
1997-11-19,393.30,397.00,391.50,393.00,393.00,629
1997-11-20,392.50,393.70,390.10,392.20,392.20,1326
1997-11-21,390.00,393.50,387.50,389.00,389.00,956
1997-11-24,388.20,389.00,385.10,386.50,386.50,2704
1997-11-25,384.50,385.00,378.50,379.80,379.80,1151
1997-11-26,378.50,384.00,378.00,383.30,383.30,1046
1997-12-01,381.00,386.00,381.00,384.50,384.50,1333
1997-12-02,386.00,389.00,386.00,388.50,388.50,1171
1997-12-03,386.00,388.50,385.50,385.70,385.70,2377
1997-12-04,385.00,385.00,379.00,381.00,381.00,872
1997-12-05,382.50,384.50,380.50,381.00,381.00,984
1997-12-08,379.90,380.90,376.00,376.70,376.70,2204
1997-12-09,376.00,376.50,369.50,375.90,375.90,2056
1997-12-10,379.00,380.00,370.00,372.90,372.90,2560
1997-12-11,366.60,367.00,358.50,360.40,360.40,1640
1997-12-12,360.00,362.00,359.00,360.20,360.20,1589
1997-12-15,357.00,357.50,350.50,352.00,352.00,3811
1997-12-16,346.00,346.00,339.50,340.60,340.60,2931
1997-12-17,349.50,355.00,345.50,354.00,354.00,2193
1997-12-18,353.50,358.50,353.50,356.70,356.70,1533
1997-12-19,356.00,357.00,352.00,355.00,355.00,1494
1997-12-22,355.00,356.00,352.70,353.10,353.10,1668
1997-12-23,353.00,356.00,353.00,355.00,355.00,1731
1997-12-24,359.00,366.40,359.00,366.40,366.40,121
1997-12-26,368.00,368.90,365.50,366.00,366.00,3525
1997-12-29,365.00,367.00,363.50,365.50,365.50,928
1997-12-30,366.00,369.00,362.00,367.00,367.00,478
1997-12-31,366.50,371.00,365.00,370.80,370.80,157
1998-01-02,370.00,370.00,366.50,368.00,368.00,101
1998-01-05,366.00,366.00,363.50,364.40,364.40,132
1998-01-06,362.00,362.00,355.50,356.60,356.60,27
1998-01-07,360.00,363.50,358.50,363.50,363.50,31
1998-01-08,365.00,366.00,360.00,362.10,362.10,12
1998-01-09,364.00,365.00,364.00,364.10,364.10,71
1998-01-12,363.00,365.10,363.00,365.10,365.10,57
1998-01-13,363.00,375.20,363.00,375.20,375.20,24
1998-01-14,380.00,393.00,380.00,391.50,391.50,20
1998-01-15,391.60,391.60,391.60,391.60,391.60,2
1998-01-16,385.00,385.00,377.60,377.60,377.60,39
1998-01-20,379.00,379.00,378.50,378.50,378.50,1
1998-01-21,382.50,382.50,382.50,382.50,382.50,3
1998-01-22,388.00,388.00,387.10,387.10,387.10,2
1998-01-23,387.00,387.20,380.00,387.20,387.20,0
1998-01-26,386.60,386.60,386.60,386.60,386.60,0
1998-01-27,392.50,392.50,392.50,392.50,392.50,2928
1998-01-28,386.50,391.00,383.00,390.70,390.70,2244
1998-01-29,391.00,394.50,386.50,387.70,387.70,744
1998-01-30,387.00,388.50,386.00,388.10,388.10,986
1998-02-02,388.50,392.80,388.10,392.00,392.00,1180
1998-02-03,386.00,388.00,383.60,386.20,386.20,3045
1998-02-04,387.70,397.00,387.50,396.50,396.50,3286
1998-02-05,405.00,407.00,395.80,399.30,399.30,1025
1998-02-06,399.00,399.50,396.00,396.50,396.50,3711
1998-02-09,396.00,397.50,387.00,387.80,387.80,1170
1998-02-10,387.80,392.70,387.20,390.90,390.90,1081
1998-02-11,389.50,395.00,388.50,390.90,390.90,3262
1998-02-12,393.00,398.00,383.50,388.40,388.40,862
1998-02-13,388.00,391.00,386.20,387.90,387.90,1855
1998-02-17,387.50,388.80,379.50,380.80,380.80,2807
1998-02-18,380.00,380.00,374.20,377.70,377.70,1088
1998-02-19,378.00,384.50,378.00,383.90,383.90,1177
1998-02-20,384.20,385.90,379.00,379.20,379.20,2631
1998-02-23,378.00,378.00,369.50,373.70,373.70,884
1998-02-24,374.00,374.50,372.00,373.80,373.80,1550
1998-02-25,379.50,384.00,378.00,380.00,380.00,1534
1998-02-26,378.50,383.00,377.00,382.60,382.60,976
1998-02-27,384.50,388.00,380.00,383.60,383.60,1122
1998-03-02,385.50,390.00,385.50,388.00,388.00,600
1998-03-03,385.00,385.50,382.50,384.00,384.00,1237
1998-03-04,386.00,387.80,383.50,384.50,384.50,788
1998-03-05,383.50,383.50,381.20,381.60,381.60,1456
1998-03-06,382.00,384.00,378.10,379.30,379.30,644
1998-03-09,379.50,383.00,379.50,382.70,382.70,2494
1998-03-10,384.50,390.50,384.50,388.50,388.50,1388
1998-03-11,389.00,391.50,386.50,387.20,387.20,1641
1998-03-12,388.00,392.50,386.00,387.90,387.90,2169
1998-03-13,392.00,395.50,388.50,392.10,392.10,2860
1998-03-16,398.90,402.80,394.50,402.50,402.50,1758
1998-03-17,398.00,398.00,393.00,395.30,395.30,5142
1998-03-18,393.80,413.80,393.80,409.00,409.00,2443
1998-03-19,412.00,415.00,409.00,409.40,409.40,1341
1998-03-20,411.00,415.00,408.50,412.30,412.30,3548
1998-03-23,419.00,422.00,417.00,421.80,421.80,3134
1998-03-24,421.50,422.50,412.00,415.40,415.40,3664
1998-03-25,410.50,412.00,405.00,406.70,406.70,2738
1998-03-26,412.00,417.00,410.00,416.40,416.40,3284
1998-03-27,411.00,414.00,407.00,410.20,410.20,1552
1998-03-30,409.00,413.00,407.00,407.40,407.40,1384
1998-03-31,408.00,410.50,406.00,408.50,408.50,1173
1998-04-01,409.50,412.00,408.50,409.50,409.50,142
1998-04-02,410.00,410.00,406.00,408.50,408.50,28
1998-04-03,418.00,418.20,414.00,418.20,418.20,104
1998-04-06,420.00,420.00,414.50,418.00,418.00,97
1998-04-07,417.60,420.50,416.50,420.50,420.50,126
1998-04-08,422.50,427.00,422.50,424.30,424.30,45
1998-04-09,429.50,430.00,429.00,429.00,429.00,35
1998-04-13,434.10,434.10,434.10,434.10,434.10,12
1998-04-14,437.00,440.00,437.00,439.10,439.10,41
1998-04-15,430.00,430.00,426.90,426.90,426.90,8
1998-04-16,415.70,415.70,415.70,415.70,415.70,2
1998-04-17,416.60,416.60,416.60,416.60,416.60,3
1998-04-20,421.90,421.90,421.90,421.90,421.90,1
1998-04-21,421.00,422.90,421.00,422.90,422.90,7
1998-04-22,426.70,426.70,426.70,426.70,426.70,6
1998-04-23,424.00,424.00,419.00,421.90,421.90,14
1998-04-24,414.00,415.80,414.00,415.80,415.80,2
1998-04-27,411.00,420.00,411.00,414.00,414.00,2183
1998-04-28,406.00,408.90,401.20,404.00,404.00,2350
1998-04-29,400.00,405.50,396.00,404.70,404.70,1665
1998-04-30,402.50,407.50,400.00,400.40,400.40,2195
1998-05-01,396.50,398.00,393.10,393.50,393.50,1247
1998-05-04,394.50,398.00,391.50,395.00,395.00,901
1998-05-05,396.00,399.00,395.20,398.00,398.00,1146
1998-05-06,395.90,398.00,393.00,395.00,395.00,1063
1998-05-07,393.00,395.50,391.50,393.60,393.60,951
1998-05-08,395.00,398.50,393.00,396.00,396.00,2428
1998-05-11,395.50,396.00,388.00,389.50,389.50,3040
1998-05-12,388.50,389.50,385.00,387.20,387.20,3307
1998-05-13,386.00,410.00,385.20,402.50,402.50,807
1998-05-14,402.50,405.00,399.50,400.60,400.60,929
1998-05-15,402.10,407.70,402.00,404.90,404.90,2018
1998-05-18,403.90,407.00,392.00,394.70,394.70,925
1998-05-19,394.00,395.80,389.50,392.30,392.30,2481
1998-05-20,389.50,392.00,378.20,380.70,380.70,1412
1998-05-21,381.40,385.00,379.20,383.00,383.00,1387
1998-05-22,382.50,382.50,377.00,378.70,378.70,1389
1998-05-26,380.00,381.50,376.20,379.70,379.70,2302
1998-05-27,376.00,376.50,372.10,374.10,374.10,2087
1998-05-28,373.00,373.00,364.50,367.20,367.20,1705
1998-05-29,364.50,369.00,358.50,368.20,368.20,990
1998-06-01,367.00,367.00,360.50,363.30,363.30,1644
1998-06-02,365.00,369.70,362.20,364.50,364.50,2362
1998-06-03,354.50,358.80,353.20,358.00,358.00,974
1998-06-04,362.00,364.00,358.50,362.70,362.70,972
1998-06-05,359.50,361.70,356.00,359.90,359.90,1454
1998-06-08,358.00,364.50,356.50,364.20,364.20,1307
1998-06-09,364.50,367.00,356.50,359.00,359.00,951
1998-06-10,356.00,358.50,353.50,357.30,357.30,1253
1998-06-11,354.00,354.00,350.50,350.80,350.80,1843
1998-06-12,349.60,350.30,345.50,349.00,349.00,840
1998-06-15,347.50,348.50,345.30,347.50,347.50,1804
1998-06-16,346.50,356.50,346.50,355.90,355.90,1857
1998-06-17,360.00,363.50,357.00,360.90,360.90,908
1998-06-18,363.00,363.00,356.70,358.20,358.20,1350
1998-06-19,362.00,364.50,359.50,363.00,363.00,1037
1998-06-22,359.00,359.00,356.20,357.90,357.90,1420
1998-06-23,357.00,357.00,352.80,354.70,354.70,1140
1998-06-24,352.00,353.00,351.20,352.40,352.40,3799
1998-06-25,351.00,358.50,351.00,354.30,354.30,1077
1998-06-26,354.00,355.00,351.50,353.20,353.20,2393
1998-06-29,352.50,353.50,351.50,353.00,353.00,630
1998-06-30,355.50,361.60,355.50,361.60,361.60,182
1998-07-01,362.50,374.00,362.50,370.50,370.50,131
1998-07-02,371.00,385.00,369.00,375.60,375.60,91
1998-07-06,372.00,377.30,371.50,377.30,377.30,280
1998-07-07,380.00,387.00,380.00,386.00,386.00,16
1998-07-08,378.00,387.10,378.00,387.10,387.10,74
1998-07-09,391.00,391.00,386.50,386.50,386.50,120
1998-07-10,387.30,387.30,387.30,387.30,387.30,1
1998-07-13,388.00,388.00,386.70,386.70,386.70,27
1998-07-14,388.50,388.90,388.50,388.90,388.90,62
1998-07-15,392.00,394.00,392.00,392.30,392.30,11
1998-07-16,402.00,402.00,402.00,402.00,402.00,14
1998-07-17,405.00,405.00,402.00,402.00,402.00,0
1998-07-20,396.60,396.60,396.60,396.60,396.60,0
1998-07-21,387.00,387.00,387.00,387.00,387.00,1
1998-07-22,379.00,383.50,379.00,383.50,383.50,21
1998-07-23,381.20,381.20,381.20,381.20,381.20,38
1998-07-24,388.00,388.00,378.80,378.80,378.80,22
1998-07-27,375.50,375.50,375.50,375.50,375.50,1
1998-07-28,383.50,383.50,383.50,383.50,383.50,921
1998-07-29,381.50,383.00,379.20,380.50,380.50,783
1998-07-30,379.00,383.00,379.00,380.70,380.70,834
1998-07-31,380.70,381.80,377.00,377.60,377.60,2122
1998-08-03,375.00,376.50,371.00,371.20,371.20,1282
1998-08-04,373.50,378.80,373.50,377.00,377.00,1192
1998-08-05,377.50,381.00,377.50,380.40,380.40,1288
1998-08-06,381.00,387.50,381.00,386.80,386.80,684
1998-08-07,384.00,384.00,381.50,382.30,382.30,357
1998-08-10,379.50,382.50,378.50,381.50,381.50,675
1998-08-11,378.50,378.70,376.10,377.10,377.10,1160
1998-08-12,379.50,380.50,374.00,374.40,374.40,1361
1998-08-13,372.50,378.50,370.00,377.50,377.50,1499
1998-08-14,375.50,375.50,369.00,370.30,370.30,1632
1998-08-17,368.00,369.90,365.50,366.20,366.20,1570
1998-08-18,368.50,373.00,365.50,370.40,370.40,712
1998-08-19,372.50,374.50,370.00,371.80,371.80,1206
1998-08-20,371.50,377.00,371.50,373.80,373.80,563
1998-08-21,373.00,373.00,368.50,370.30,370.30,415
1998-08-24,370.30,373.00,368.10,372.70,372.70,1618
1998-08-25,368.50,368.50,364.00,366.80,366.80,2158
1998-08-26,363.10,365.50,360.50,362.00,362.00,2804
1998-08-27,357.00,358.00,353.20,354.70,354.70,1801
1998-08-28,351.20,357.00,349.10,355.60,355.60,505
1998-08-31,357.00,361.00,357.00,359.50,359.50,1216
1998-09-01,362.00,366.50,362.00,364.90,364.90,957
1998-09-02,367.50,371.50,367.50,369.90,369.90,1321
1998-09-03,365.00,371.80,362.50,370.10,370.10,467
1998-09-04,370.00,370.00,366.00,367.20,367.20,1524
1998-09-08,365.00,365.50,358.50,361.20,361.20,982
1998-09-09,357.20,361.00,356.50,359.70,359.70,1474
1998-09-10,364.00,367.00,363.50,365.50,365.50,1303
1998-09-11,368.00,368.50,362.10,366.30,366.30,1631
1998-09-14,365.50,369.00,362.50,367.40,367.40,2190
1998-09-15,365.00,374.00,365.00,368.60,368.60,2653
1998-09-16,366.50,369.00,360.40,361.90,361.90,1247
1998-09-17,361.00,363.00,357.30,360.40,360.40,1789
1998-09-18,357.00,364.00,356.00,363.40,363.40,1152
1998-09-21,359.00,360.50,355.50,356.10,356.10,2083
1998-09-22,354.00,356.50,352.50,353.30,353.30,1173
1998-09-23,353.00,356.00,352.30,355.50,355.50,2436
1998-09-24,357.50,362.40,357.00,360.90,360.90,2218
1998-09-25,364.00,366.00,355.00,355.10,355.10,3590
1998-09-28,355.00,355.00,351.10,353.80,353.80,2778
1998-09-29,350.00,351.50,347.00,347.20,347.20,1177
1998-09-30,350.50,355.50,346.00,353.40,353.40,206
1998-10-01,354.00,354.00,350.00,350.40,350.40,30
1998-10-02,349.50,350.00,348.00,348.00,348.00,47
1998-10-05,345.00,346.00,337.00,337.40,337.40,210
1998-10-06,341.00,342.20,338.50,342.20,342.20,9
1998-10-07,349.00,352.00,349.00,352.00,352.00,15
1998-10-08,354.00,356.00,349.50,349.50,349.50,16
1998-10-09,351.50,351.50,344.50,344.50,344.50,3
1998-10-12,342.50,342.50,342.50,342.50,342.50,3
1998-10-13,345.00,345.00,344.30,344.30,344.30,5
1998-10-14,341.00,341.00,341.00,341.00,341.00,1
1998-10-15,345.00,345.00,343.00,343.00,343.00,0
1998-10-16,346.70,346.70,346.70,346.70,346.70,0
1998-10-19,338.00,338.00,338.00,338.00,338.00,1414
1998-10-20,337.00,337.00,337.00,337.00,337.00,29
1998-10-21,342.50,342.50,342.50,342.50,342.50,32
1998-10-22,341.50,341.50,337.90,337.90,337.90,0
1998-10-23,340.70,340.70,340.70,340.70,340.70,10
1998-10-26,340.00,341.70,340.00,341.70,341.70,0
1998-10-27,344.60,344.60,344.60,344.60,344.60,2003
1998-10-28,342.00,342.50,338.30,339.10,339.10,1164
1998-10-29,339.00,339.90,336.00,336.70,336.70,2051
1998-10-30,335.00,337.50,334.00,336.40,336.40,1266
1998-11-02,337.00,340.00,336.70,338.30,338.30,2046
1998-11-03,339.00,343.50,338.00,341.00,341.00,3228
1998-11-04,344.00,348.00,343.00,346.60,346.60,1708
1998-11-05,347.00,349.80,345.50,346.30,346.30,1834
1998-11-06,345.00,346.50,340.50,341.50,341.50,1486
1998-11-09,338.00,340.40,337.30,338.30,338.30,899
1998-11-10,338.50,339.50,337.10,337.50,337.50,1958
1998-11-11,339.80,341.70,339.50,339.80,339.80,3586
1998-11-12,343.50,351.70,343.50,350.80,350.80,2047
1998-11-13,352.00,353.00,347.50,348.60,348.60,1360
1998-11-16,348.00,352.50,347.50,352.00,352.00,1252
1998-11-17,351.00,351.00,348.20,348.90,348.90,1915
1998-11-18,352.00,355.50,351.50,352.40,352.40,3994
1998-11-19,359.50,363.00,358.20,362.30,362.30,2970
1998-11-20,360.00,363.50,356.10,357.50,357.50,3358
1998-11-23,355.50,355.50,351.00,352.40,352.40,1429
1998-11-24,352.00,354.80,351.00,354.60,354.60,1066
1998-11-25,356.00,357.00,353.50,354.00,354.00,2312
1998-11-30,355.00,356.50,351.00,355.30,355.30,1676
1998-12-01,354.00,354.00,351.00,352.10,352.10,2202
1998-12-02,350.00,350.80,346.10,346.70,346.70,683
1998-12-03,346.10,349.00,346.00,347.70,347.70,683
1998-12-04,349.50,350.00,348.10,348.50,348.50,1063
1998-12-07,348.00,350.50,347.20,348.00,348.00,1385
1998-12-08,348.00,348.00,346.20,346.80,346.80,1250
1998-12-09,352.50,354.00,351.20,352.50,352.50,1665
1998-12-10,354.00,357.00,350.00,350.90,350.90,1745
1998-12-11,352.40,354.00,348.20,350.80,350.80,1230
1998-12-14,350.00,350.80,348.00,348.80,348.80,1289
1998-12-15,351.00,354.50,351.00,351.80,351.80,2561
1998-12-16,354.50,359.00,354.00,356.70,356.70,2531
1998-12-17,357.50,357.50,347.30,349.50,349.50,3378
1998-12-18,349.50,349.50,344.00,344.70,344.70,3173
1998-12-21,347.00,347.00,341.50,344.00,344.00,1292
1998-12-22,343.00,346.00,342.10,343.20,343.20,1171
1998-12-23,343.00,346.00,342.00,345.70,345.70,297
1998-12-24,345.50,345.50,343.00,343.70,343.70,1075
1998-12-28,345.00,348.50,343.00,347.70,347.70,2158
1998-12-29,348.50,358.00,348.50,357.50,357.50,2131
1998-12-30,360.50,362.00,357.50,361.40,361.40,397
1998-12-31,363.00,366.00,362.00,364.50,364.50,554
1999-01-04,363.80,365.00,361.00,363.80,363.80,58
1999-01-05,363.00,363.00,356.00,357.10,357.10,80
1999-01-06,359.00,360.00,355.60,355.60,355.60,80
1999-01-07,359.00,360.20,357.50,360.20,360.20,44
1999-01-08,357.00,361.50,357.00,360.40,360.40,11
1999-01-11,364.00,364.50,364.00,364.10,364.10,8
1999-01-12,359.00,359.00,354.50,355.50,355.50,20
1999-01-13,359.00,359.00,354.50,354.20,354.20,2
1999-01-14,354.00,354.00,354.00,353.40,353.40,6
1999-01-15,353.00,353.00,353.00,352.00,352.00,9
1999-01-19,353.00,355.00,353.00,353.50,353.50,17
1999-01-20,354.50,354.50,354.00,353.70,353.70,3
1999-01-21,355.50,355.50,355.50,353.20,353.20,21
1999-01-22,354.50,354.50,350.00,349.10,349.10,74
1999-01-25,354.50,354.50,350.00,352.50,352.50,170
1999-01-26,352.00,353.50,352.00,353.50,353.50,722
1999-01-27,350.80,351.50,347.20,347.50,347.50,4600
1999-01-28,345.30,348.00,342.20,344.10,344.10,3958
1999-01-29,347.50,348.00,344.50,346.90,346.90,2232
1999-02-01,348.00,349.80,347.00,349.60,349.60,1694
1999-02-02,349.00,357.00,348.00,355.60,355.60,2974
1999-02-03,355.00,357.00,353.50,354.90,354.90,1165
1999-02-04,354.00,364.00,352.00,362.00,362.00,4274
1999-02-05,361.50,361.50,355.00,356.40,356.40,1631
1999-02-08,354.60,356.00,354.00,355.00,355.00,586
1999-02-09,355.50,361.50,355.50,359.50,359.50,1801
1999-02-10,362.00,363.00,359.00,361.00,361.00,1286
1999-02-11,361.50,365.50,360.00,364.60,364.60,3838
1999-02-12,368.20,373.00,365.50,370.60,370.60,6545
1999-02-16,368.00,368.80,362.00,367.20,367.20,2775
1999-02-17,365.50,367.20,354.50,365.40,365.40,1402
1999-02-18,372.00,381.00,370.00,376.10,376.10,5029
1999-02-19,382.50,385.00,373.00,376.10,376.10,4685
1999-02-22,375.00,379.50,371.50,377.40,377.40,2465
1999-02-23,380.00,387.80,380.00,384.10,384.10,3210
1999-02-24,383.50,388.00,381.00,383.20,383.20,1736
1999-02-25,387.00,387.00,376.50,380.40,380.40,1697
1999-02-26,379.00,382.50,377.30,381.70,381.70,1259
1999-03-01,380.50,381.50,376.50,380.10,380.10,1501
1999-03-02,375.00,379.50,374.50,376.20,376.20,2410
1999-03-03,374.00,375.00,369.00,372.20,372.20,2039
1999-03-04,372.20,375.00,371.50,373.10,373.10,1662
1999-03-05,375.50,377.50,374.50,377.20,377.20,1442
1999-03-08,378.00,379.00,377.50,378.50,378.50,1192
1999-03-09,377.90,378.50,375.00,375.50,375.50,1192
1999-03-10,370.00,372.00,367.50,368.70,368.70,3554
1999-03-11,370.50,371.50,368.70,369.40,369.40,1149
1999-03-12,369.50,370.00,364.50,366.90,366.90,3391
1999-03-15,366.00,366.50,363.00,364.20,364.20,1519
1999-03-16,363.50,367.00,363.50,366.10,366.10,2005
1999-03-17,367.00,370.40,367.00,368.80,368.80,813
1999-03-18,368.80,371.00,367.00,369.40,369.40,7
1999-03-19,371.00,374.00,370.20,371.70,371.70,566
1999-03-22,373.50,375.50,372.00,375.10,375.10,1470
1999-03-23,375.10,377.00,373.20,376.00,376.00,1620
1999-03-24,376.90,376.90,372.50,373.10,373.10,1706
1999-03-25,372.00,372.00,369.20,370.60,370.60,2921
1999-03-26,369.50,373.00,367.60,372.20,372.20,4330
1999-03-29,370.50,371.00,358.00,359.50,359.50,3080
1999-03-30,357.00,359.00,355.00,358.00,358.00,650
1999-03-31,359.00,361.00,358.00,359.10,359.10,604
1999-04-01,358.10,362.00,357.00,359.00,359.00,333
1999-04-05,363.00,363.00,360.00,359.60,359.60,188
1999-04-06,358.50,358.50,354.00,354.20,354.20,336
1999-04-07,353.50,356.00,353.50,355.40,355.40,123
1999-04-08,355.50,359.00,355.50,355.60,355.60,11
1999-04-09,355.50,355.50,355.50,357.70,357.70,0
1999-04-12,361.00,361.00,361.00,359.60,359.60,13
1999-04-13,361.00,361.00,361.00,360.40,360.40,36
1999-04-14,356.50,356.50,356.50,358.30,358.30,1
1999-04-15,351.50,351.50,351.50,361.20,361.20,0
1999-04-16,363.00,363.50,363.00,362.40,362.40,8
1999-04-19,366.00,367.00,366.00,365.30,365.30,6
1999-04-20,366.00,366.00,366.00,363.00,363.00,12
1999-04-21,366.00,366.00,366.00,360.80,360.80,0
1999-04-22,360.00,360.00,359.00,356.60,356.60,8
1999-04-23,360.00,360.00,359.00,355.10,355.10,0
1999-04-26,360.00,360.00,359.00,354.20,354.20,0
1999-04-27,356.50,356.50,356.50,356.50,356.50,1317
1999-04-28,356.00,356.50,352.50,353.50,353.50,1402
1999-04-29,349.00,352.50,346.00,350.70,350.70,4564
1999-04-30,351.00,356.00,349.00,354.50,354.50,0
1999-05-03,354.00,354.50,348.00,348.20,348.20,985
