Date,Open,High,Low,Close,Adj Close,Volume
2000-08-30,4.9500,4.9500,4.8950,4.9300,4.9300,2319
2000-08-31,4.9200,5.0450,4.9200,5.0030,5.0030,1612
2000-09-01,5.0350,5.0350,4.9850,5.0040,5.0040,1375
2000-09-05,4.9900,5.0050,4.9750,4.9980,4.9980,856
2000-09-06,5.0000,5.0000,4.9800,4.9830,4.9830,232
2000-09-07,4.9800,4.9800,4.9300,4.9350,4.9350,300
2000-09-08,4.9400,4.9450,4.9100,4.9230,4.9230,120
2000-09-11,4.9050,4.9100,4.8850,4.8850,4.8850,113
2000-09-12,4.9350,4.9400,4.9000,4.9090,4.9090,211
2000-09-13,4.9200,4.9200,4.8800,4.8920,4.8920,87
2000-09-14,4.8950,4.9100,4.8800,4.8880,4.8880,103
2000-09-15,4.8700,4.8800,4.8550,4.8680,4.8680,16
2000-09-18,4.8760,4.8760,4.8760,4.8760,4.8760,15
2000-09-19,4.8900,4.8900,4.8750,4.8830,4.8830,111
2000-09-20,4.8600,4.8650,4.8300,4.8300,4.8300,13
2000-09-21,4.9000,4.9000,4.8700,4.8720,4.8720,16
2000-09-22,4.9000,4.9100,4.9000,4.9100,4.9100,29
2000-09-25,4.9000,4.9150,4.8600,4.9150,4.9150,219
2000-09-26,4.9300,4.9310,4.9300,4.9310,4.9310,0
2000-09-27,4.9100,4.9680,4.9100,4.9680,4.9680,0
2000-09-28,4.9530,4.9530,4.9530,4.9530,4.9530,1
2000-09-29,4.8700,4.8990,4.8700,4.8990,4.8990,0
2000-10-02,4.9060,4.9060,4.9060,4.9060,4.9060,0
2000-10-03,4.9130,4.9130,4.9130,4.9130,4.9130,4
2000-10-04,4.8400,4.8740,4.8400,4.8740,4.8740,1
2000-10-05,4.8890,4.8890,4.8890,4.8890,4.8890,1
2000-10-06,4.8830,4.8830,4.8830,4.8830,4.8830,0
2000-10-09,4.8850,4.8850,4.8850,4.8850,4.8850,0
2000-10-10,4.9180,4.9180,4.9180,4.9180,4.9180,0
2000-10-11,4.8700,4.8700,4.8700,4.8700,4.8700,0
2000-10-12,4.9230,4.9230,4.9230,4.9230,4.9230,0
2000-10-13,4.8830,4.8830,4.8830,4.8830,4.8830,0
2000-10-16,4.8810,4.8810,4.8810,4.8810,4.8810,0
2000-10-17,4.8430,4.8430,4.8430,4.8430,4.8430,0
2000-10-18,4.8530,4.8530,4.8530,4.8530,4.8530,0
2000-10-19,4.8280,4.8280,4.8280,4.8280,4.8280,0
2000-10-20,4.8280,4.8280,4.8280,4.8280,4.8280,0
2000-10-23,4.7860,4.7860,4.7860,4.7860,4.7860,6
2000-10-24,4.7750,4.7990,4.7750,4.7990,4.7990,0
2000-10-25,4.7640,4.7640,4.7640,4.7640,4.7640,0
2000-10-26,4.7310,4.7310,4.7310,4.7310,4.7310,0
2000-10-27,4.7460,4.7460,4.7460,4.7460,4.7460,1
2000-10-30,4.7700,4.7700,4.7480,4.7480,4.7480,0
2000-10-31,4.7540,4.7540,4.7540,4.7540,4.7540,1
2000-11-01,4.7740,4.7740,4.7740,4.7740,4.7740,0
2000-11-02,4.7110,4.7110,4.7110,4.7110,4.7110,4
2000-11-03,4.7410,4.7410,4.7410,4.7410,4.7410,0
2000-11-06,4.7610,4.7610,4.7610,4.7610,4.7610,0
2000-11-07,4.7210,4.7210,4.7210,4.7210,4.7210,0
2000-11-08,4.7390,4.7390,4.7390,4.7390,4.7390,0
2000-11-09,4.7490,4.7490,4.7490,4.7490,4.7490,0
2000-11-10,4.7070,4.7070,4.7070,4.7070,4.7070,1
2000-11-13,4.7000,4.7000,4.6720,4.6720,4.6720,0
2000-11-14,4.6790,4.6790,4.6790,4.6790,4.6790,20
2000-11-15,4.6720,4.6720,4.6720,4.6720,4.6720,0
2000-11-16,4.6800,4.6800,4.6600,4.6600,4.6600,0
2000-11-17,4.6450,4.6450,4.6450,4.6450,4.6450,0
2000-11-20,4.6420,4.6420,4.6420,4.6420,4.6420,0
2000-11-21,4.6270,4.6270,4.6270,4.6270,4.6270,0
2000-11-22,4.6250,4.6250,4.6250,4.6250,4.6250,0
2000-11-27,4.6950,4.6950,4.6950,4.6950,4.6950,0
2000-11-28,4.6980,4.6980,4.6980,4.6980,4.6980,23582
2000-11-29,4.6950,4.7100,4.6000,4.6150,4.6150,4660
2000-11-30,4.6050,4.6750,4.6000,4.6740,4.6740,325
2000-12-01,4.6750,4.6850,4.6400,4.6400,4.6400,208
2000-12-04,4.6500,4.7450,4.6500,4.7140,4.7140,129
2000-12-05,4.7000,4.7200,4.6750,4.7040,4.7040,409
2000-12-06,4.6950,4.7600,4.6950,4.7540,4.7540,141
2000-12-07,4.7650,4.7650,4.7050,4.7240,4.7240,14
2000-12-08,4.7000,4.7000,4.6480,4.6480,4.6480,49
2000-12-11,4.6560,4.6650,4.6550,4.6560,4.6560,229
2000-12-12,4.6750,4.6750,4.6600,4.6600,4.6600,8
2000-12-13,4.6350,4.6350,4.6200,4.6230,4.6230,6
2000-12-14,4.6250,4.6250,4.5980,4.5980,4.5980,17
2000-12-15,4.5500,4.5750,4.5500,4.5630,4.5630,697
2000-12-18,4.5800,4.5800,4.5750,4.5750,4.5750,202
2000-12-19,4.5950,4.5950,4.5850,4.5850,4.5850,127
2000-12-20,4.6100,4.6500,4.5960,4.5960,4.5960,258
2000-12-21,4.5990,4.5990,4.5990,4.5990,4.5990,4
2000-12-22,4.6000,4.6110,4.6000,4.6110,4.6110,2
2000-12-26,4.6230,4.6230,4.6230,4.6230,4.6230,0
2000-12-27,4.5830,4.5830,4.5830,4.5830,4.5830,45
2000-12-28,4.5600,4.5870,4.5600,4.5870,4.5870,45
2000-12-29,4.5850,4.5850,4.5850,4.5850,4.5850,0
2001-01-02,4.5450,4.5450,4.5450,4.5450,4.5450,40
2001-01-03,4.5000,4.5000,4.4900,4.4900,4.4900,0
2001-01-04,4.5320,4.5320,4.5320,4.5320,4.5320,35
2001-01-05,4.5550,4.5550,4.5550,4.5550,4.5550,0
2001-01-08,4.5450,4.5450,4.5450,4.5450,4.5450,8
2001-01-09,4.5300,4.5500,4.5300,4.5500,4.5500,73
2001-01-10,4.5350,4.5350,4.5350,4.5350,4.5350,31
2001-01-11,4.5570,4.5570,4.5570,4.5570,4.5570,31
2001-01-12,4.6220,4.6220,4.6220,4.6220,4.6220,0
2001-01-16,4.6770,4.6770,4.6770,4.6770,4.6770,0
2001-01-17,4.7100,4.7100,4.7100,4.7100,4.7100,0
2001-01-18,4.7940,4.7940,4.7940,4.7940,4.7940,0
2001-01-19,4.7490,4.7490,4.7490,4.7490,4.7490,0
2001-01-22,4.7740,4.7740,4.7740,4.7740,4.7740,0
2001-01-23,4.7760,4.7760,4.7760,4.7760,4.7760,0
2001-01-24,4.7680,4.7680,4.7680,4.7680,4.7680,0
2001-01-25,4.7850,4.7850,4.7850,4.7850,4.7850,0
2001-01-26,4.8050,4.8050,4.8050,4.8050,4.8050,0
2001-01-29,4.8030,4.8030,4.8030,4.8030,4.8030,160
2001-01-30,4.7960,4.7960,4.7960,4.7960,4.7960,4
2001-01-31,4.7700,4.7910,4.7700,4.7910,4.7910,2
2001-02-01,4.7400,4.7900,4.7400,4.7900,4.7900,2
2001-02-02,4.7680,4.7680,4.7680,4.7680,4.7680,0
2001-02-05,4.6780,4.6780,4.6780,4.6780,4.6780,0
2001-02-06,4.6530,4.6530,4.6530,4.6530,4.6530,0
2001-02-07,4.6110,4.6110,4.6110,4.6110,4.6110,0
2001-02-08,4.5600,4.5600,4.5600,4.5600,4.5600,0
2001-02-09,4.5530,4.5530,4.5530,4.5530,4.5530,0
2001-02-12,4.5530,4.5530,4.5530,4.5530,4.5530,0
2001-02-13,4.5530,4.5530,4.5530,4.5530,4.5530,0
2001-02-14,4.5800,4.5800,4.5800,4.5800,4.5800,0
2001-02-15,4.5130,4.5130,4.5130,4.5130,4.5130,0
2001-02-16,4.4880,4.4880,4.4880,4.4880,4.4880,0
2001-02-20,4.4180,4.4180,4.4180,4.4180,4.4180,0
2001-02-21,4.4060,4.4060,4.4060,4.4060,4.4060,0
2001-02-22,4.4130,4.4130,4.4130,4.4130,4.4130,0
2001-02-23,4.4310,4.4310,4.4310,4.4310,4.4310,0
2001-02-26,4.4430,4.4430,4.4430,4.4430,4.4430,11413
2001-02-27,4.4600,4.4700,4.4000,4.4140,4.4140,3140
2001-02-28,4.4200,4.5400,4.3900,4.4720,4.4720,589
2001-03-01,4.4850,4.4900,4.3900,4.3950,4.3950,665
2001-03-02,4.4050,4.4500,4.3900,4.4190,4.4190,203
2001-03-05,4.4050,4.4500,4.3800,4.4160,4.4160,47
2001-03-06,4.3900,4.4200,4.3900,4.4080,4.4080,42
2001-03-07,4.3800,4.4400,4.3800,4.4280,4.4280,679
2001-03-08,4.4100,4.4950,4.4100,4.4760,4.4760,53
2001-03-09,4.4600,4.5200,4.4600,4.4880,4.4880,287
2001-03-12,4.4950,4.4950,4.4000,4.4090,4.4090,16
2001-03-13,4.3750,4.4350,4.3750,4.4190,4.4190,97
2001-03-14,4.3900,4.4450,4.3900,4.4280,4.4280,356
2001-03-15,4.3950,4.4250,4.3200,4.3250,4.3250,23
2001-03-16,4.3100,4.3100,4.2700,4.2880,4.2880,0
2001-03-19,4.2850,4.2950,4.2800,4.2950,4.2950,135
2001-03-20,4.2900,4.3280,4.2900,4.3280,4.3280,36
2001-03-21,4.3000,4.3300,4.3000,4.3230,4.3230,2
2001-03-22,4.3100,4.3340,4.3100,4.3340,4.3340,127
2001-03-23,4.3300,4.3420,4.3300,4.3420,4.3420,4
2001-03-26,4.3550,4.3590,4.3400,4.3590,4.3590,0
2001-03-27,4.4140,4.4140,4.4140,4.4140,4.4140,0
2001-03-28,4.3540,4.3850,4.3540,4.3540,4.3540,63
2001-03-29,4.3500,4.3500,4.3180,4.3180,4.3180,10
2001-03-30,4.2780,4.2780,4.2780,4.2780,4.2780,0
2001-04-02,4.2980,4.2980,4.2980,4.2980,4.2980,0
2001-04-03,4.2960,4.2960,4.2960,4.2960,4.2960,0
2001-04-04,4.3230,4.3230,4.3230,4.3230,4.3230,0
2001-04-05,4.3410,4.3410,4.3410,4.3410,4.3410,20
2001-04-06,4.3210,4.3210,4.3210,4.3210,4.3210,0
2001-04-09,4.3010,4.3010,4.3010,4.3010,4.3010,55
2001-04-10,4.3110,4.3110,4.3110,4.3110,4.3110,0
2001-04-11,4.3530,4.3530,4.3530,4.3530,4.3530,0
2001-04-12,4.3580,4.3580,4.3580,4.3580,4.3580,0
2001-04-16,4.4320,4.4320,4.4320,4.4320,4.4320,0
2001-04-17,4.3600,4.3600,4.3600,4.3600,4.3600,0
2001-04-18,4.3570,4.3570,4.3570,4.3570,4.3570,0
2001-04-19,4.4190,4.4190,4.4190,4.4190,4.4190,10
2001-04-20,4.4350,4.4350,4.4350,4.4350,4.4350,20
2001-04-23,4.4350,4.4350,4.4350,4.4350,4.4350,0
2001-04-24,4.4480,4.4480,4.4480,4.4480,4.4480,0
2001-04-25,4.3650,4.3650,4.3650,4.3650,4.3650,0
2001-04-26,4.3770,4.3770,4.3770,4.3770,4.3770,11195
2001-04-27,4.3800,4.4100,4.3500,4.3570,4.3570,996
2001-04-30,4.3600,4.3600,4.3100,4.3200,4.3200,420
2001-05-01,4.3100,4.3600,4.3100,4.3500,4.3500,90
2001-05-02,4.3350,4.3900,4.3350,4.3600,4.3600,59
2001-05-03,4.3750,4.3750,4.3300,4.3300,4.3300,20
2001-05-04,4.3270,4.3270,4.3200,4.3270,4.3270,31
2001-05-07,4.2940,4.3150,4.2940,4.2940,4.2940,5
2001-05-08,4.3100,4.3100,4.3040,4.3040,4.3040,161
2001-05-09,4.3300,4.3860,4.3300,4.3860,4.3860,23
2001-05-10,4.3400,4.3400,4.3230,4.3230,4.3230,21
2001-05-11,4.3250,4.3300,4.3100,4.3100,4.3100,5
2001-05-14,4.3320,4.3320,4.3320,4.3320,4.3320,0
2001-05-15,4.2950,4.2950,4.2950,4.2950,4.2950,0
2001-05-16,4.4380,4.4380,4.4380,4.4380,4.4380,18
2001-05-17,4.4300,4.4700,4.4300,4.4700,4.4700,2
2001-05-18,4.4800,4.5520,4.4800,4.5520,4.5520,17
2001-05-21,4.6350,4.6350,4.5260,4.5260,4.5260,7
2001-05-22,4.5150,4.5440,4.5150,4.5440,4.5440,34
2001-05-23,4.5050,4.5600,4.5050,4.5600,4.5600,3
2001-05-24,4.6100,4.6100,4.6030,4.6030,4.6030,17
2001-05-25,4.5800,4.5900,4.5600,4.5630,4.5630,0
2001-05-29,4.5230,4.5230,4.5230,4.5230,4.5230,40
2001-05-30,4.4230,4.4450,4.4230,4.4230,4.4230,0
2001-05-31,4.3960,4.3960,4.3960,4.3960,4.3960,0
2001-06-01,4.4090,4.4090,4.4090,4.4090,4.4090,8
2001-06-04,4.3200,4.3210,4.3200,4.3210,4.3210,0
2001-06-05,4.3290,4.3290,4.3290,4.3290,4.3290,0
2001-06-06,4.3280,4.3280,4.3280,4.3280,4.3280,0
2001-06-07,4.3230,4.3230,4.3230,4.3230,4.3230,0
2001-06-08,4.3580,4.3580,4.3580,4.3580,4.3580,0
2001-06-11,4.3260,4.3260,4.3260,4.3260,4.3260,100
2001-06-12,4.3650,4.3650,4.3650,4.3650,4.3650,0
2001-06-13,4.4050,4.4050,4.3650,4.4050,4.4050,0
2001-06-14,4.4600,4.4600,4.4600,4.4600,4.4600,0
2001-06-15,4.3930,4.3930,4.3930,4.3930,4.3930,0
2001-06-18,4.4150,4.4150,4.4150,4.4150,4.4150,2
2001-06-19,4.4000,4.4000,4.3930,4.3930,4.3930,0
2001-06-20,4.3380,4.3380,4.3380,4.3380,4.3380,9195
2001-06-21,4.3160,4.3160,4.3160,4.3160,4.3160,9195
2001-06-22,4.2990,4.2990,4.2990,4.2990,4.2990,0
2001-06-25,4.2940,4.2940,4.2940,4.2940,4.2940,0
2001-06-26,4.3440,4.3440,4.3440,4.3440,4.3440,0
2001-06-27,4.3050,4.3050,4.3050,4.3050,4.3050,10850
2001-06-28,4.3100,4.3200,4.2800,4.2930,4.2930,1525
2001-06-29,4.2850,4.3250,4.2800,4.2920,4.2920,524
2001-07-02,4.2600,4.2800,4.2400,4.2770,4.2770,168
2001-07-03,4.2700,4.2800,4.2350,4.2430,4.2430,158
2001-07-05,4.2400,4.2400,4.2000,4.2080,4.2080,158
2001-07-06,4.2350,4.2500,4.1800,4.2350,4.2350,38
