Date,Open,High,Low,Close,Adj Close,Volume
1965-12-31,528.69,528.69,528.69,528.69,528.69,0
1966-01-03,527.21,527.21,527.21,527.21,527.21,0
1966-01-04,527.84,527.84,527.84,527.84,527.84,0
1966-01-05,531.12,531.12,531.12,531.12,531.12,0
1966-01-06,532.07,532.07,532.07,532.07,532.07,0
1966-01-07,532.60,532.60,532.60,532.60,532.60,0
1966-01-10,533.87,533.87,533.87,533.87,533.87,0
1966-01-11,534.29,534.29,534.29,534.29,534.29,0
1966-01-12,533.34,533.34,533.34,533.34,533.34,0
1966-01-13,534.40,534.40,534.40,534.40,534.40,0
1966-01-14,535.45,535.45,535.45,535.45,535.45,0
1966-01-17,537.46,537.46,537.46,537.46,537.46,0
1966-01-18,538.94,538.94,538.94,538.94,538.94,0
1966-01-19,537.67,537.67,537.67,537.67,537.67,0
1966-01-20,535.67,535.67,535.67,535.67,535.67,0
1966-01-21,535.98,535.98,535.98,535.98,535.98,0
1966-01-24,537.67,537.67,537.67,537.67,537.67,0
1966-01-25,538.10,538.10,538.10,538.10,538.10,0
1966-01-26,537.57,537.57,537.57,537.57,537.57,0
1966-01-27,537.36,537.36,537.36,537.36,537.36,0
1966-01-28,535.67,535.67,535.67,535.67,535.67,0
1966-01-31,533.34,533.34,533.34,533.34,533.34,0
1966-02-01,529.11,529.11,529.11,529.11,529.11,0
1966-02-02,531.44,531.44,531.44,531.44,531.44,0
1966-02-03,532.07,532.07,532.07,532.07,532.07,0
1966-02-04,535.45,535.45,535.45,535.45,535.45,0
1966-02-07,537.25,537.25,537.25,537.25,537.25,0
1966-02-08,536.83,536.83,536.83,536.83,536.83,0
1966-02-09,539.89,539.89,539.89,539.89,539.89,0
1966-02-10,538.41,538.41,538.41,538.41,538.41,0
1966-02-11,538.31,538.31,538.31,538.31,538.31,0
1966-02-14,537.78,537.78,537.78,537.78,537.78,0
1966-02-15,535.45,535.45,535.45,535.45,535.45,0
1966-02-16,535.35,535.35,535.35,535.35,535.35,0
1966-02-17,532.49,532.49,532.49,532.49,532.49,0
1966-02-18,531.44,531.44,531.44,531.44,531.44,0
1966-02-21,528.26,528.26,528.26,528.26,528.26,0
1966-02-23,525.94,525.94,525.94,525.94,525.94,0
1966-02-24,522.45,522.45,522.45,522.45,522.45,0
1966-02-25,523.93,523.93,523.93,523.93,523.93,0
1966-02-28,524.56,524.56,524.56,524.56,524.56,0
1966-03-01,517.90,517.90,517.90,517.90,517.90,0
1966-03-02,512.83,512.83,512.83,512.83,512.83,0
1966-03-03,514.94,514.94,514.94,514.94,514.94,0
1966-03-04,513.35,513.35,513.35,513.35,513.35,0
1966-03-07,506.38,506.38,506.38,506.38,506.38,0
1966-03-08,506.90,506.90,506.90,506.90,506.90,0
1966-03-09,511.13,511.13,511.13,511.13,511.13,0
1966-03-10,511.24,511.24,511.24,511.24,511.24,0
1966-03-11,510.82,510.82,510.82,510.82,510.82,0
1966-03-14,504.90,504.90,504.90,504.90,504.90,0
1966-03-15,501.51,501.51,501.51,501.51,501.51,0
1966-03-16,504.26,504.26,504.26,504.26,504.26,0
1966-03-17,505.85,505.85,505.85,505.85,505.85,0
1966-03-18,508.28,508.28,508.28,508.28,508.28,0
