Date,Open,High,Low,Close,Adj Close,Volume
1987-09-10,167.44,168.98,167.44,168.97,168.97,1798000
1987-09-11,168.97,170.54,168.75,170.54,170.54,1780000
1987-09-14,170.53,170.95,170.15,170.43,170.43,1544000
1987-09-15,170.42,170.44,169.13,169.20,169.20,1362000
1987-09-16,169.31,170.03,168.82,168.92,168.92,1957000
1987-09-17,168.92,169.25,168.54,168.82,168.82,1507000
1987-09-18,168.82,169.04,168.75,168.75,168.75,1881000
1987-09-21,168.75,169.13,167.36,167.40,167.40,1701000
1987-09-22,167.40,167.56,166.69,167.56,167.56,2095000
1987-09-23,167.56,168.65,167.55,168.65,168.65,2203000
1987-09-24,168.65,169.06,168.52,168.72,168.72,1622000
1987-09-25,168.72,168.85,168.43,168.85,168.85,1380000
1987-09-28,168.84,169.80,168.84,169.52,169.52,1881000
1987-09-29,169.52,169.69,168.89,169.06,169.06,1735000
1987-09-30,169.05,170.81,168.68,170.81,170.81,1831000
1987-10-01,170.82,171.40,170.25,171.40,171.40,1932000
1987-10-02,171.40,172.09,171.40,172.08,172.08,1891000
1987-10-05,172.09,172.55,172.09,172.54,172.54,1597000
1987-10-06,172.55,172.62,170.13,170.21,170.21,1756000
1987-10-07,170.21,170.21,168.48,168.87,168.87,1863000
1987-10-08,168.87,168.98,166.78,167.06,167.06,1987000
1987-10-09,167.06,167.11,166.01,166.12,166.12,1583000
1987-10-12,166.11,166.11,163.39,163.86,163.86,1419000
1987-10-13,163.86,164.42,163.63,164.14,164.14,1729000
1987-10-14,164.15,164.16,161.59,161.79,161.79,2074000
1987-10-15,161.80,161.80,159.60,159.66,159.66,2632000
1987-10-16,159.66,159.66,152.61,152.74,152.74,3385000
1987-10-19,152.74,152.74,133.60,133.60,133.60,6043000
1987-10-20,133.60,133.60,120.21,121.39,121.39,6081000
1987-10-21,121.39,130.77,121.39,130.65,130.65,4496000
1987-10-22,130.65,130.65,124.47,124.57,124.57,3922000
1987-10-23,124.58,124.58,121.36,121.59,121.59,2456000
1987-10-26,121.58,121.58,110.32,110.33,110.33,3088000
1987-10-27,110.32,113.12,108.37,108.51,108.51,2602000
1987-10-28,105.46,108.50,105.46,106.08,106.08,2794000
1987-10-29,106.07,110.80,106.06,110.80,110.80,2581000
1987-10-30,110.79,118.26,107.90,118.26,118.26,3034000
1987-11-02,118.27,120.22,118.27,120.21,120.21,1760000
1987-11-03,120.20,122.05,116.92,117.72,117.72,2278000
1987-11-04,117.73,117.75,116.39,117.20,117.20,2025000
1987-11-05,117.19,118.94,117.18,118.94,118.94,2260000
1987-11-06,118.94,120.09,118.94,119.33,119.33,2282900
1987-11-09,119.32,119.32,117.26,117.62,117.62,1606900
1987-11-10,117.62,117.62,115.25,115.56,115.56,1843100
1987-11-11,115.57,116.68,115.50,116.26,116.26,1478500
1987-11-12,116.26,118.67,116.21,118.35,118.35,2062800
1987-11-13,118.35,118.64,118.10,118.31,118.31,1749200
1987-11-16,118.32,119.02,118.01,118.27,118.27,1643400
1987-11-17,118.26,118.27,116.04,116.30,116.30,1482400
1987-11-18,116.30,116.69,115.76,116.69,116.69,1582600
1987-11-19,116.69,116.69,115.04,115.11,115.11,1571400
1987-11-20,115.11,115.15,113.84,114.45,114.45,1891700
1987-11-23,114.45,114.50,114.09,114.47,114.47,1431600
1987-11-24,114.47,115.88,114.29,115.58,115.58,1995200
1987-11-25,115.58,115.97,115.39,115.97,115.97,1397800
1987-11-27,115.96,115.96,115.53,115.61,115.61,863600
1987-11-30,115.60,115.63,110.56,111.70,111.70,2689100
1987-12-01,111.69,112.09,111.13,111.27,111.27,1498700
1987-12-02,111.27,111.30,110.83,111.11,111.11,1488900
1987-12-03,111.11,111.15,108.86,108.94,108.94,2041600
1987-12-04,108.94,108.94,106.19,106.50,106.50,1848000
1987-12-07,106.49,106.52,106.16,106.43,106.43,1466600
1987-12-08,106.44,107.24,106.38,107.24,107.24,2273100
1987-12-09,107.24,108.89,107.24,108.89,108.89,2314300
1987-12-10,108.89,109.06,107.20,108.62,108.62,1889600
1987-12-11,108.63,109.32,108.54,109.32,109.32,1516800
1987-12-14,109.31,112.07,109.10,112.07,112.07,1876800
1987-12-15,112.07,114.36,112.07,114.36,114.36,2149700
1987-12-16,114.36,116.84,113.87,116.82,116.82,1938200
1987-12-17,116.82,117.31,116.25,116.94,116.94,1917800
1987-12-18,116.94,119.46,116.45,119.46,119.46,2762200
1987-12-21,119.45,119.92,119.25,119.92,119.92,1617900
1987-12-22,119.92,119.93,118.75,119.31,119.31,1926500
1987-12-23,119.31,120.82,119.31,120.80,120.80,2031100
1987-12-24,120.79,121.59,120.79,121.59,121.59,1088000
1987-12-28,121.59,121.59,118.68,119.00,119.00,1312200
1987-12-29,118.99,118.99,118.02,118.30,118.30,1115800
1987-12-30,118.31,119.50,118.30,119.50,119.50,1492300
1987-12-31,119.50,120.42,118.61,120.42,120.42,1701400
1988-01-04,120.43,123.51,120.43,123.50,123.50,1818100
1988-01-05,123.50,126.55,123.50,126.13,126.13,2095200
1988-01-06,126.13,127.00,126.13,127.00,127.00,1697300
1988-01-07,127.00,128.03,126.53,128.03,128.03,1753600
1988-01-08,128.03,128.19,123.84,123.84,123.84,1973000
1988-01-11,123.84,123.84,121.58,122.52,122.52,1589800
1988-01-12,122.51,122.67,120.52,121.23,121.23,1657300
1988-01-13,121.24,121.45,120.49,121.30,121.30,1540200
1988-01-14,121.31,121.98,121.15,121.78,121.78,1405700
1988-01-15,121.78,124.20,121.78,123.67,123.67,1979400
1988-01-18,123.68,124.10,123.68,124.05,124.05,1351000
1988-01-19,124.04,124.44,123.61,124.44,124.44,1535500
1988-01-20,124.44,124.44,121.49,121.76,121.76,1816600
1988-01-21,121.76,121.76,121.12,121.63,121.63,1580800
1988-01-22,121.63,122.79,121.63,122.79,122.79,1470500
1988-01-25,122.78,123.68,122.78,123.68,123.68,2752500
1988-01-26,123.67,123.68,123.17,123.25,123.25,1383800
1988-01-27,123.24,123.64,123.22,123.37,123.37,1763600
1988-01-28,123.37,124.32,123.37,124.31,124.31,1664300
1988-01-29,124.31,125.35,124.31,125.24,125.24,2118800
1988-02-01,125.24,126.22,125.24,125.72,125.72,2106600
1988-02-02,125.73,125.94,125.30,125.94,125.94,1649200
1988-02-03,125.95,126.32,125.33,125.38,125.38,2372700
1988-02-04,125.39,125.60,125.07,125.51,125.51,1864900
1988-02-05,125.51,125.99,125.25,125.77,125.77,1613100
1988-02-08,125.77,125.77,124.94,125.26,125.26,1688500
1988-02-09,125.26,125.52,125.08,125.52,125.52,1623500
1988-02-10,125.51,127.18,125.51,127.16,127.16,1879800
1988-02-11,127.16,128.22,127.16,128.03,128.03,2007600
1988-02-12,128.03,129.21,128.03,129.21,129.21,1771900
1988-02-16,129.21,129.91,129.16,129.90,129.90,1353800
1988-02-17,129.91,130.66,129.91,130.22,130.22,1768300
1988-02-18,130.23,130.68,130.07,130.57,130.57,1514300
1988-02-19,130.57,131.23,130.56,131.23,131.23,1803000
1988-02-22,131.23,132.37,131.13,132.37,132.37,1789300
1988-02-23,132.36,132.56,132.13,132.52,132.52,1922600
1988-02-24,132.53,133.42,132.51,133.42,133.42,2127300
1988-02-25,133.42,134.80,133.42,134.01,134.01,2134900
1988-02-26,134.00,134.17,133.87,134.17,134.17,1580600
1988-02-29,134.17,137.69,134.17,136.10,136.10,2360500
1988-03-01,136.10,136.48,136.07,136.26,136.26,1999900
1988-03-02,136.26,137.38,136.26,137.36,137.36,1996300
1988-03-03,137.36,137.93,137.35,137.75,137.75,2033100
1988-03-04,137.78,138.06,137.39,138.06,138.06,2014100
1988-03-07,138.07,139.06,137.45,139.06,139.06,1529800
1988-03-08,139.07,140.56,139.07,140.36,140.36,2376800
1988-03-09,140.36,141.69,140.36,141.64,141.64,2109000
1988-03-10,141.65,141.90,140.49,140.51,140.51,1972600
1988-03-11,140.52,140.59,139.64,140.59,140.59,2000200
1988-03-14,140.58,140.88,140.48,140.84,140.84,1318900
1988-03-15,140.84,141.09,140.68,140.94,140.94,1331700
1988-03-16,140.95,141.91,140.91,141.91,141.91,1535900
1988-03-17,141.91,142.69,141.90,142.69,142.69,2119200
1988-03-18,142.68,143.38,142.68,142.72,142.72,2457500
1988-03-21,142.72,142.76,141.65,141.96,141.96,1288300
1988-03-22,141.96,142.35,141.96,142.35,142.35,1420000
1988-03-23,142.34,143.07,142.34,143.07,143.07,1673700
1988-03-24,143.06,143.10,141.08,141.43,141.43,1849100
1988-03-25,141.44,141.57,140.30,140.38,140.38,1631700
1988-03-28,140.37,140.37,138.87,139.21,139.21,1428200
1988-03-29,139.21,140.36,139.21,140.36,140.36,1526900
1988-03-30,140.36,140.84,140.02,140.03,140.03,1518100
1988-03-31,140.04,142.16,139.51,142.15,142.15,1398700
1988-04-04,142.14,142.14,140.25,140.40,140.40,1822400
1988-04-05,140.41,140.72,140.18,140.72,140.72,1352900
1988-04-06,140.71,142.11,140.62,142.11,142.11,1897600
1988-04-07,142.11,143.01,142.11,142.88,142.88,1778400
1988-04-08,142.87,144.12,142.87,144.10,144.10,1693000
1988-04-11,144.11,144.69,144.11,144.69,144.69,1463700
1988-04-12,144.68,145.33,144.68,145.32,145.32,1464000
1988-04-13,145.32,145.46,144.76,145.20,145.20,1851200
1988-04-14,145.20,145.20,141.47,141.67,141.67,2118100
1988-04-15,141.68,141.68,139.57,141.12,141.12,2341600
1988-04-18,141.13,142.09,140.70,142.09,142.09,1446500
1988-04-19,142.08,143.29,142.07,142.55,142.55,1619100
1988-04-20,142.56,142.56,141.55,141.70,141.70,1475900
1988-04-21,141.69,142.14,141.11,141.26,141.26,1684400
1988-04-22,141.27,141.70,141.20,141.70,141.70,1525200
1988-04-25,141.70,142.46,141.69,142.25,142.25,1569500
1988-04-26,142.25,143.22,142.25,143.12,143.12,1523000
1988-04-27,143.12,143.67,143.12,143.65,143.65,1338100
1988-04-28,143.66,144.16,143.44,144.07,144.07,1286800
1988-04-29,144.06,145.01,143.41,145.01,145.01,1356200
1988-05-02,145.01,145.05,144.39,144.73,144.73,1364700
1988-05-03,144.74,145.35,144.74,145.32,145.32,1769200
1988-05-04,145.33,145.53,145.14,145.22,145.22,1413200
1988-05-05,145.22,145.25,144.50,144.78,144.78,1718400
1988-05-06,144.79,144.90,144.56,144.64,144.64,1290800
1988-05-09,144.64,144.65,143.52,143.71,143.71,1663200
1988-05-10,143.71,143.75,143.06,143.34,143.34,1312000
1988-05-11,143.35,143.35,140.75,140.97,140.97,1767200
1988-05-12,140.97,141.35,140.95,141.29,141.29,1438800
1988-05-13,141.30,142.17,141.00,142.17,142.17,1472400
1988-05-16,142.16,142.43,141.84,142.18,142.18,1550100
1988-05-17,142.17,143.07,141.74,141.75,141.75,1338500
1988-05-18,141.73,141.73,139.77,139.92,139.92,2094200
1988-05-19,139.92,139.92,138.41,139.60,139.60,1651600
1988-05-20,139.60,140.15,139.42,140.15,140.15,1206000
1988-05-23,140.14,140.15,136.29,139.20,139.20,1026400
1988-05-24,139.21,139.46,139.05,139.46,139.46,1399300
1988-05-25,139.45,139.89,139.45,139.79,139.79,1383100
1988-05-26,139.79,140.28,139.29,140.28,140.28,1642600
1988-05-27,140.29,140.31,139.97,140.09,140.09,1335900
1988-05-31,140.11,141.37,140.08,141.37,141.37,2476100
1988-06-01,141.37,142.87,141.37,142.87,142.87,2345600
1988-06-02,142.88,142.93,142.47,142.80,142.80,1935400
