Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,4.06,4.06,4.06,4.06,4.06,0
1962-01-03,4.03,4.03,4.03,4.03,4.03,0
1962-01-04,3.99,3.99,3.99,3.99,3.99,0
1962-01-05,4.02,4.02,4.02,4.02,4.02,0
1962-01-08,4.03,4.03,4.03,4.03,4.03,0
1962-01-09,4.05,4.05,4.05,4.05,4.05,0
1962-01-10,4.07,4.07,4.07,4.07,4.07,0
1962-01-11,4.08,4.08,4.08,4.08,4.08,0
1962-01-12,4.08,4.08,4.08,4.08,4.08,0
1962-01-15,4.10,4.10,4.10,4.10,4.10,0
1962-01-16,4.13,4.13,4.13,4.13,4.13,0
1962-01-17,4.12,4.12,4.12,4.12,4.12,0
1962-01-18,4.11,4.11,4.11,4.11,4.11,0
1962-01-19,4.11,4.11,4.11,4.11,4.11,0
1962-01-22,4.09,4.09,4.09,4.09,4.09,0
1962-01-23,4.11,4.11,4.11,4.11,4.11,0
1962-01-24,4.10,4.10,4.10,4.10,4.10,0
1962-01-25,4.11,4.11,4.11,4.11,4.11,0
1962-01-26,4.11,4.11,4.11,4.11,4.11,0
1962-01-29,4.12,4.12,4.12,4.12,4.12,0
1962-01-30,4.11,4.11,4.11,4.11,4.11,0
1962-01-31,4.10,4.10,4.10,4.10,4.10,0
1962-02-01,4.09,4.09,4.09,4.09,4.09,0
1962-02-02,4.08,4.08,4.08,4.08,4.08,0
1962-02-05,4.07,4.07,4.07,4.07,4.07,0
1962-02-06,4.06,4.06,4.06,4.06,4.06,0
1962-02-07,4.07,4.07,4.07,4.07,4.07,0
1962-02-08,4.07,4.07,4.07,4.07,4.07,0
1962-02-09,4.05,4.05,4.05,4.05,4.05,0
1962-02-13,4.03,4.03,4.03,4.03,4.03,0
1962-02-14,4.03,4.03,4.03,4.03,4.03,0
1962-02-15,4.02,4.02,4.02,4.02,4.02,0
1962-02-16,4.02,4.02,4.02,4.02,4.02,0
1962-02-19,4.01,4.01,4.01,4.01,4.01,0
